id,name,constituency,party,party_id,gender,tel,term,source
291,C.R.W. Banda,Dowa East,Malawi Congress Party,mcp,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=291&mode=alps
307,B. Namasasu,Lilongwe City South East,Democratic Progressive Party,dpp,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=307&mode=alps
338,C.P Mangulenje,Zomba Chisi,Democratic Progressive Party,dpp,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=338&mode=alps
385,B.A.K. Banda,Mchinji West,Malawi Congress Party,mcp,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=385&mode=alps
462,S.S. Ganda,Nsanje Lalanje,Independent,independent,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=462&mode=alps
466,H.L. Jiya,Lilongwe Msozi North,Malawi Congress Party,mcp,male,"",2014,http://www.parliament.gov.mw/mp.php?indexc=466&mode=alps
