id,iso_code,identifier__freebase,identifier__fips,type,identifier__geonames,identifier__bnf,name__zh,name__pl,name__ko,name__fr,name__es,name__it,name__de,name__el,name__pnb,name__nl,name__ar,name__pt,name__ru,name__sr,name__en,name__tr,name__ro,name__ca,name__fi,name__uk,name__war,name__bg,name__sco,name__ur,name__lt,name__li,name__nb,name__ka,name__fa,name__ms,name__hy,name__he,name__cs,name__th,name__sv,name__ceb,name__ja,name__nn,name__vi,name__sk,name__ne,name__be,name__te,name__si,name__hi,name__zh_hans,website,name__da,name__id
Q59133,CY-05,/m/05wlyc,CY06,district of Cyprus,146213,12002568x,帕福斯区,Dystrykt Pafos,파포스 구,district de Paphos,Pafos,distretto di Pafo,Bezirk Paphos,Επαρχία Πάφου,ضلع پافوس,Paphos,منطقة بافوس,Pafos,Пафос,Пафос,Paphos District,Baf kazası,Districtul Paphos,Districte de Pafos,Pafoksen alue,Пафос,Paphos,Пафос,Paphos Destrict,ضلع پافوس,Pafoso apygarda,Paphos,Pafos,პაფოსის რაიონი,ناحیه پافوس,Daerah Paphos,Պաֆոսի շրջան,מחוז פאפוס,Pafos,เขตแพฟอส,Eparchía Páfou,Eparchía Páfou,パフォス地区,Distriktet Páfos,,,,,,,,,,,
Q59146,CY-06,/m/05wlwn,CY02,district of Cyprus,146411,,凯里尼亚区,Dystrykt Kirenia,키레니아 구,district de Kyrenia,Girne,distretto di Kyrenia,Bezirk Kyrenia,Επαρχία Κερύνειας,ضلع کیرینیا,Kyrenia,منطقة كيرينيا,Kyrenia,Кирения,Керинеја,Kyrenia District,Girne kazası,Districtul Kyrenia,Districte de Kerínia,Kyrenian alue,Киренія,Kyrenia,Кирения,Kyrenia Destrict,ضلع کیرینیہ,Kirenijos apygarda,Girne,Kyrenia,,ناحیه گیرنه,Daerah Kyrenia,Կիրենիայի շրջան,,Kyrenia,เขตคีรีเนีย,Kyrenia (distrikt),Eparchía Kerýneias,キレニア地区,Distriktet Kerýnia,Huyện Kyrenia,Girne,,,కైరేనియా జిల్లా,,कायरेनिया जिला,凯里尼亚区,,Kyrenia District,Distrik Kyrenia
Q59147,CY-01,/m/05wlxp,CY04,district of Cyprus,146267,,尼科西亚区,Dystrykt Nikozja,니코시아 구,district de Nicosie,Nicosia,distretto di Nicosia,Bezirk Nikosia,Επαρχία Λευκωσίας,ضلع نکوسیا,Nicosia,منطقة نيقوسيا,Nicósia,Никосия,Никозија,Nicosia District,Lefkoşa kazası,Districtul Nicosia,Districte de Nicòsia,Nikosian alue,Нікосія,Nicosia,Никозия,Nicosia Destrict,ضلع نیکوسیا,Nikosijos apygarda,Nicosia,Nikosia,ნიქოზიის რაიონი,ناحیه نیکوزیا,Daerah Nicosia,Նիկոսիայի շրջան,,Nikósie,เขตนิโคเซีย,Eparchía Lefkosías,Eparchía Lefkosías,ニコシア地区,Distriktet Levkosía,Nicosia,,नोकोसिया जिल्ला,Нікосія,,,,,,,
Q59148,CY-04,/m/05wlvz,CY01,district of Cyprus,146615,,法马古斯塔区,Dystrykt Famagusta,파마구스타 구,district de Famagouste,Famagusta,distretto di Famagosta,Bezirk Famagusta,Επαρχία Αμμοχώστου,ضلع فاماگوستا,Famagusta,منطقة فاماغوستا,Famagusta,Фамагуста,Амохостос (округ),Famagusta District,Mağusa kazası,Districtul Famagusta,Districte de Famagusta,Famagustan alue,Фамагуста,Famagusta,Фамагуста,Famagusta Destrict,ضلع فاماگوستا,Famagustos apygarda,Famagusta,Famagusta,,ناحیه فاماگوستا,Daerah Famagusta,Ֆամագուստայի շրջան,,Gazimağusa,เขตแฟมากุสตา,Famagusta,Eparchía Ammochóstou,ファマグスタ地区,Distriktet Ammókhostos,,Mağusa,,,,ෆැමගුස්ටා දිස්ත්‍රික්කය,,,,,
Q59150,CY-02,/m/05wly0,CY05,district of Cyprus,146383,,利马索尔区,Dystrykt Limassol,리마솔 구,district de Limassol,Limasol,distretto di Limassol,Bezirk Limassol,Επαρχία Λεμεσού,ضلع لیمیسوس,Limasol,منطقة ليماسول,Limassol,Лимасол,Лимасол,Limassol District,Limasol Bölgesi,Districtul Limassol,Districte de Limassol,Limassolin alue,Лімасол,Limassol,Лимасол,Limassol Destrict,ضلع لیماسول,Limasolio apygarda,Limasol,Limassol,ლიმასოლის რაიონი,ناحیه لیماسول,Daerah Limassol,Լիմասոլի շրջան,מחוז לימסול,Lemesos (distrikt),เขตลีมาซอล,Eparchía Lemesoú,Eparchía Lemesoú,リマソール地区,Distriktet Lemesós,Quận Limassol,,,,లిమాసోల్ జిల్లా,,लिमासोल जिला,,http://www.moi.gov.cy/moi/da/dadmin.nsf/dmlmessagelim_gr/dmlmessagelim_gr,Limassol District,Distrik Limassol
Q59153,CY-03,/m/05wlxb,CY03,district of Cyprus,146398,,拉纳卡区,Dystrykt Larnaka,라르나카 구,district de Larnaca,Lárnaca,distretto di Larnaca,Bezirk Larnaka,Επαρχία Λάρνακας,ضلع لرناکا,Larnaca,منطقة لارنكا,Larnaca,Ларнака,Ларнака,Larnaca District,Larnaka kazası,Districtul Larnaca,Districte de Làrnaca,Larnakan alue,Ларнака,Larnaca,Ларнака,Larnaca Destrict,ضلع لارناکا,Larnakos apygarda,Larnaka (distrik),Larnaka,,ناحیه لارناکا,Daerah Larnaca,Լարնակայի շրջան,מחוז לרנקה,Larnaka,เขตลาร์นากา,Eparchía Lárnakas,Eparchía Lárnakas,ラルナカ地区,Distriktet Lárnaka,Quận Larnaca,,,,లార్నాకా జిల్లా,,लार्नाका जिला,,,Larnaca District,Distrik Larnaca
