id,label,type
Q11393870,Minister for Home Affairs,cabinet
Q19840113,Minister of Defence,cabinet
Q20716547,Minister for Education,cabinet
Q20983894,Minister for Transport,cabinet
Q256213,Minister for Foreign Affairs,cabinet
Q3250656,Emeritus Senior Minister,cabinet
Q5137493,Co-ordinating Minister for National Security,cabinet
Q5261072,Deputy Prime Minister of Singapore,cabinet
Q6118636,Minister for Finance,cabinet
Q6865922,Minister for Manpower,cabinet
Q866756,Prime Minister of Singapore,cabinet
