id,name,start_date,end_date,wikidata
18,18th Legislature,2018-03-23,,Q48799610
17,17th Legislature,2013-03-15,2018-03-22,Q5487948
16,16th Legislature,2008-04-29,2013-03-14,Q4021588
15,15th Legislature,2006-04-28,2008-04-28,Q2376850
14,14th Legislature,2001-05-30,2006-04-27,Q4021359
13,13th Legislature,1996-05-09,2001-05-29,Q4021342
12,12th Legislature,1994-04-15,1996-05-08,Q943400
11,11th Legislature,1992-04-23,1994-04-14,Q4021369
10,10th Legislature,1987-07-02,1992-04-22,Q4021692
9,9th Legislature,1983-07-12,1987-07-01,Q3790001
8,8th Legislature,1979-06-20,1983-07-11,Q4006975
7,7th Legislature,1976-07-05,1979-06-19,Q4006990
6,6th Legislature,1972-05-25,1976-07-04,Q4007008
5,5th Legislature,1968-06-05,1972-05-24,Q4007102
4,4th Legislature,1963-05-16,1968-06-04,Q3789944
3,3rd Legislature,1958-06-12,1963-05-15,Q3788564
2,2nd Legislature,1953-06-25,1958-06-11,Q3788583
1,1st Legislature,1948-05-08,1953-06-24,Q3790289
