id,name,start_date,end_date
2009,2009-2010,2009-01-01,2010-12-31
2011,2011-2012,2011-01-01,2012-12-31
2013,2013-2014,2013-01-01,2014-12-31
2015,2015-2016,2015-01-01,2016-12-31
2017,2017-2018,2017-01-01,2018-12-31
