id,type,start_date,name__en,name__zh_hant,name__zh,name__de,name__ja,name__fr,name__ar
Q15241246,constituency of the Northern Ireland Assembly,,Lagan Valley,,,,,,
Q15242679,constituency of the Northern Ireland Assembly,1973,Londonderry,,,,,,
Q4792576,constituency of the Northern Ireland Assembly,1973,Armagh,,,,,,
Q4882274,constituency of the Northern Ireland Assembly,1973,Belfast East,東區,東區,,,,
Q4882308,constituency of the Northern Ireland Assembly,1973,Belfast North,北區,北區,Belfast North,,,
Q4882329,constituency of the Northern Ireland Assembly,1973,Belfast South,南區,南區,,,,
Q4882350,constituency of the Northern Ireland Assembly,1973,Belfast West,西區,西區,,,,
Q5327714,constituency of the Northern Ireland Assembly,,East Antrim,,,,,,
Q5328872,constituency of the Northern Ireland Assembly,,East Londonderry,,東倫敦德里 (議會選區),,,,
Q5444367,constituency of the Northern Ireland Assembly,1973,Fermanagh and South Tyrone,,弗馬納及南蒂龍 (北愛爾蘭議會選區),,,,
Q5477379,constituency of the Northern Ireland Assembly,,Foyle,,福伊爾,,フォイル (議会選挙区),Foyle,
Q6841031,constituency of the Northern Ireland Assembly,1973,Mid Ulster,,,,,,
Q7019151,constituency of the Northern Ireland Assembly,,Newry and Armagh,,,,,,
Q7053953,constituency of the Northern Ireland Assembly,1973,North Antrim,,北安特里姆,,,,شمال أنترم
Q7055150,constituency of the Northern Ireland Assembly,1973,North Down,,北唐,North Down,,,
Q7565994,constituency of the Northern Ireland Assembly,1973,South Antrim,,,,,,
Q7567069,constituency of the Northern Ireland Assembly,1973,South Down,,,,,,
Q7621629,constituency of the Northern Ireland Assembly,,Strangford,,斯特蘭福德 (北愛爾蘭議會選區),,,,
Q7898475,constituency of the Northern Ireland Assembly,,Upper Bann,,,,,,
Q7986717,constituency of the Northern Ireland Assembly,,West Tyrone,,,,,,
