statement,id,name,start_date,end_date,wikidata
Q4557664-14d1bad3-4753-8ccd-81ee-e1f1b823b358,18,18th South African Parliament,1981-04-29,1987-01-01,Q4557664
Q4631429-3a0a6ef5-4eb0-a94b-21a0-3d4ab4b673bc,22,22nd South African Parliament,1994-01-01,1997-01-01,Q4631429
Q4632022-c6d94862-483f-4b6e-8640-86dc39ea86b0,24,24th South African Parliament,2004-05-21,2009-02-01,Q4632022
Q4632317-c9f55b7b-4460-9338-2e1a-b6131eb51fab,25,25th South African Parliament,2009-05-06,2014-01-01,Q4632317
Q18109299-9ff1d572-4f1d-ce60-fcba-58e17dd46c2d,26,26th South African Parliament,2014-05-21,"",Q18109299
