statement,id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q11043304-CFE14A81-BA8C-47C4-8C5A-7FF35DA9B187,Q11043304,Naledi Pandor,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q1109753-29B7C13F-32B2-4601-9279-F9318D5C4694,Q1109753,Collins Chabane,2014-05-21,2015-03-15,,,African National Congress,Q83162,26
Q1148669-708C9D45-D2CE-4EE5-94A1-1331ED996926,Q1148669,Cyril Ramaphosa,2014-05-21,2018-02-15,,,African National Congress,Q83162,26
Q11816850-C8A26F50-3562-4A9A-ACE0-37E1AFFDE20C,Q11816850,Petrus Johannes Groenewald,2014-05-21,2019-05-07,,,Freedom Front Plus,Q510163,26
Q13034521-1F31CB31-28E1-4E84-9BE1-A5B00B80921D,Q13034521,Cornelius Petrus Mulder,2014-05-21,2019-05-07,,,Freedom Front Plus,Q510163,26
Q1390963-2b672e9c-4f93-7474-9170-4be84375177f,Q1390963,Marthinus Christoffel Johannes Van Schalkwyk,2009-05-06,2014-05-27,,,,,26
Q1412305-9E1C0D13-3B94-44FA-BB6B-F0979234B133,Q1412305,Fikile Mbalula,2014-05-21,2018-03-09,,,African National Congress,Q83162,26
Q1450938-FFA51391-1162-470D-B1B5-1C70EA32FFE5,Q1450938,Rob Davies,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q150276-7FB6EDE1-E4F2-4B23-A375-F2BDC51EF520,Q150276,Nkosazana Dlamini-Zuma,2017-09-21,2019-05-07,,,African National Congress,Q83162,26
Q1554125-9746205F-BFAA-453F-B5AE-A143F136C333,Q1554125,Puleng Peter Mabe,2014-05-21,2017-08-31,,,African National Congress,Q83162,26
Q16186490-5D0FFD1A-EDA3-4572-80D7-756B7D1A0390,Q16186490,Phumelele Stone Sizani,2014-05-21,2016-03-02,,,African National Congress,Q83162,26
Q16193273-7E1556CE-1C76-4A1C-BDDD-F397C826332A,Q16193273,Thulas Nxesi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q1632021-7B290AF3-CE46-43B8-AE2F-A14363931354,Q1632021,Nomaindiya Cathleen Mfeketo,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q16727851-5A67B1FC-96A7-44EF-B978-C1FEFCE4226D,Q16727851,Yunus Ismail Carrim,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
