id,name,source,area,email,image,term
46,Бганба Валерий Рамшухович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=46,9,,http://www.parlamentra.org/upload/iblock/b85/%D1%80%D0%B0%D0%BC.jpg,5
1453,Аршба Даури Джумкович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1453,1,,http://www.parlamentra.org/upload/iblock/f14/no-photo.jpg,5
127,Гамисония Эмма Алексеевна,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=127,32,,http://www.parlamentra.org/upload/iblock/d1a/gamisonia-e.jpg,5
129,Косян Вагаршак Арамович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=129,12,,http://www.parlamentra.org/upload/iblock/e5e/kosian-v.jpg,5
130,Цвижба Отари Шотович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=130,29,,http://www.parlamentra.org/upload/iblock/c3b/tsvijba.jpg,5
142,Кобахия Аслан Алексеевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=142,2,,http://www.parlamentra.org/upload/iblock/9d6/kobakhia-a.jpg,5
161,Цвинария Беслан Константинович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=161,3,,http://www.parlamentra.org/upload/iblock/ede/tsvinaria-b.jpg,5
213,Агрба Валерий Владимирович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=213,4,,http://www.parlamentra.org/upload/iblock/684/agrba_s.jpg,5
207,Бжания Ахра Юрьевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=207,5,,http://www.parlamentra.org/upload/iblock/482/akhra.jpg,5
1454,Агрба Тенгиз Алмасханович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1454,6,,http://www.parlamentra.org/upload/iblock/3e2/no-photo.jpg,5
138,Язычба Заур Гайдарович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=138,7,,http://www.parlamentra.org/upload/iblock/30b/yazichba.jpg,5
153,Губаз Беслан Шутикович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=153,8,,http://www.parlamentra.org/upload/iblock/100/gubaz-b.jpg,5
140,Кокоскерия Анзор Херсонович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=140,10,,http://www.parlamentra.org/upload/iblock/515/no-photo.jpg,5
1455,Гулия Темур Лесикович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1455,11,,http://www.parlamentra.org/upload/iblock/317/no-photo.jpg,5
211,Барганджия Гурам Юрьевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=211,14,,http://www.parlamentra.org/upload/iblock/939/DSCN3711.JPG,5
212,Агрба Георгий Резикович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=212,13,,http://www.parlamentra.org/upload/iblock/f17/agrba_g.jpg,5
159,Сангулия Михаил Петрович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=159,15,,http://www.parlamentra.org/upload/iblock/e1c/sangulia-m.jpg,5
157,Чамагуа Леонид Михайлович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=157,16,,http://www.parlamentra.org/upload/iblock/244/chamagua-l.jpg,5
154,Гунба Дмитрий Георгиевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=154,17,,http://www.parlamentra.org/upload/iblock/17b/gunba-d.jpg,5
152,Пачулия Ахра Георгиевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=152,18,,http://www.parlamentra.org/upload/iblock/e96/pachulia-a.jpg,5
210,Авидзба Фазилбей Лизберович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=210,19,,http://www.parlamentra.org/upload/iblock/09f/avidzba-f.jpg,5
146,Галустян Левон Миружанович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=146,20,,http://www.parlamentra.org/upload/iblock/48b/galustyan.jpg,5
163,Кварчия Валерий Ермейович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=163,21,,http://www.parlamentra.org/upload/iblock/6e9/kvarchia-v.jpg,5
1456,Яйлян Роберт Айгазович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1456,22,,http://www.parlamentra.org/upload/iblock/141/no-photo.jpg,5
149,Харазия Саид Геннадиевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=149,23,,http://www.parlamentra.org/upload/iblock/11e/kharazia-s.jpg,5
1457,Шамба Сергей Миронович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1457,24,,http://www.parlamentra.org/upload/iblock/d84/no-photo.jpg,5
206,Зухба Юрий Зауриевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=206,25,,http://www.parlamentra.org/upload/iblock/090/zukhba.jpg,5
1294,Джапуа Алмас Северьянович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1294,26,,http://www.parlamentra.org/upload/iblock/c71/3543764745.jpg,5
209,Гургулия Апполон Алмасханович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=209,27,,http://www.parlamentra.org/upload/iblock/84a/gurgulia.jpg,5
160,Квициния Темур Паатович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=160,28,,http://www.parlamentra.org/upload/iblock/140/kvitsinia-2.jpg,5
1458,Ардзинба Тайфун Наимович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=1458,30,,http://www.parlamentra.org/upload/iblock/a3d/no-photo.jpg,5
144,Кварчия Кан Валерьевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=144,31,,http://www.parlamentra.org/upload/iblock/122/kvarchia-k.jpg,5
155,Квеквескири Ахра Вячеславович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=155,33,,http://www.parlamentra.org/upload/iblock/715/kvekveskiri-a.jpg,5
205,Квициния Нодик Юрьевич,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=205,34,,http://www.parlamentra.org/upload/iblock/06c/kvitsinia-n.jpg,5
141,Убирия Бежан Михайлович,http://www.parlamentra.org/rus/officials/?ELEMENT_ID=141,35,,http://www.parlamentra.org/upload/iblock/bfe/ubiria.jpg,5
