id,name,wikidata
area/na-100_(gujranwala-vi),Constituency NA-100,Q12810202
area/na-101_(gujranwala-vii),Constituency NA-101,Q12810327
area/na-102_(hafizabad-i),Constituency NA-102,Q13099902
area/na-103_(hafizabad-ii),Constituency NA-103,Q13099909
area/na-104_(gujrat-i),Constituency NA-104,Q12809032
area/na-105_(gujrat-ii),Constituency NA-105,Q12809204
area/na-106_(gujrat-iii),Constituency NA-106,Q12809346
area/na-107_(gujrat-iv),Constituency NA-107,Q12809514
area/na-108_(m.b.din-i),Constituency NA-108,Q5163961
area/na-109_(m.b.din-ii),Constituency NA-109,Q13099916
area/na-10_(mardan-ii),Constituency NA-10,Q5163960
area/na-110_(sialkot-i),Constituency NA-110,Q12902858
area/na-111_(sialkot-ii),Constituency NA-111,Q12902860
area/na-112_(sialkot-iii),Constituency NA-112,Q12902862
area/na-113_(sialkot-iv),Constituency NA-113,Q12902864
area/na-114_(sialkot-v),Constituency NA-114,Q12911326
area/na-115_(narowal-i),Constituency NA-115,Q12912228
area/na-116_(narowal-ii),Constituency NA-116,Q12912232
area/na-117_(narowal-iii),Constituency NA-117,Q12912238
area/na-118_(lahore-i),Constituency NA-118,Q12780048
area/na-119_(lahore-ii),Constituency NA-119,Q12780059
area/na-11_(mardan-iii),Constituency NA-11,Q5163962
area/na-120_(lahore-iii),Constituency NA-120,Q12780067
area/na-121_(lahore-iv),Constituency NA-121,Q12780082
area/na-122_(lahore-v),Constituency NA-122,Q12780097
area/na-123_(lahore-vi),Constituency NA-123,Q12780115
area/na-124_(lahore-vii),Constituency NA-124,Q12780126
area/na-125_(lahore-viii),Constituency NA-125,Q12780129
area/na-126_(lahore-ix),Constituency NA-126,Q12780136
area/na-127_(lahore-x),Constituency NA-127,Q12782076
area/na-128_(lahore-xi),Constituency NA-128,Q12782085
area/na-129_(lahore-xii),Constituency NA-129,Q12782092
area/na-12_(swabi-i),Constituency NA-12,Q5163964
area/na-130_(lahore-xiii),Constituency NA-130,Q12785883
area/na-131_(sheikhupura-i),Constituency NA-131,Q12857360
area/na-132_(sheikhupura-ii-cum-nankana_sahib_(old_sheikhupura-ii)),Constituency NA-132,Q12857366
area/na-133_(sheikhupura-iii),Constituency NA-133,Q12857374
area/na-134_(sheikhupura-iv),Constituency NA-134,Q12857379
area/na-135_(nankana_sahib-i-cum-sheikhupura_(old_sheikhupura-v)),Constituency NA-135,Q12857380
area/na-136_(nankana_sahib-ii-cum-sheikhupura_(old_sheikhupura-vi)),Constituency NA-136,Q12857384
area/na-137_(nankana_sahib-iii_(old_sheikhupra-vii)),Constituency NA-137,Q12857388
area/na-138_(kasur-i),Constituency NA-138,Q12857901
area/na-139_(kasur-ii),Constituency NA-139,Q12857731
area/na-13_(swabi-ii),Constituency NA-13,Q5163967
area/na-140_(kasur-iii),Constituency NA-140,Q12857639
area/na-141_(kasur-iv),Constituency NA-141,Q12857600
area/na-142_(kasur-v),Constituency NA-142,Q12857589
area/na-143_(okara-i),Constituency NA-143,Q12857579
area/na-144_(okara-ii),Constituency NA-144,Q12857575
area/na-145_(okara-iii),Constituency NA-145,Q12857566
area/na-146_(okara--iv),Constituency NA-146,Q12856787
area/na-147_(okara-v),Constituency NA-147,Q12856786
area/na-148_(multan-i),Constituency NA-148,Q12813092
area/na-149_(multan-ii),Constituency NA-149,Q12813089
area/na-14_(kohat),Constituency NA-14,Q5163968
area/na-150_(multan-iii),Constituency NA-150,Q12813087
area/na-151_(multan-iv),Constituency NA-151,Q12812983
area/na-152_(multan-v),Constituency NA-152,Q12812819
area/na-153_(multan-vi),Constituency NA-153,Q12812717
area/na-154_(lodhran-i),Constituency NA-154,Q12812533
area/na-155_(lodhran-ii),Constituency NA-155,Q12812432
area/na-156_(khanewal-i),Constituency NA-156,Q12812302
area/na-157_(khanewal-ii),Constituency NA-157,Q12812171
area/na-158_(khanewal-iii),Constituency NA-158,Q12812000
area/na-159_(khanewal-iv),Constituency NA-159,Q12811876
area/na-15_(karak),Constituency NA-15,Q5163969
area/na-160_(sahiwal-i),Constituency NA-160,Q12811630
area/na-161_(sahiwal-ii),Constituency NA-161,Q12811496
area/na-162_(sahiwal-iii),Constituency NA-162,Q12811412
area/na-163_(sahiwal-iv),Constituency NA-163,Q12811243
area/na-164_(pakpattan-i),Constituency NA-164,Q12780073
area/na-165_(pakpattan-ii),Constituency NA-165,Q12779956
area/na-166_(pakpattan-iii),Constituency NA-166,Q12779954
area/na-167_(vehari-i),Constituency NA-167,Q12681091
area/na-168_(vehari-ii),Constituency NA-168,Q12526290
area/na-169_(vehari-iii),Constituency NA-169,Q12323413
area/na-16_(hangu),Constituency NA-16,Q5163970
area/na-170_(vehari-iv),Constituency NA-170,Q12681119
area/na-171_(d.g.khan-i),Constituency NA-171,Q12857301
area/na-172_(d.g.khan-ii),Constituency NA-172,Q12857304
area/na-173_(d.g.khan-iii),Constituency NA-173,Q12857306
area/na-174_(rajanpur-i),Constituency NA-174,Q12902844
area/na-175_(rajanpur-ii),Constituency NA-175,Q12858419
area/na-176_(muzaffargarh-i),Constituency NA-176,Q12857316
area/na-177_(muzaffargarh-ii),Constituency NA-177,Q12857319
area/na-178_(muzaffargarh-iii),Constituency NA-178,Q12857323
area/na-179_(muzaffargarh-iv),Constituency NA-179,Q12857327
area/na-17_(abbottabad-i),Constituency NA-17,Q5163971
area/na-180_(muzaffargarh-v),Constituency NA-180,Q12857329
area/na-181_(layyah-i),Constituency NA-181,Q12858216
area/na-182_(layyah-ii),Constituency NA-182,Q12858066
area/na-183_(bahawalpur-i),Constituency NA-183,Q12857330
area/na-184_(bahawalpur-ii),Constituency NA-184,Q12857332
area/na-185_(bahawalpur-iii),Constituency NA-185,Q12857335
area/na-186_(bahawalpur-iv),Constituency NA-186,Q12857338
area/na-187_(bahawalpur-v),Constituency NA-187,Q12857342
area/na-188_(bahawalnagar-i),Constituency NA-188,Q12857344
area/na-189_(bahawalnagar-ii),Constituency NA-189,Q12857347
area/na-18_(abbottabad-ii),Constituency NA-18,Q13211686
area/na-190_(bahawalnagar-iii),Constituency NA-190,Q12857348
area/na-191_(bahawalnagar-iv),Constituency NA-191,Q12857349
area/na-192_(r.y.khan-i),Constituency NA-192,Q12857265
area/na-193_(r.y.khan-ii),Constituency NA-193,Q12857269
area/na-194_(r.y.khan-iii),Constituency NA-194,Q12857272
area/na-195_(r.y.khan-iv),Constituency NA-195,Q12857278
area/na-196_(r.y.khan-v),Constituency NA-196,Q12857283
area/na-197_(r.y.khan-vi),Constituency NA-197,Q12857292
area/na-198_(sukkur-i),Constituency NA-198,Q13100043
area/na-199_(sukkur-cum-shikarpur_(ii)_(old_sukkur-ii)),Constituency NA-199,Q13100065
area/na-19_(haripur),Constituency NA-19,Q5163973
area/na-1_(peshawar-i),Constituency NA-1,Q5163959
area/na-200_(ghotki-i),Constituency NA-200,Q13100067
area/na-201_(ghotki-ii),Constituency NA-201,Q13100068
area/na-202_(shikarpur_(old_shikarpur-i)),Constituency NA-202,Q13100209
area/na-203_(shikarpur-cum-sukkur_(old_shikarpur-ii)),Constituency NA-203,Q13100347
area/na-204_(larkana_(old_larkana)),Constituency NA-204,Q13100353
area/na-205_(larkana-cum-kamber_shahdadkot_(old_larkana-ii)),Constituency NA-205,Q13100355
area/na-206_(kamber_shahdadkot_(old_larkana-iii)),Constituency NA-206,Q13100359
area/na-207_(larkana-cum-kamber_shahdadkot_(old_larkana-iv)),Constituency NA-207,Q13100373
area/na-208_(jacobabad_(old_jacobabad-i)),Constituency NA-208,Q13100374
area/na-209_(jacobabad-cum-kashmore_(old_jacobabad-ii)),Constituency NA-209,Q13100375
area/na-20_(mansehra-i),Constituency NA-20,Q5163977
area/na-210_(kashmore_(old_jacobabad-iii)),Constituency NA-210,Q16951108
area/na-211_(naushero_feroze-i),Constituency NA-211,Q13100381
area/na-212_(naushero_feroze-ii),Constituency NA-212,Q13100385
area/na-213_(nawabshah-i),Constituency NA-213,Q13100387
area/na-214_(shaheed_benazir_abad_(old_nawabshah-ii)),Constituency NA-214,Q13100389
area/na-215_(khairpur-i),Constituency NA-215,Q13100392
area/na-216_(khairpur-ii),Constituency NA-216,Q13100400
area/na-217_(khairpur-iii),Constituency NA-217,Q13100487
area/na-218_(matiari-cum-hyderabad_(old_hyderabad-i)),Constituency NA-218,Q13034011
area/na-219_(hyderabad-ii),Constituency NA-219,Q13034018
area/na-21_(mansehra-cum-tor_ghar_(old_mansehra-ii)),Constituency NA-21,Q5163978
area/na-220_(hyderabad-iii),Constituency NA-220,Q13034021
area/na-221_(hyderabad-iv),Constituency NA-221,Q13034029
area/na-222_(tando_muhammad_khan-cum-hyderabad-cum-badin_(hyderabad-v)),Constituency NA-222,Q13034033
area/na-223_(hyderabad-vi),Constituency NA-223,Q13034040
area/na-224_(badin-cum-tando_muhammad_khan-i_(old_badin-i)),Constituency NA-224,Q13100663
area/na-225_(badin-cum-tando_muhammad_khan-ii_(old_badin-ii)),Constituency NA-225,Q13100842
area/na-226_(mirpur_khas-cum-umerkot_(i)_(old_mirpurkhas-i)),Constituency NA-226,Q13100975
area/na-227_(mirpurkhas-cum-umerkot_(ii)_(old_mirpurkhas-ii)),Constituency NA-227,Q13101060
area/na-228_(umerkot_(old_mirpurkhas-iii)),Constituency NA-228,Q13101169
area/na-229_(tharparkar-i),Constituency NA-229,Q13101249
area/na-22_(battagram),Constituency NA-22,Q5163979
area/na-230_(tharparkar-ii),Constituency NA-230,Q13101323
area/na-231_(jamshoro_(old_dadu-i)),Constituency NA-231,Q13101342
area/na-232_(dadu-i_(old_dadu-ii)),Constituency NA-232,Q13101354
area/na-233_(dadu-ii_(old_dadu-iii)),Constituency NA-233,Q13101650
area/na-234_(sanghar-i),Constituency NA-234,Q13102008
area/na-235_(sanghar-cum-mirpurkhas-cum-umerkot_(old_sanghar-ii)),Constituency NA-235,Q13102320
area/na-236_(sanghar-ii_(old_snaghar-iii)),Constituency NA-236,Q13102772
area/na-237_(thatta-i),Constituency NA-237,Q13103363
area/na-238_(thatta-ii),Constituency NA-238,Q13103821
area/na-239_(karachi-i),Constituency NA-239,Q12857439
area/na-23_(kohistan_),Constituency NA-23,Q5163980
area/na-240_(karachi-ii),Constituency NA-240,Q12857440
area/na-241_(karachi-iii),Constituency NA-241,Q12857441
area/na-242_(karachi-iv),Constituency NA-242,Q12857443
area/na-243_(karachi-v),Constituency NA-243,Q12857446
area/na-244_(karachi-vi),Constituency NA-244,Q12857450
area/na-245_(karachi-vii),Constituency NA-245,Q12857455
area/na-246_(karachi-viii),Constituency NA-246,Q12857456
area/na-247_(karachi-ix),Constituency NA-247,Q12857459
area/na-248_(karachi-x),Constituency NA-248,Q12857465
area/na-249_(karachi-xi),Constituency NA-249,Q12857468
area/na-24_(d.i.khan_),Constituency NA-24,Q5163981
area/na-250_(karachi-xii),Constituency NA-250,Q12857471
area/na-251_(karachi-xiii),Constituency NA-251,Q12857473
area/na-252_(karachi-xiv),Constituency NA-252,Q12857474
area/na-253_(karachi-xv),Constituency NA-253,Q12857475
area/na-254_(karachi-xvi),Constituency NA-254,Q12857477
area/na-255_(karachi-xvii),Constituency NA-255,Q12857478
area/na-256_(karachi-xviii),Constituency NA-256,Q12857480
area/na-257_(karachi-xix),Constituency NA-257,Q12857482
area/na-258_(karachi-xx),Constituency NA-258,Q12857483
area/na-259_(quetta),Constituency NA-259,Q12912852
area/na-25_(d.i.khan-cum-tank),Constituency NA-25,Q5163982
area/na-260_(quetta-cum-changai-cum-nushki_(old_quetta-cum-chagai-cum-mustang)),Constituency NA-260,Q12912865
area/na-261_(pishin-cum-ziarat),Constituency NA-261,Q12912868
area/na-262_(killa_abdullah),Constituency NA-262,Q12912963
area/na-263_(loralai),Constituency NA-263,Q12973083
area/na-264_(zhob-cum-killa-sherani_saifullah),Constituency NA-264,Q12973085
area/na-265_(sibi-cum-kolhu-cum-dera_bugti),Constituency NA-265,Q12973086
area/na-266_(nasirabad),Constituency NA-266,Q12973087
area/na-267_(kachhi),Constituency NA-267,Q12978780
