id,name,position,start_date,end_date
ff9541bb-6a1e-44e3-924c-acb354d611c8,Jeanne Shaheen,Member of the New Hampshire State Senate,,
ff9541bb-6a1e-44e3-924c-acb354d611c8,Jeanne Shaheen,Governor of New Hampshire,1997-01-09,2003-01-09
a5f33bdc-7084-465f-a891-607b7d810486,Jeff Flake,United States representative,,
0338f0ea-52d0-493e-8a21-b9eef903d7d8,Jeff Merkley,member of the Oregon House of Representatives,,
2fdbbff7-046c-43b5-9cfc-801f15a3b8bf,Jeff Sessions,Attorney General of Alabama,1995-01-16,1997-01-03
29ddd46b-7096-4bdb-b0cb-21df78097f09,Jerry Moran,United States representative,,
29ddd46b-7096-4bdb-b0cb-21df78097f09,Jerry Moran,Member of the Kansas Senate,,
00f69880-a0e7-4092-9220-3d5e0fce871a,Jim Jeffords,United States representative,,
b7e8d905-4681-450a-b129-dc1e79ab0338,Joe Donnelly,United States representative,,
b02cc537-374e-409e-8738-d850922475e6,"Joe Manchin, III",Governor of West Virginia,,
b02cc537-374e-409e-8738-d850922475e6,"Joe Manchin, III",member of the State Senate of West Virginia,,
40bd653f-fc86-4ed1-88fe-4950ff9ba8c4,John Barrasso,Member of the Wyoming State Senate,,
d5f0dd2c-fc84-490c-9413-2a60588b2af2,John Boozman,United States representative,,
66f7cd3c-55ce-4891-b500-23cf2ab645e4,John Cornyn,Texas Attorney General,1999-01-13,2002-12-01
2f165168-e1fc-4275-9fe8-6a2bcaf14c5f,"John D. Rockefeller, IV",Secretary of State of West Virginia,1969-01-13,1973-01-15
2f165168-e1fc-4275-9fe8-6a2bcaf14c5f,"John D. Rockefeller, IV",Governor of West Virginia,,
8bb73265-c80d-4bf3-863f-f3af0c6760f4,John Hoeven,Governor of North Dakota,2000-12-15,2010-12-07
bab0e03f-8555-4e7f-8b25-52801a51aa6d,"John Johnston, Jr.",member of the Louisiana House of Representatives,,
bab0e03f-8555-4e7f-8b25-52801a51aa6d,"John Johnston, Jr.",member of the Louisiana State Senate,,
96324d91-c6e4-401a-b43e-a526dabe40a8,John McCain,United States representative,1983-01-03,1987-01-03
78c74815-5d54-4e9d-b962-372954131087,John Thune,United States representative,,
b0dde5ba-e9d6-4ea9-9e2c-876a4d8edc01,Johnny Isakson,United States representative,,
b0dde5ba-e9d6-4ea9-9e2c-876a4d8edc01,Johnny Isakson,member of the Georgia House of Representatives,,
10ec1319-9205-4161-884e-8dd08cadac74,Jon Tester,member of the State Senate of Montana,,
99707c77-83bd-49a3-af03-2fce82d000f1,Joni Ernst,member of the Iowa Senate,,
27b4ce08-a79d-4dee-9b8f-a7a709e94b58,Kirsten E. Gillibrand,United States representative,,
24ea1bbe-c595-4da4-b9e1-483294d49b67,Lamar Alexander,United States Secretary of Education,1991-03-22,1993-01-20
24ea1bbe-c595-4da4-b9e1-483294d49b67,Lamar Alexander,Republican Conference Chairman of the United States Senate,2007-12-19,2012-01-26
24ea1bbe-c595-4da4-b9e1-483294d49b67,Lamar Alexander,Governor of Tennessee,1979-01-17,1987-01-17
c5551db4-c26c-4dc8-94ee-c9172a79a864,Lindsey Graham,United States representative,1995-01-03,2003-01-03
c5551db4-c26c-4dc8-94ee-c9172a79a864,Lindsey Graham,member of the South Carolina House of Representatives,,
7ddb3bc5-392f-4d81-9ace-f7496172ae32,"Lloyd Bentsen, Jr.",United States representative,,
7ddb3bc5-392f-4d81-9ace-f7496172ae32,"Lloyd Bentsen, Jr.",United States Secretary of the Treasury,,
a9188b04-84c2-4821-9748-3b4a4fb3ec52,Marco Rubio,Member of the Florida House of Representatives,2000-01-25,2008-11-18
0145d3ca-8f4d-4e24-a5d6-34df24ee3f16,Maria Cantwell,United States representative,,
0145d3ca-8f4d-4e24-a5d6-34df24ee3f16,Maria Cantwell,member of the Washington House of Representatives,,
0b33d8fd-b46d-4e67-86ec-d30fadc4dc80,Mark Kirk,United States representative,,
56949a33-87ed-4073-8d57-58c9ffa96688,Mark R. Warner,Governor of Virginia,,
ed33f0f7-fda1-41e6-9ca5-b6ba0d7751b3,Martin Heinrich,United States representative,,
d6655e29-a727-43ec-8b7d-154faf7d3878,Mazie K. Hirono,United States representative,,
d6655e29-a727-43ec-8b7d-154faf7d3878,Mazie K. Hirono,Member of the Hawaii House of Representatives,,
b774e2f1-80ec-47ba-b2b8-403508d57854,Michael B. Enzi,Member of the Wyoming House of Representatives,,
b774e2f1-80ec-47ba-b2b8-403508d57854,Michael B. Enzi,Member of the Wyoming State Senate,,
94734d28-86bb-4f6b-afb9-93988473ea9f,Mike Crapo,United States representative,,
94734d28-86bb-4f6b-afb9-93988473ea9f,Mike Crapo,member of the Idaho Senate,,
dc87cc05-15e7-4432-bb4f-b47d07042eaa,Mike Rounds,Governor of South Dakota,2003-01-07,2011-01-08
2ca9f594-5208-497b-99f4-a9d94e15086a,Orrin G. Hatch,President pro tempore of the United States Senate,2015-01-03,
84d74610-583d-496e-926d-6a04bb50d04f,Pat Roberts,United States representative,,
79c66dfb-dd5e-420b-9229-fed2c8d1c2c7,Patrick J. Leahy,President pro tempore of the United States Senate,2015-01-03,
79c66dfb-dd5e-420b-9229-fed2c8d1c2c7,Patrick J. Leahy,President pro tempore of the United States Senate,2012-12-17,2015-01-03
72cefb2c-e7c2-481a-820f-de90d3735f7c,Patrick J. Toomey,United States representative,1999-01-03,2005-01-03
ac875fb4-afbc-4465-a064-bdbe17a92743,Patty Murray,United States Senate Democratic Conference Secretary,2007-01-03,
ac875fb4-afbc-4465-a064-bdbe17a92743,Patty Murray,member of the Washington House of Representatives,1989-01-09,1993-01-11
35755695-fce9-4a16-89f7-a606ef3d5e14,Pete Domenici,Mayor of Albuquerque,1967-10,1970-03
3fe9aa10-1ac0-46f6-856f-302f0669a687,Pete Wilson,member of the California State Assembly,,
3fe9aa10-1ac0-46f6-856f-302f0669a687,Pete Wilson,Governor of California,1991-01-07,1999-01-04
3fe9aa10-1ac0-46f6-856f-302f0669a687,Pete Wilson,Mayor of San Diego,,
c1d19c22-316f-4864-bec2-3b924eb38cd4,Richard Blumenthal,member of the Connecticut House of Representatives,,
c1d19c22-316f-4864-bec2-3b924eb38cd4,Richard Blumenthal,member of the Connecticut Senate,,
def24ef9-e1fe-4fba-967c-ea0a97fa8404,Richard Bryan,Governor of Nevada,,
e55dfe24-a4e6-4236-b9d3-a7089c6d9f3a,Richard Burr,United States representative,,
ee9a99d0-5d9a-4672-94bc-6cf132fd897d,Richard C. Shelby,United States representative,,
8fe0ac60-6e0c-4323-80d2-873dec9c5c51,Richard J. Durbin,United States representative,,
63bf8f10-c398-44d0-acfa-a0d90a28b9cd,Rob Portman,United States representative,,
c6c4fcd9-7666-4e2b-a0d9-8ecee4614c03,Robert Menendez,United States representative,,
c6c4fcd9-7666-4e2b-a0d9-8ecee4614c03,Robert Menendez,member of the New Jersey General Assembly,,
c6c4fcd9-7666-4e2b-a0d9-8ecee4614c03,Robert Menendez,member of the New Jersey Senate,,
c6c4fcd9-7666-4e2b-a0d9-8ecee4614c03,Robert Menendez,Democratic Caucus Chairman of the United States House of Representatives,2003-01-03,2006-01-16
c6c4fcd9-7666-4e2b-a0d9-8ecee4614c03,Robert Menendez,Democratic Caucus Vice-Chairman of the United States House of Representatives,1999-01-03,2003-01-03
4b344da0-2dbc-4531-8821-fc44686a9838,Roger F. Wicker,United States representative,,
