id,name,position,start_date,end_date
98f69130-de55-4575-a7be-f257c356eb33,AELTON FREITAS,Member of the Senate of Brazil,,
01caddc4-e069-4ac0-9c6a-cba7c4a99069,ALFREDO NASCIMENTO,Member of the Senate of Brazil,,
b1035d9e-43aa-485a-aa17-24e3982635e9,ALMEIDA LIMA,Member of the Senate of Brazil,,
e34cd9b5-995f-43a3-a8b3-b11ef2501fa4,BENEDITA DA SILVA,Member of the Senate of Brazil,,
450ac916-a2ab-4cec-9fc4-c5bd72d37e30,CARLOS BEZERRA,Member of the Senate of Brazil,,
064e354c-ade6-4403-a0ab-3082314055e7,DAVI ALCOLUMBRE,Member of the Senate of Brazil,,
de251ce3-d207-469d-be2e-23d09473be7b,ESPERIDIÃO AMIN,Member of the Senate of Brazil,,
f9990eba-1396-4a2b-87d2-bf81128a7d48,FLAVIANO MELO,Member of the Senate of Brazil,,
7b3ecba7-680a-4eec-9a03-4357a0c7f52c,GEORGE HILTON,Minister of Sports,2015-01-01,2016-03-30
79d6b5be-04c7-47dc-912d-2c000912c2e9,HERÁCLITO FORTES,Member of the Senate of Brazil,,
c77d96e5-45f0-42f7-ba77-ad7245287aa0,JARBAS VASCONCELOS,Member of the Senate of Brazil,,
f31967a2-ebd4-4f98-819c-86c6f0e444c9,JOÃO LYRA,Member of the Senate of Brazil,1989,1991
c1f6dc29-5acb-4784-b3e3-93a4a38f3125,JÚLIO CAMPOS,Member of the Senate of Brazil,,
b2c585be-e9d0-4581-8238-f97850d35819,LEONARDO PICCIANI,Minister of Sports,2016-05-12,
fdab7071-ff04-41fe-ab8c-a6d64d497254,MAURO BENEVIDES,Member of the Senate of Brazil,,
81df2ad5-28d4-4f16-bdf0-cdcd0b525eb6,ROBERTO FREIRE,Member of the Senate of Brazil,,
3f8a197d-e0d5-4813-b57b-79bffd150ef2,ROMÁRIO,Member of the Senate of Brazil,2015-02-01,
0c4237a1-36c9-48e9-8a74-b5a776af0146,RUI PALMEIRA,Member of the Senate of Brazil,,
2e25f15f-b6e6-4435-8659-14e676701855,SEBASTIÃO BALA ROCHA,Member of the Senate of Brazil,,
1bdb8757-3914-4d72-9e79-6078d70e1366,SERGIO GUERRA,Member of the Senate of Brazil,,
4fe8fb38-a40d-4f3d-8ad6-8ec92b1aa26b,SERGIO SOUZA,Member of the Senate of Brazil,,
d0e11d9d-28ae-48f4-b25d-c1be4bfa33cc,SIBÁ MACHADO,Member of the Senate of Brazil,,
18248978-6773-47ac-8271-8bc0010892b7,WELLINGTON ROBERTO,Member of the Senate of Brazil,,
