id,name,sort_name,gender,email,district,party,party_id,term,area
1,Mario Acuña Cisternas,Acuña,male,"",0,Partido Demócrata Cristiano,DC,1,""
1,Mario Acuña Cisternas,Acuña,male,"",52,Partido Demócrata Cristiano,DC,2,52
1,Mario Acuña Cisternas,Acuña,male,"",52,Partido Demócrata Cristiano,DC,3,52
10,Nelson Avila Contreras,Avila,male,"",0,Partido Por la Democracia,PPD,2,""
10,Nelson Avila Contreras,Avila,male,"",11,Partido Por la Democracia,PPD,3,11
1000,Luis Rocafull López,Rocafull,male,luis.rocafull,1,Partido Socialista,PS,8,1
1001,Raúl Saldívar Auger,Saldívar,male,raul.saldivar,7,Partido Socialista,PS,8,7
1002,Leonardo Soto Ferrada,Soto,male,leonardo.soto,30,Partido Socialista,PS,8,30
1003,Renzo Trisotti Martínez,Trisotti,male,renzo.trisotti,2,Unión Demócrata Independiente,UDI,8,2
1004,Christian Urízar Muñoz,Urízar,male,christian.urizar,10,Partido Socialista,PS,8,10
1005,Osvaldo Urrutia Soto,Urrutia,male,osvaldo.urrutia,14,Unión Demócrata Independiente,UDI,8,14
1006,Camila Vallejo Dowling,Vallejo,female,camila.vallejo,26,Partido Comunista,PC,8,26
1007,Miguel Ángel Alvarado Ramírez,Alvarado,male,miguelangel.alvarado,9,Partido Por la Democracia,PPD,8,9
103,Antonella Sciaraffia Estrada,Sciaraffia,female,"",2,Partido Demócrata Cristiano,DC,3,2
106,Jorge Soria Macchiavello,Soria,male,"",0,Partido Por la Democracia,PPD,2,""
106,Jorge Soria Macchiavello,Soria,male,"",2,Partido Por la Democracia,PPD,3,2
11,Francisco Bartolucci Johnston,Bartolucci,male,"",0,Unión Demócrata Independiente,UDI,1,""
11,Francisco Bartolucci Johnston,Bartolucci,male,"",13,Unión Demócrata Independiente,UDI,2,13
11,Francisco Bartolucci Johnston,Bartolucci,male,"",13,Unión Demócrata Independiente,UDI,3,13
110,Salvador Urrutia Cárdenas,Urrutia,male,"",0,Partido Por la Democracia,PPD,2,""
110,Salvador Urrutia Cárdenas,Urrutia,male,"",1,Partido Por la Democracia,PPD,3,1
111,Felipe Valenzuela Herrera,Valenzuela,male,"",0,Partido Socialista,PS,1,""
111,Felipe Valenzuela Herrera,Valenzuela,male,"",4,Partido Socialista,PS,2,4
111,Felipe Valenzuela Herrera,Valenzuela,male,"",4,Partido Socialista,PS,3,4
112,Enrique Van Rysselberghe Varela,Van Rysselberghe,male,"",44,Unión Demócrata Independiente,UDI,3,44
114,Osvaldo Vega Vera,Vega,male,"",0,Renovación Nacional,RN,2,""
114,Osvaldo Vega Vera,Vega,male,"",40,Renovación Nacional,RN,3,40
115,Sergio Velasco De la Cerda,Velasco,male,"",0,Partido Demócrata Cristiano,DC,1,""
115,Sergio Velasco De la Cerda,Velasco,male,"",15,Partido Demócrata Cristiano,DC,3,15
119,Ignacio Walker Prieto,Walker,male,"",0,Partido Demócrata Cristiano,DC,2,""
119,Ignacio Walker Prieto,Walker,male,"",10,Partido Demócrata Cristiano,DC,3,10
121,María Rozas Velásquez,Rozas,female,"",17,Partido Demócrata Cristiano,DC,3,17
13,Manuel Bustos Huerta,Bustos,male,"",17,Partido Demócrata Cristiano,DC,3,17
132,Francisco Bayo Veloso,Bayo,male,fbayo,0,Renovación Nacional,RN,1,""
132,Francisco Bayo Veloso,Bayo,male,fbayo,48,Renovación Nacional,RN,2,48
132,Francisco Bayo Veloso,Bayo,male,fbayo,48,Renovación Nacional,RN,4,48
137,Eliana Caraball Martínez,Caraball,female,ecarabal,0,Partido Demócrata Cristiano,DC,1,""
137,Eliana Caraball Martínez,Caraball,female,ecarabal,27,Partido Demócrata Cristiano,DC,3,27
137,Eliana Caraball Martínez,Caraball,female,ecarabal,27,Partido Demócrata Cristiano,DC,4,27
140,Patricio Cornejo Vidaurrázaga,Cornejo,male,pcornejo,11,Partido Demócrata Cristiano,DC,3,11
140,Patricio Cornejo Vidaurrázaga,Cornejo,male,pcornejo,11,Partido Demócrata Cristiano,DC,4,11
15,Carlos Caminondo Sáez,Caminondo,male,"",0,Renovación Nacional,RN,1,""
15,Carlos Caminondo Sáez,Caminondo,male,"",54,Renovación Nacional,RN,2,54
15,Carlos Caminondo Sáez,Caminondo,male,"",54,Renovación Nacional,RN,3,54
150,Camilo Escalona Medina,Escalona,male,cescalona,0,Partido Socialista,PS,1,""
150,Camilo Escalona Medina,Escalona,male,cescalona,27,Partido Socialista,PS,2,27
150,Camilo Escalona Medina,Escalona,male,cescalona,46,Partido Socialista,PS,4,46
151,Mario Escobar Urbina,Escobar,male,mescobar,3,Unión Demócrata Independiente,UDI,4,3
155,José Antonio Galilea Vidaurre,Galilea,male,jgalilea,0,Renovación Nacional,RN,1,""
155,José Antonio Galilea Vidaurre,Galilea,male,jgalilea,49,Renovación Nacional,RN,2,49
155,José Antonio Galilea Vidaurre,Galilea,male,jgalilea,49,Renovación Nacional,RN,3,49
155,José Antonio Galilea Vidaurre,Galilea,male,jgalilea,49,Renovación Nacional,RN,4,49
158,Guido Girardi Lavín,Girardi,male,ggirardi,0,Partido Por la Democracia,PPD,2,""
158,Guido Girardi Lavín,Girardi,male,ggirardi,18,Partido Por la Democracia,PPD,3,18
158,Guido Girardi Lavín,Girardi,male,ggirardi,18,Partido Por la Democracia,PPD,4,18
159,Rosa González Román,González,female,rosadearica,1,Independientes,IND,3,1
159,Rosa González Román,González,female,rosadearica,1,Unión Demócrata Independiente,UDI,4,1
161,María Pía Guzmán Mena,Guzmán,female,cdpia,23,Renovación Nacional,RN,3,23
161,María Pía Guzmán Mena,Guzmán,female,cdpia,23,Renovación Nacional,RN,4,23
164,Carlos Hidalgo González,Hidalgo,male,chidalgo,15,Independientes,IND,4,15
165,Gonzalo Ibáñez Santa María,Ibáñez,male,gibanez,14,Unión Demócrata Independiente,UDI,3,14
165,Gonzalo Ibáñez Santa María,Ibáñez,male,gibanez,14,Unión Demócrata Independiente,UDI,4,14
166,Carmen Ibáñez Soto,Ibáñez,female,cibanez,13,Renovación Nacional,RN,4,13
169,Víctor Jeame Barrueto,Jeame,male,barrueto,0,Partido Por la Democracia,PPD,1,""
169,Víctor Jeame Barrueto,Jeame,male,barrueto,43,Partido Por la Democracia,PPD,2,43
169,Víctor Jeame Barrueto,Jeame,male,barrueto,43,Partido Por la Democracia,PPD,3,43
169,Víctor Jeame Barrueto,Jeame,male,barrueto,43,Partido Por la Democracia,PPD,4,43
170,Jaime Jiménez Villavicencio,Jiménez,male,jjimenez,31,Partido Demócrata Cristiano,DC,3,31
170,Jaime Jiménez Villavicencio,Jiménez,male,jjimenez,31,Independientes,IND,4,31
172,Carlos Kuschel Silva,Kuschel,male,carlos.kuschel,0,Renovación Nacional,RN,1,""
