id,name,sort_name,gender,email,district,party,party_id,term,area
177,Felipe Letelier Norambuena,Letelier,male,felipe.letelier,33,Partido Por la Democracia,PPD,8,33
802,Sergio Aguiló Melo,Aguiló,male,saguilo,37,Independientes,IND,8,37
811,Ramón Barros Montero,Barros,male,jbarros,35,Unión Demócrata Independiente,UDI,8,35
813,Germán Becker Alvear,Becker,male,gbecker,50,Renovación Nacional,RN,8,50
819,Guillermo Ceroni Fuentes,Ceroni,male,gceroni,40,Partido Por la Democracia,PPD,8,40
836,Marcos Espinosa Monardes,Espinosa,male,mespinosa,3,Partido Radical Social Demócrata,PRSD,8,3
837,Fidel Espinoza Sandoval,Espinoza,male,fespinoza,56,Partido Socialista,PS,8,56
839,Ramón Farías Ponce,Farías,male,rfarias,25,Partido Por la Democracia,PPD,8,25
843,René Manuel García García,García,male,rmgarcia,52,Renovación Nacional,RN,8,52
846,Joaquín Godoy Ibáñez,Godoy,male,jgodoy,13,Independientes,IND,8,13
848,Rodrigo González Torres,González,male,rodrigogonzalez,14,Partido Por la Democracia,PPD,8,14
850,Javier Hernández Hernández,Hernández,male,jhernandez,55,Unión Demócrata Independiente,UDI,8,55
852,Jorge Insunza Gregorio de las Heras,Insunza,male,jorge.insunza,9,Partido Por la Democracia,PPD,8,9
854,Enrique Jaramillo Becker,Jaramillo,male,ejaramil,54,Partido Por la Democracia,PPD,8,54
855,Carlos Abel Jarpa Wevar,Jarpa,male,cjarpa,41,Partido Radical Social Demócrata,PRSD,8,41
856,Tucapel Jiménez Fuentes,Jiménez,male,tjimenez,27,Partido Por la Democracia,PPD,8,27
857,José Antonio Kast Rist,Kast,male,jkast,24,Unión Demócrata Independiente,UDI,8,24
860,Roberto León Ramírez,León,male,rleon,36,Partido Demócrata Cristiano,DC,8,36
862,Pablo Lorenzini Basso,Lorenzini,male,plorenzi,38,Partido Demócrata Cristiano,DC,8,38
863,Rosauro Martínez Labbé,Martínez,male,romar,41,Renovación Nacional,RN,8,41
865,Patricio Melero Abaroa,Melero,male,pmelero,16,Unión Demócrata Independiente,UDI,8,16
866,Fernando Meza Moncada,Meza,male,fmeza,52,Partido Radical Social Demócrata,PRSD,8,52
867,Cristián Monckeberg Bruner,Monckeberg,male,cmonckeberg,23,Renovación Nacional,RN,8,23
868,Nicolás Monckeberg Díaz,Monckeberg,male,nmonckeberg,18,Renovación Nacional,RN,8,18
869,Manuel Monsalve Benavides,Monsalve,male,mmonsalve,46,Partido Socialista,PS,8,46
874,Claudia Nogueira Fernández,Nogueira,female,cnogueira,19,Unión Demócrata Independiente,UDI,8,19
875,Iván Norambuena Farías,Norambuena,male,inorambuena,46,Unión Demócrata Independiente,UDI,8,46
876,Marco Antonio Núñez Lozano,Núñez,male,mnunez,11,Partido Por la Democracia,PPD,8,11
877,Sergio Ojeda Uribe,Ojeda,male,sojeda,55,Partido Demócrata Cristiano,DC,8,55
879,José Miguel Ortiz Novoa,Ortiz,male,jmortiz,44,Partido Demócrata Cristiano,DC,8,44
880,Clemira Pacheco Rivas,Pacheco,female,cpacheco,45,Partido Socialista,PS,8,45
883,Denise Pascal Allende,Pascal,female,dpascal,31,Partido Socialista,PS,8,31
885,José Pérez Arriagada,Pérez,male,jperez,47,Partido Radical Social Demócrata,PRSD,8,47
888,Alberto Robles Pantoja,Robles,male,arobles,6,Partido Radical Social Demócrata,PRSD,8,6
891,Karla Rubilar Barahona,Rubilar,female,krubilar,17,Independientes,IND,8,17
893,Jorge Sabag Villalobos,Sabag,male,jsabag,42,Partido Demócrata Cristiano,DC,8,42
