id,wikidata
"tallinna_haabersti,_põhja-tallinna_ja_kristiine_linnaosa",Q3402163
"tallinna_kesklinna,_lasnamäe_ja_pirita_linnaosa",Q3025278
tallinna_mustamäe_ja_nõmme_linnaosa,Q2420663
harju-_ja_raplamaa,Q3413626
"hiiu-,_lääne-_ja_saaremaa",Q2972997
lääne-virumaa,Q3485728
ida-virumaa,Q3479058
järva-_ja_viljandimaa,Q3142965
jõgeva-_ja_tartumaa,Q3338787
tartu_linn,Q3032626
"võru-,_valga-_ja_põlvamaa",Q3352911
pärnumaa,Q3038253
34325377-b7ea-4511-811f-41ab555fc6e9,Q3402163
b2aa7cf7-1495-473d-99fa-571824dfdd47,Q3025278
05773892-0b18-47b9-830b-a7fa13737ea2,Q2420663
07217ad6-6d05-41c2-86cb-b14f0c778ff4,Q3413626
dc9d4a85-9eb1-43c4-b2f7-d48e83700f74,Q2972997
faf2f6db-0177-4fc3-b764-630feb1d627d,Q3485728
81c61fb7-76be-4cac-aa0b-332d85f2dc0e,Q3479058
9e438313-5ed3-4c94-968a-869b10c8ed66,Q3142965
06c87347-f5f9-4559-ac81-712851aa9f55,Q3338787
45a35b1d-9b7c-4a18-9364-3ba1000c1e50,Q3032626
05557089-8a7a-4382-b1e4-5ac4923c6ead,Q3352911
23422b41-11c4-4ee0-bd65-4594b1beffd8,Q3038253
