id,name,start_date,end_date
1989,1989–1994,1989,1994
1994,1994–1999,1994,1999
1999,1999–2000,1999,2000
2000,2000–2005,2000,2005
2005,2005–2010,2005,2010
2010,2010–2015,2010,2015
2015,2015–2020,2015,2020
