name,full_name,family_name,given_name,sort_name,party,term,area,area_id,source,image
Kenneth HARRIGAN,Kenneth HARRIGAN,HARRIGAN,Kenneth,"HARRIGAN, Kenneth",Anguilla National Alliance,1989,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,
Kenneth HARRIGAN,Kenneth HARRIGAN,HARRIGAN,Kenneth,"HARRIGAN, Kenneth",Anguilla National Alliance,1994,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,
Kenneth HARRIGAN,Kenneth HARRIGAN,HARRIGAN,Kenneth,"HARRIGAN, Kenneth",Anguilla National Alliance,1999,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,
Kenneth HARRIGAN,Kenneth HARRIGAN,HARRIGAN,Kenneth,"HARRIGAN, Kenneth",Anguilla National Alliance,2000,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,
Kenneth HARRIGAN,Kenneth HARRIGAN,HARRIGAN,Kenneth,"HARRIGAN, Kenneth",Anguilla United Front,2005,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,
Othlyn VANTERPOOL,Othlyn VANTERPOOL,VANTERPOOL,Othlyn,"VANTERPOOL, Othlyn",Anguilla United Front,2010,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,http://www.caribbeanelections.com/ai/images/people/Othlyn_Vanterpool_2015_02.jpg
Palmavon WEBSTER,Palmavon WEBSTER,WEBSTER,Palmavon,"WEBSTER, Palmavon",Independent,2015,Island Harbour,1,http://www.caribbeanelections.com/ai/election2015/districts/district01.asp,http://www.caribbeanelections.com/ai/images/people/Palmavon_Webster_02.jpg
Osbourne B. FLEMING,Osbourne B. FLEMING,FLEMING,Osbourne B.,"FLEMING, Osbourne B.",Independent,1989,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,
Osbourne B. FLEMING,Osbourne B. FLEMING,FLEMING,Osbourne B.,"FLEMING, Osbourne B.",Independent,1994,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,
Osbourne B. FLEMING,Osbourne B. FLEMING,FLEMING,Osbourne B.,"FLEMING, Osbourne B.",Anguilla National Alliance,1999,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,
Osbourne B. FLEMING,Osbourne B. FLEMING,FLEMING,Osbourne B.,"FLEMING, Osbourne B.",Anguilla National Alliance,2000,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,
Osbourne B. FLEMING,Osbourne B. FLEMING,FLEMING,Osbourne B.,"FLEMING, Osbourne B.",Anguilla United Front,2005,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,
Jerome ROBERTS,Jerome ROBERTS,ROBERTS,Jerome,"ROBERTS, Jerome",Anguilla Progressive Party,2010,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,http://www.caribbeanelections.com/ai/images/people/Jerome_Roberts_2015_02.jpg
Cora RICHARDSON-HODGE,Cora RICHARDSON-HODGE,RICHARDSON-HODGE,Cora,"RICHARDSON-HODGE, Cora",Anguilla United Front,2015,Sandy Hill,2,http://www.caribbeanelections.com/ai/election2015/districts/district02.asp,http://www.caribbeanelections.com/ai/images/people/Coral_Richardson_Hodge_2015_02.jpg
Eric REID,Eric REID,REID,Eric,"REID, Eric",Anguilla National Alliance,1989,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,
Eric REID,Eric REID,REID,Eric,"REID, Eric",Anguilla National Alliance,1994,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,
Eric REID,Eric REID,REID,Eric,"REID, Eric",Anguilla National Alliance,1999,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,
Eric REID,Eric REID,REID,Eric,"REID, Eric",Anguilla National Alliance,2000,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,
Evans McNiel ROGERS,Evans McNiel ROGERS,ROGERS,Evans McNiel,"ROGERS, Evans McNiel",Anguilla United Front,2005,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,http://www.caribbeanelections.com/ai/images/people/Evans_Rogers_2015_02.jpg
Evans McNiel ROGERS,Evans McNiel ROGERS,ROGERS,Evans McNiel,"ROGERS, Evans McNiel",Anguilla United Front,2010,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,http://www.caribbeanelections.com/ai/images/people/Evans_Rogers_2015_02.jpg
Evans McNiel ROGERS,Evans McNiel ROGERS,ROGERS,Evans McNiel,"ROGERS, Evans McNiel",Anguilla United Front,2015,Valley North,3,http://www.caribbeanelections.com/ai/election2015/districts/district03.asp,http://www.caribbeanelections.com/ai/images/people/Evans_Rogers_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla Democratic Party,1989,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla Democratic Party,1994,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla Democratic Party,1999,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla Democratic Party,2000,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla United Front,2005,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Evan GUMBS,Evan GUMBS,GUMBS,Evan,"GUMBS, Evan",Anguilla United Movement,2010,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Evan_Gumbs_2015_02.jpg
Victor BANKS,Victor BANKS,BANKS,Victor,"BANKS, Victor",Anguilla United Front,2015,Valley South,4,http://www.caribbeanelections.com/ai/election2015/districts/district04.asp,http://www.caribbeanelections.com/ai/images/people/Victor_Banks_2015_02.jpg
Emile GUMBS,Emile GUMBS,GUMBS,Emile,"GUMBS, Emile",Anguilla National Alliance,1989,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
Edison BAIRD,Edison BAIRD,BAIRD,Edison,"BAIRD, Edison",Anguilla Democratic Party,1994,Road North,5,http://www.caribbeanelections.com/ai/election2015/districts/district05.asp,
