id,name,party,image,term,source
aleksandar-nikoloski,Aleksandar Nikoloski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Aleksandar-Nikolovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-aleksandar-nikoloski-2014-en.nspx
aleksandar-stojkoski,Aleksandar Stojkoski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Aleksandar-Stojkovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-aleksandar-stojkoski-2014-en.nspx
ali-ahmeti,Ali Ahmeti,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ali--Ahmeti.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-ali-ahmeti-2014-en.nspx
alim-bilali,Alim Bilali,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/AlimBilali.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-alim-bilali-2014-en.nspx
amdi-bajram,Amdi Bajram,Union of Roma of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Amdi-Bajram.jpg,2014,http://sobranie.mk/union-of-roma-of-macedonia-2014-ns_article-amdi-bajram-2014-en.nspx
andon-cibisev,Andon Cibisev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Andon-Chibishev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-andon-cibisev-2014-en.nspx
ane-laskoska,Ane Laskoska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ane-Laskoska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ane-laskoska-2014-en.nspx
antonijo-milososki,Antonijo Milososki,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Antonio-Milosevski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-antonijo-milososki-2014-en.nspx
artan-grubi,Artan Grubi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/A.Grubi.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-artan-grubi-2014-en.nspx
avdija-pepik,Avdija Pepik,Party for Democratic Action of Macedonia,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Avdija-Pepic.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-avdija-pepik-2014-en.nspx
bekim-fazliu,Bekim Fazliu,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Bekim-Fazliu.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-bekim-fazliu-2014-eng.nspx
blagica-lasovska,Blagica Lasovska,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Blagica-Lasovska.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-blagica-lasovska-2014-en.nspx
blagoja-despotovski,Blagoja Despotovski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Blagoja-Despotovski.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-blagoja-despotovski-2014-en.nspx
blagorodna-bojadzieva,Blagorodna Bojadzieva,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/B.Bojadzieva.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-blagorodna-bojadzieva-2014-en.nspx
chedomir-sazdovski,Chedomir Sazdovski,GROM,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/cedomir-sazdovski---grom.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-chedomir-sazdovski-2014-en.nspx
daniela-rangelova,Daniela Rangelova,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Daniela-Rangelova.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-daniela-rangelova-2014-en.nspx
dimitar-stevanandzija,Dimitar Stevanandzija,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Dimitat-Stevanandjija.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-dimitar-stevanandzija-2014-en.nspx
dragan-cuklev,Dragan Cuklev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Dragan-Cuklev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-dragan-cuklev-2014-en.nspx
dragan-danev,Dragan Danev,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/DraganDanev.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-dragan-danev-2014-en.nspx
ejup-rustemi,Ejup Rustemi,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ejup-Rustemi.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-ejup-rustemi-2014-en.nspx
ermira-mehmeti,Ermira Mehmeti,Democratic Union for Integration,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ermira-Mehmeti-Devaja.jpg,2014,http://sobranie.mk/democratic-union-for-integration-2014-ns_article-ermira-mehmeti-2014-en.nspx
ernad-fejzula,Ernad Fejzula,Democratic Party of Albanians,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Ernad-Fejzula.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-ernad-fejzula-2014-eng.nspx
fatmir-imeroski,Fatmir Imeroski,VMRO-DPMNE,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Fatmir-Imerovski-.jpg,2014,http://sobranie.mk/current-structure-2014-2018-ns_article-fatmir-imeroski-2014-en.nspx
