id,name,party,image,term,source,end_date
emil-dimitriev,Emil Dimitriev,VMRO-DPMNE,https://sobranie.mk/content/images/pratenici%20sliki%2014-18/Emil-Dimitriev.jpg,2014,https://sobranie.mk/vmro-dpmne-2014-ns_article-emil-dimitriev-2014-en.nspx,2016-01-18
romeo-trenov,Romeo Trenov,VMRO-DPMNE,http://www.sobranie.mk/content/images/pratenici%20sliki%2014-18/Romeo-Trenov.jpg,2014,http://www.sobranie.mk/current-structure-2014-2018-ns_article-romeo-trenov-2014-en.nspx,2015-10-29
silvana-boneva,Silvana Boneva,VMRO-DPMNE,http://www.sobranie.mk/content/images/romanija-eu.jpg,2014,http://www.sobranie.mk/current-structure-2014-2018-ns_article-silvana-boneva-2014-eng.nspx,2015-12-16
