statement,id,name,start_date,end_date,wikidata
Q30306677-7a9083c0-4290-dd17-a1a3-7fa0a9f5d8a5,2014,Sobranie 2014-2016,2014-05-10,2016-10-17,Q30306677
Q30306659-80d1dcab-4ffc-fcfe-643f-1090f8ab76f8,2016,Sobranie 2016-2020,2016-12-30,"",Q30306659
