id,uuid,wikidata
aveiro,fda2f770-d4ef-4338-be0b-58f6751dc048,Q210527
açores,9f3699bc-1a85-491b-8057-de6923704d46,Q25263
bragança,8732a79c-980c-4654-a0c9-56b7248247d3,Q373528
guarda,1aa17852-5eb8-43bc-a146-96ca21515334,Q273533
beja,e0099ab8-09d0-4bc5-8560-d0dabe72e941,Q321455
braga,eb073bce-bfd7-4bc1-a3fb-5720df172716,Q326203
castelo_branco,51009b54-888c-4671-991f-25fe4b74c78c,Q273529
coimbra,423cceff-2282-4d94-9922-6b5b86e9ac3b,Q244517
faro,5a4acfba-f1c6-437e-9fe9-f97ae7164e6d,Q244521
leiria,027cc29e-8264-49b4-934b-7f18719a41db,Q244512
lisboa,392bc8f5-4e7e-4c54-9e51-f0ddcde0787b,Q207199
portalegre,df7e9e75-7bed-4f38-b4e5-3ca6ae348d58,Q225189
santarém,e7e1c599-ab6c-4eca-bacb-e87addd2effb,Q244510
setúbal,a3e41172-2231-4ab1-9f47-6f767194092c,Q274109
viana_do_castelo,5380183b-f0d3-4519-8f95-9823fa2ff069,Q326214
Évora,a34fa591-b1a1-4234-ab52-4e662b6971dd,Q274118
porto,ed5cc8b9-92ac-4c31-a50e-52cab7150da0,Q322792
madeira,a51d19f1-1d65-40d4-8b59-51ac097e53e1,Q26253
vila_real,496b95a9-fc37-4b9d-a170-f2e9ea8c2220,Q379372
viseu,811a485c-a955-4e56-b6f2-23a72cf38a5d,Q273525
ponta_delgada,,Q4348932
