id,name,family_name,given_name,gender,party,faction,faction_id,area_id,area,statut,image,term,source
djaouga_boubacar,Boubacar DJAOUGA MAMADOU,DJAOUGA MAMADOU,Boubacar,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/840_54240ed83d448.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/djaouga_boubacar
domingo_cyriaque,Cyriaque DOMINGO,DOMINGO,Cyriaque,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/821_524db4e603532.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/domingo_cyriaque
essou_pascal,Noudokpo Pascal ESSOU,ESSOU,Noudokpo Pascal,male,"",UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,11,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/771_524d68f962844.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/essou_pascal
fagbohoun_sefou,Ladekpo Séfou FAGBOHOUN,FAGBOHOUN,Ladekpo Séfou,male,"",Union fait la Nation,union_fait_la_nation,21,PLATEAU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/773_524d6ba57218f.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/fagbohoun_sefou
fagnon_nicaise,Kotchami Nicaise FAGNON,FAGNON,Kotchami Nicaise,male,FCBE - Force Cauris pour un Bénin émergent,"Refondation, Paix et Développement",refondation_paix_et_développement,9,COLLINE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/777_524d715bb4e3a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/fagnon_nicaise
fikara_sacca,Sacca FIKARA,FIKARA,Sacca,male,"",Union fait la Nation,union_fait_la_nation,20,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/776_524d70535ef6d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/fikara_sacca
gbahoungba_david,David GBAHOUNGBA,GBAHOUNGBA,David,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Emergence,refondation_et_emergence,12,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/774_524d6ca5ed146.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/gbahoungba_david
gbenameto_jonas,Sedozon Jonas GBENAMETO,GBENAMETO,Sedozon Jonas,male,"",PRD - Union fait la Nation,prd_union_fait_la_nation,19,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/780_524d744d57c8f.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/gbenameto_jonas
gnigla_venance,Venance Lubin GNIGLA,GNIGLA,Venance Lubin,male,"","","",5,ATLANTIQUE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/779_524d73981c1a2.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/gnigla_venance
gobi_bado,Bado GOBI,GOBI,Bado,male,FCBE - Force Cauris pour un Bénin émergent,"","",14,DONGA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/778_524d72bf6efa8.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/gobi_bado
golou_emmanuel,Emmanuel GOLOU,GOLOU,Emmanuel,male,"",Union fait la Nation,union_fait_la_nation,11,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/782_524d762b16dd1.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/golou_emmanuel
gonroudobou_deke,Orou Dèkè GONROUDOBOU,GONROUDOBOU,Orou Dèkè,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Progrès,refondation_et_progrès,4,ATACORA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/783_524d76df3b213.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/gonroudobou_deke
goutolou_celestin,Célestin GOUTOLOU,GOUTOLOU,Célestin,male,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/827_533d831fb1caa.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/goutolou_celestin
hinnouho_atao,Mohamed Atao HINNOUHO,HINNOUHO,Mohamed Atao,male,"",PRD - Union fait la Nation,prd_union_fait_la_nation,15,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/787_527ce5418152a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/hinnouho_atao
