id,name,image,district,party,term,source
106000,Neil Harvey,http://www.alderney.gov.gg/media/image/7/g/140913_Alderney-673.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/106000/Neil-Harvey
106001,Louis Jean,http://www.alderney.gov.gg/media/image/7/2/140913_Alderney-731.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/106001/Louis-Jean
106002,Robert McDowall,http://www.alderney.gov.gg/media/image/8/9/140913_Alderney-822.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/106002/Robert-McDowall
106003,Chris Rowley,http://www.alderney.gov.gg/media/image/9/i/140913_Alderney-868.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/106003/Chris-Rowley
106004,Francis Simonet,http://www.alderney.gov.gg/media/image/a/i/140913_Alderney-982.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/106004/Francis-Simonet
112088,Norma Paris,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/112088/Norma-Paris
157565,Tony Barnes,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/157565/Tony-Barnes
157566,Mike Dean,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/157566/Mike-Dean
157567,Alex Snowdon,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/157567/Alex-Snowdon
157568,James Dent,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/157568/James-Dent
4081,Ian Tugby,http://www.alderney.gov.gg/media/image/6/o/140913_Alderney-801.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/4081/Ian-Tugby
4386,Steve Roberts,http://www.alderney.gov.gg/media/image/8/e/140913_Alderney-779.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/4386/Steve-Roberts
4387,Graham McKinley,"",Alderney,Independent,2014,http://www.alderney.gov.gg/article/4387/Graham-McKinley
4389,Matthew Birmingham,http://www.alderney.gov.gg/media/image/9/c/140913_Alderney-913.jpg,Alderney,Independent,2014,http://www.alderney.gov.gg/article/4389/Matthew-Birmingham
