id,identifier__parldata,name,start_date,end_date,wikidata
1,54d2a42b273a394ad5db921e,1. Národná rada 1994-1998,1994-10-01,1998-09-25,Q41692441
2,54d2a49c273a394ad5db975a,2. Národná rada 1998-2002,1998-09-26,2002-09-21,Q41692495
3,54d2a560273a394ad5dba024,3. Národná rada 2002-2006,2002-09-22,2006-06-16,Q41692499
4,54d2a637273a394ad5dbac90,4. Národná rada 2006-2010,2006-06-17,2010-06-12,Q41692503
5,54d2a70d273a394ad5dbb870,5. Národná rada 2010-2012,2010-06-13,2012-03-10,Q41692509
6,54d2a7e8273a394ad5dbc386,6. Národná rada 2012-2016,2012-03-11,2016-02-12,Q41692514
7,,7. Národná rada 2016-,2016-03-23,,Q41692517
