name,id,area,area_id,term,wikidata,source
Chang Pyong-kyu,14-99,Kangchol,99,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chang Pyong-thae,14-294,Uiju,294,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chang Song-kuk,14-454,Chasong,454,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chang Sun-kum,14-540,Inhung,540,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chang Ung,14-548,Toksan,548,13,Q3161947,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chang Yong-su,14-312,Kangryong,312,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chi Jae-ryong,14-633,Ryongbuk,633,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chi Jong-kwan,14-472,Munphyong,472,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chi Sang-man,14-331,Anak,331,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chin Chol-su,14-116,Sinphagang,116,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chin Sang-chol,14-348,Kumsong,348,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chin Yon-sil,14-353,Ohyon,353,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chin Yong-chol,14-138,Sujongkang,138,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chin Yong-il,14-671,Chonrima,671,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Chun-ryong,14-76,Kangdong,76,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Hyong-chol,14-60,Sadong,60,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Jae-yong,14-437,Huichon,437,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Cho Jong-ho,14-684,Tongmyong,684,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
