id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
13912,Adrian McQuillan,,,,DUP,dup,area/east_londonderry,East Londonderry,Northern Ireland Assembly,4,,,,male
11402,Alasdair McDonnell,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_south,Belfast South,Northern Ireland Assembly,4,,2015-06-28,,male
13927,Alastair Ross,,,,DUP,dup,area/east_antrim,East Antrim,Northern Ireland Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Alastair_Ross_DUP.jpg,male
13815,Alban Maginness,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_north,Belfast North,Northern Ireland Assembly,4,,,,male
13745,Alex Attwood,,,,Social Democratic and Labour Party,social-democratic-and-labour-party,area/belfast_west,Belfast West,Northern Ireland Assembly,4,,,"https://upload.wikimedia.org/wikipedia/commons/c/cc/May_Day,_Belfast,_April_2011_(056).JPG",male
13780,Alex Easton,,,,DUP,dup,area/north_down,North Down,Northern Ireland Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Alex_Easton.jpg,male
13816,Alex Maskey,,,,Sinn Féin,sinn-fein,area/belfast_south,Belfast South,Northern Ireland Assembly,4,,2014-11-03,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male
13816,Alex Maskey,,,,Sinn Féin,sinn-fein,area/belfast_west,Belfast West,Northern Ireland Assembly,4,2014-11-04,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Alex_Maskey.jpg,male
13902,Anna Lo,,,,Alliance,alliance,area/belfast_south,Belfast South,Northern Ireland Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Anna_Lo_MLA.jpg,female
13790,Arlene Foster,,,,DUP,dup,area/fermanagh_and_south_tyrone,Fermanagh and South Tyrone,Northern Ireland Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/4/4c/ArleneFoster.jpg,female
13825,Barry McElduff,,,,Sinn Féin,sinn-fein,area/west_tyrone,West Tyrone,Northern Ireland Assembly,4,,,,male
13907,Basil McCrea,,,,UUP,uup,area/lagan_valley,Lagan Valley,Northern Ireland Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Basil_McCrea_Lisburn_Office047.jpg,male
25132,Brenda Hale,,,,DUP,dup,area/lagan_valley,Lagan Valley,Northern Ireland Assembly,4,,,,female
