id,wikidata
bbdd1a24-1e81-49ff-8f08-1632313174ec,Q44282
04bce83c-6720-4b0a-8454-567113a7c5c1,Q3877750
58002be1-2145-4b3e-9509-1d6eb9f470f1,Q44102
8aa2a99a-7947-4bb0-8658-96ac17186fa5,Q441650
5dd79816-c881-4d2d-8b80-da4f6eabdcc5,Q3896810
10b22eeb-f545-41c7-a7a7-019d154dbb29,Q716379
07810bcc-5e23-465b-bd90-d5028f1bf730,Q578424
98320e11-d4f3-4bf6-9107-d90d8fcc69ff,Q17636764
6b396b1e-5683-4e32-a72c-4577a57f1fac,Q327591
400c2500-7c1a-4f2f-96e9-434743f9c054,Q25399163
711a1b59-75bf-45de-9b9d-853fa0f3bcc8,Q44282
9d79abd2-6b9c-4289-a618-6d85f5e85088,Q39056971
1c21e46b-893c-4d72-a709-0c3e18223dd4,Q60839557
