name,wikiname,constituency,party,term
1,"",Hon. James Taom,unknown,9
10,"",Hon. Atarake Nataara,unknown,9
11,"",Hon. Emil Shutz,unknown,9
12,"",Hon. Boutu Bateriki,unknown,9
13,"",Hon. Kourabi Nenem,unknown,9
14,"",Hon. Taoaba Kaiea,unknown,9
15,"",Hon. Shiu-fung Jong,unknown,9
16,"",Hon. Ioteba Redfern,unknown,9
17,"",Hon. Tebao Awerika,unknown,9
18,"",Hon. Tangariki Reete,unknown,9
19,"",Hon. David Collins,unknown,9
2,"",Hon. Pinto Katia,unknown,9
20,"",Hon. Kaure Baabo,unknown,9
21,"",Hon. Banuera Berina,unknown,9
22,"",Hon. Tianeti Ioane,unknown,9
23,"",Hon. Willie Tokataake,unknown,9
24,"",Hon. Natan Teewe,unknown,9
25,"",Hon. Bonteman Tabera,unknown,9
26,"",Hon. Sir Ieremia Tabai,unknown,9
27,"",Hon. Kobebe Taitai,unknown,9
28,"",Hon. Taberannang Timeon,unknown,9
29,"",Hon. Titabu Taabane,unknown,9
3,"",Hon. Alexander Teabo,unknown,9
30,"",Hon. Taneti Maamau,unknown,9
31,"",Hon. Kouraiti Beniato,unknown,9
32,"",Hon. Tetabo Nakara,unknown,9
33,"",Hon. Engiran Iuta,unknown,9
34,"",Hon. Tauanei Marea,unknown,9
35,"",Hon. Rimeta Beniamina,unknown,9
36,"",Hon. Tekeeua Tarati,unknown,9
37,"",Hon. Teima Onorio,unknown,9
38,"",Hon. Tibanga Taratai,unknown,9
39,"",Hon. Uriam Tirae,unknown,9
4,"",Hon. Tinian Reiher,unknown,9
40,"",Hon. Tekiau Aretateta,unknown,9
41,"",Hon. Tewaki Kobae,unknown,9
42,"",Hon. Mikarite Temari,unknown,9
43,"",Hon. Jacob Teem,unknown,9
44,"",Hon. Kirata Temamaka,unknown,9
45,"",Hon. David Christober,unknown,9
5,"",Hon. Ruateki Tekaiara,unknown,9
6,"",Hon. Ioteba Tebau,unknown,9
7,"",Hon. Dr. Teuea Toatu,unknown,9
8,"",Hon. Tekena Tiroa,unknown,9
9,"",Hon. Dr. Kautu Tenaua,unknown,9
