statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q20983252-ab36c979-4f9f-12ff-2f8a-b6001ff467da,Q20983252,Indranie Chandarpal,,,Q1972521,People's Progressive Party,"","",11
Q212760-0F001FD9-F56D-4FD9-A39A-018F33CA2F92,Q212760,Bharrat Jagdeo,,,Q1972521,People's Progressive Party,"","",11
Q25046178-CE583A02-BB7F-46CC-AE3C-77444920B524,Q25046178,Barton Scotland,,,Q1758037,speaker,"","",11
Q48955173-A60B4ADF-2EAE-4353-815B-59344D88AADE,Q48955173,Bheri Sygmond Ramsaran,,,Q1972521,People's Progressive Party,"","",11
Q53848199-0d1dd4f3-5796-42d3-849c-afbb621d9f1e,Q53848199,Carl Barrington Greenidge,,,Q16824207,A Partnership for National Unity,"","",11
Q62733292-A20ABC71-52E8-4F86-9719-A8EB4982B21D,Q62733292,David Patterson,,,Q16824207,A Partnership for National Unity,"","",11
Q62733325-7BF232AF-68B0-428F-A804-1DEA7EDB2834,Q62733325,George Norton,,,Q16824207,A Partnership for National Unity,"","",11
Q62733333-C3044CCD-CC2B-42F4-B926-E3A84937A3D6,Q62733333,Rupert Roopnarine,,,Q16824207,A Partnership for National Unity,"","",11
Q62733342-E08E5A08-456E-43F7-A0C9-9F7C3A3CF3EB,Q62733342,Joseph Harmon,,,Q16824207,A Partnership for National Unity,"","",11
Q62733361-AA540C43-7069-4D5D-A1B0-8EE4A983F919,Q62733361,Noel Holder,,,Q16824207,A Partnership for National Unity,"","",11
Q62733387-1121E277-D536-4269-BF62-B28A92FFF28D,Q62733387,Basil Williams,Q1185362,Demerara-Mahaica,Q16824207,A Partnership for National Unity,"","",11
Q62733422-74390DD1-9BB0-4742-9798-3419DA3176AF,Q62733422,Khemraj Ramjattan,,,Q16824207,A Partnership for National Unity,"","",11
Q62733431-2EA7ED36-69AD-43B9-BBA1-A51D07D4889B,Q62733431,Ronald A. Bulkan,,,Q16824207,A Partnership for National Unity,"","",11
