id,name,image,party,party_id,area,term,source
10409,Emanuel Jesus Correia Lopes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=10409,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=10409
10410,Luís António Gomes Alves,http://www.parlamento.cv/DepImag.aspx?CodDeputado=10410,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=10410
10416,Dália de Anunciação Delgado Vieira de Andrade Benholiel,http://www.parlamento.cv/DepImag.aspx?CodDeputado=10416,MPD,MPD,Boa Vista,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=10416
295,Carlos Alberto Gonçalves Lopes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=295,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=295
296,Adilson Silva Fernandes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=296,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=296
298,Austelino Tavares Correia,http://www.parlamento.cv/DepImag.aspx?CodDeputado=298,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=298
299,Celita Annie Alfama Pereira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=299,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=299
300,Alberto Mendes Montrond,http://www.parlamento.cv/DepImag.aspx?CodDeputado=300,MPD,MPD,América,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=300
301,Damião da Cruz Medina,http://www.parlamento.cv/DepImag.aspx?CodDeputado=301,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=301
308,Filipe Alves Gomes dos Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=308,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=308
309,Filomena Mendes Gonçalves,http://www.parlamento.cv/DepImag.aspx?CodDeputado=309,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=309
310,Humberto Elísio Lélis Duarte,http://www.parlamento.cv/DepImag.aspx?CodDeputado=310,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=310
311,Joana Gomes Rosa Amado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=311,MPD,MPD,Maio,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=311
312,David Lima Gomes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=312,MPD,MPD,Brava,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=312
313,João da Luz Gomes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=313,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=313
314,João Gomes Duarte,http://www.parlamento.cv/DepImag.aspx?CodDeputado=314,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=314
315,Jorge Pedro Maurício dos Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=315,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=315
316,José Eduardo Mendes Moreno,http://www.parlamento.cv/DepImag.aspx?CodDeputado=316,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=316
317,José Luís do Livramento Monteiro Alves de Brito,http://www.parlamento.cv/DepImag.aspx?CodDeputado=317,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=317
318,José Luís Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=318,MPD,MPD,Boa Vista,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=318
319,José Manuel Soares Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=319,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=319
320,Lúcia Maria Mendes Gonçalves dos Passos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=320,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=320
321,Maria Celeste Fonseca,http://www.parlamento.cv/DepImag.aspx?CodDeputado=321,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=321
322,Mircéia Isidora Araújo Delgado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=322,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=322
323,Nelson do Rosário de Brito,http://www.parlamento.cv/DepImag.aspx?CodDeputado=323,MPD,MPD,São Nicolau,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=323
324,Rui Alberto de Figueiredo Soares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=324,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=324
325,Américo Sabino Soares Nascimento,http://www.parlamento.cv/DepImag.aspx?CodDeputado=325,PAICV,PAICV,São Nicolau,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=325
326,Ana Paula Dias Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=326,PAICV,PAICV,Sal,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=326
327,Ana Paula Elias Curado Moeda,http://www.parlamento.cv/DepImag.aspx?CodDeputado=327,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=327
328,Clóvis Isildo Barbosa da Lomba da Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=328,PAICV,PAICV,Brava,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=328
329,Estevão Barros Rodrigues,http://www.parlamento.cv/DepImag.aspx?CodDeputado=329,PAICV,PAICV,África,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=329
330,Eva Verona Teixeira Andrade Ortet,http://www.parlamento.cv/DepImag.aspx?CodDeputado=330,PAICV,PAICV,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=330
331,Felisberto Alves Vieira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=331,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=331
332,Fernando Jorge Spencer Ferreira Frederico,http://www.parlamento.cv/DepImag.aspx?CodDeputado=332,PAICV,PAICV,Maio,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=332
334,João do Carmo Brito Soares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=334,PAICV,PAICV,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=334
335,José Jorge Monteiro Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=335,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=335
336,José Manuel Sanches Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=336,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=336
337,José Maria Gomes da Veiga,http://www.parlamento.cv/DepImag.aspx?CodDeputado=337,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=337
338,Julião Correia Varela,http://www.parlamento.cv/DepImag.aspx?CodDeputado=338,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=338
340,Manuel Inocêncio Sousa,http://www.parlamento.cv/DepImag.aspx?CodDeputado=340,PAICV,PAICV,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=340
