id,name,start_date,end_date,term,party_id,party,area_id,area,organisation_name,party_role,organisation_role
24,ABIOLA ADEBUKOLA AJAJA,2011-05-29,2015-05-29,2011,2705,ACCORD,484,Ibadan North East/Ibadan South East,House of Representatives,Member,Federal Representative
54,AIYEDUN OLAYINKA AKEEM,2011-05-29,2015-05-29,2011,2912,Peoples Democratic Party,505,Ekiti/Isin/Irepodun/Oke-Ero,House of Representatives,Member,Federal Representative
25,ABIOSE IFEOLUWA AROWOSOGE,2011-05-29,2013-07-30,2011,2717,Action Congress of Nigeria,485,Ekiti South West/Ikere/Orun/Ise,House of Representatives,Member,Federal Representative
25,ABIOSE IFEOLUWA AROWOSOGE,2013-07-31,2015-05-29,2011,5574,All Progressives Congress (APC),485,Ekiti South West/Ikere/Orun/Ise,House of Representatives,Member,Federal Representative
23,ABIODUN DADA AWOLEYE,2007-05-29,2011-05-29,2007,2716,Action Congress of Nigeria,483,Ibadan South West/Ibadan North West,House of Representatives,Member,Federal Representative
23,ABIODUN DADA AWOLEYE,2011-05-29,2013-07-30,2011,2716,Action Congress of Nigeria,483,Ibadan South West/Ibadan North West,House of Representatives,Member,Federal Representative
23,ABIODUN DADA AWOLEYE,2013-07-31,2015-05-29,2011,5573,All Progressives Congress (APC),483,Ibadan South West/Ibadan North West,House of Representatives,Member,Federal Representative
13,ABDULMALIK DAGACI USMAN CHECHE,2011-05-29,2015-05-29,2011,2901,Peoples Democratic Party,475,Bida/Gbako/Katcha,House of Representatives,Member,Federal Representative
74,ALIYU IBRAHIM GEBI,2011-05-29,2013-07-30,2011,2847,Congress for Progressive Change,520,Bauchi,House of Representatives,Member,Federal Representative
74,ALIYU IBRAHIM GEBI,2013-07-31,2015-05-29,2011,5694,All Progressives Congress (APC),520,Bauchi,House of Representatives,Member,Federal Representative
4,ABBAS MACHIKA,2012-01-12,2013-07-30,2011,2841,Congress for Progressive Change,465,Faskari/Kankara/Sabuwa,House of Representatives,Member,Federal Representative
4,ABBAS MACHIKA,2013-07-31,2015-05-09,2011,5688,All Progressives Congress (APC),465,Faskari/Kankara/Sabuwa,House of Representatives,Member,Federal Representative
15,ABDUL MUSA MSHELIZA,2011-05-29,2013-07-30,2011,2794,All Nigeria Peoples Party,469,Askira /Uba / Hawul,House of Representatives,Member,Federal Representative
15,ABDUL MUSA MSHELIZA,2013-07-31,2015-05-29,2011,5649,All Progressives Congress (APC),469,Askira /Uba / Hawul,House of Representatives,Member,Federal Representative
72,ALIYU BAHAGO AHMAN PATEGI,2007-05-29,2011-05-29,2007,2921,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
72,ALIYU BAHAGO AHMAN PATEGI,2011-05-29,2014,2011,2921,Peoples Democratic Party,518,Edu/Moro/Patigi,House of Representatives,Member,Federal Representative
72,ALIYU BAHAGO AHMAN PATEGI,2014,2015-05-29,2011,6901,All Progressives Congress (APC),518,Edu/Moro/Patigi,House of Representatives,Member,Federal Representative
55,AJAGBE ADETUNJI TAJUDEE,2011-05-29,2013-07-30,2011,2723,Action Congress of Nigeria,506,Ede North/Ede South/ Egbedore/Ejigbo,House of Representatives,Member,Federal Representative
55,AJAGBE ADETUNJI TAJUDEE,2013-07-31,2015-05-29,2011,5580,All Progressives Congress (APC),506,Ede North/Ede South/ Egbedore/Ejigbo,House of Representatives,Member,Federal Representative
27,ABUBAKAR MAHMUD WAMBAI,2011-05-29,2013-07-30,2011,2844,Congress for Progressive Change,487,Maiha/Mubi North/Mubi South,House of Representatives,Member,Federal Representative
27,ABUBAKAR MAHMUD WAMBAI,2013-07-31,2015-05-29,2011,5691,All Progressives Congress (APC),487,Maiha/Mubi North/Mubi South,House of Representatives,Member,Federal Representative
65,ALBERT TAMINU SAM-TSOKWA,2007-05-29,2011-05-29,2007,2916,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
65,ALBERT TAMINU SAM-TSOKWA,2011-05-29,2015-05-29,2011,2916,Peoples Democratic Party,513,Takum/Donga/Ussa,House of Representatives,Member,Federal Representative
51,AHMED MUKHTAR MOHAMMED,2007-05-29,2011-05-29,2007,2909,Peoples Democratic Party,,,House of Representatives,Member,Federal Representative
