id,name,state_id,state,start_date,end_date
Q1026265,Calare,Q3224,New South Wales,1906,
Q1073683,Farrer,Q3224,New South Wales,,
Q1073690,Chifley,Q3224,New South Wales,,
Q1073695,Eden-Monaro,Q3224,New South Wales,,
Q1073721,Lalor,Q36687,Victoria,1949,
Q1073946,McMahon,Q3224,New South Wales,2009,
Q1073964,Wakefield,Q35715,South Australia,,
Q1073994,Richmond,Q3224,New South Wales,,
Q1074005,Macquarie,Q3224,New South Wales,,
Q1074025,Warringah,Q3224,New South Wales,1922,
Q1074030,McPherson,Q36074,Queensland,,
Q1074059,Deakin,Q36687,Victoria,,
Q1074066,Lindsay,Q3224,New South Wales,1984,
Q1074082,McMillan,Q36687,Victoria,,
Q1074088,Mayo,Q35715,South Australia,1984,
Q1074102,Aston,Q36687,Victoria,1984,
Q1074115,Berowra,Q3224,New South Wales,,
Q1074124,Hunter,Q3224,New South Wales,,
Q1074129,Griffith,Q36074,Queensland,1934,
Q1074143,Blaxland,Q3224,New South Wales,,
Q1074151,Barton,Q3224,New South Wales,,
Q1074167,McEwen,Q36687,Victoria,1984,
Q1074189,Bradfield,Q3224,New South Wales,,
Q1074192,Charlton,Q3224,New South Wales,1984,2016
Q1074235,Cowper,Q3224,New South Wales,,
Q1074900,Oxley,Q36074,Queensland,1949,
Q1075639,Sydney,Q3224,New South Wales,,
Q1079471,Dawson,Q36074,Queensland,1949,
Q1079489,Grayndler,Q3224,New South Wales,,
Q1079523,Dunkley,Q36687,Victoria,1984,
Q1635847,Melbourne,Q36687,Victoria,,
Q178752,Menzies,Q36687,Victoria,1984,
Q182615,Cunningham,Q3224,New South Wales,,
Q1878928,Lyons,Q34366,Tasmania,1984,
Q23019675,Burt,Q3206,Western Australia,2016,
Q23055249,Whitlam,Q3224,New South Wales,2016,
Q23646678,Fenner,Q3258,Australian Capital Territory,2016-01-28,
Q2411395,Throsby,Q3224,New South Wales,1984,2016
Q2423795,Port Adelaide,Q35715,South Australia,,
Q2425863,Banks,Q3224,New South Wales,1949,
Q2887271,Bass,Q34366,Tasmania,,
Q2973361,Adelaide,Q35715,South Australia,1903,
Q2973414,Hindmarsh,Q35715,South Australia,1903,
Q2973417,Indi,Q36687,Victoria,,
Q2973418,Isaacs,Q36687,Victoria,,
Q2973434,Ballarat,Q36687,Victoria,,
Q2973436,Barker,Q35715,South Australia,,
Q2973440,Batman,Q36687,Victoria,,
Q2973455,Bendigo,Q36687,Victoria,,
Q2973464,Blair,Q36074,Queensland,1998,
Q2973466,Bonner,Q36074,Queensland,2004,
Q2973469,Boothby,Q35715,South Australia,1903,
Q2973472,Bowman,Q36074,Queensland,,
Q2973477,Bruce,Q36687,Victoria,1955,
Q2973482,Canberra,Q3258,Australian Capital Territory,,
Q2973484,Calwell,Q36687,Victoria,1984,
Q2973485,Canning,Q3206,Western Australia,,
Q2973486,Capricornia,Q36074,Queensland,,
Q2973490,Casey,Q36687,Victoria,1969,
Q2973504,Corio,Q36687,Victoria,1901,
Q2973505,Corangamite,Q36687,Victoria,1901,
Q2973507,Cowan,Q3206,Western Australia,1984,
Q2973513,Curtin,Q3206,Western Australia,,
Q2973551,Dickson,Q36074,Queensland,1992,
Q2973561,Durack,Q3206,Western Australia,2008,
Q2973562,Fadden,Q36074,Queensland,1977,
Q2973565,Fairfax,Q36074,Queensland,1984,
Q2973569,Fisher,Q36074,Queensland,,
Q2973570,Flinders,Q36687,Victoria,,
Q2973571,Flynn,Q36074,Queensland,,
Q2973572,Forde,Q36074,Queensland,1984,
Q2973574,Forrest,Q3206,Western Australia,1922,
Q2973575,Fowler,Q3224,New South Wales,1984,
Q2973578,Franklin,Q34366,Tasmania,,
Q2973584,Fraser,Q3258,Australian Capital Territory,,2016
Q2973587,Fremantle,Q3206,Western Australia,1900,
Q2973604,Gellibrand,Q36687,Victoria,,
Q2973616,Gilmore,Q3224,New South Wales,1984,
Q2973620,Gippsland,Q36687,Victoria,,
Q2973625,Goldstein,Q36687,Victoria,1984,
Q2973629,Gorton,Q36687,Victoria,2004,
Q2973632,Greenway,Q3224,New South Wales,1984,
Q2973634,Grey,Q35715,South Australia,,
Q2973635,Groom,Q36074,Queensland,1984,
Q2973646,Hasluck,Q3206,Western Australia,2001,
Q2973647,Herbert,Q36074,Queensland,1901,
Q2973648,Higgins,Q36687,Victoria,,
Q2973649,Hinkler,Q36074,Queensland,1984,
Q2973650,Holt,Q36687,Victoria,,
Q2973653,Hotham,Q36687,Victoria,,
Q2973656,Hughes,Q3224,New South Wales,,
Q2973659,Hume,Q3224,New South Wales,,
Q2973662,Jagajaga,Q36687,Victoria,1984,
Q2973687,Kennedy,Q36074,Queensland,1901,
Q2973695,Kingsford Smith,Q3224,New South Wales,,
Q2973706,Kooyong,Q36687,Victoria,,
Q2973715,La Trobe,Q36687,Victoria,,
Q2973718,Lilley,Q36074,Queensland,,
Q2973722,Lingiari,Q3235,Northern Territory,2000,
Q2973723,Longman,Q36074,Queensland,,
Q2973724,Lyne,Q3224,New South Wales,1949,
Q2973728,Macarthur,Q3224,New South Wales,,
Q2973735,Makin,Q35715,South Australia,1984,
Q2973737,Mallee,Q36687,Victoria,,
Q2973739,Maranoa,Q36074,Queensland,,
Q2973742,Maribyrnong,Q36687,Victoria,,
Q2973755,Melbourne Ports,Q36687,Victoria,,
Q2973776,Mitchell,Q3224,New South Wales,,
Q2973778,Moncrieff,Q36074,Queensland,1984,
