id,name,position,start_date,end_date,type
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Leader of the House and Chief Whip,2016-05-19,2017-11-03,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Minister for Finance,2007-05-25,2007-07-19,cabinet
c51e3561-cacc-4d04-ac0b-49b4037e4969,Jane Hutt,Minister for Finance,2009-12-09,2016-05-01,cabinet
6479d91e-a46e-48c8-8345-09864655f76f,John Griffiths,Minister for Environment & Sustainable Development,2011-05-11,2016-05-18,cabinet
62bb8346-df8f-44b4-bac3-b0fc3ebe4b9c,Julie James,Leader of the House and Chief Whip,2017-11-03,"",cabinet
7c90f1c2-5a6d-4289-9dd8-af65667b5d87,Karen Sinclair,Minister for Assembly Business,2003-05-01,2005-09-01,cabinet
54bf56c5-f61f-4827-9fe3-5d49650bbf59,Ken Skates,Cabinet Secretary for Economy and Infrastructure,2016-05-19,2017-11-03,cabinet
54bf56c5-f61f-4827-9fe3-5d49650bbf59,Ken Skates,Cabinet Secretary for Economy and Transport,2017-11-03,"",cabinet
06c837dd-18e5-400d-9cd9-bec7b16076a3,Leighton Andrews,Minister for Education and Skills,2009-12-10,2013-06-25,cabinet
06c837dd-18e5-400d-9cd9-bec7b16076a3,Leighton Andrews,"Minister for Children, Education and Lifelong Learning",2009-12-09,2011-05-11,cabinet
3396369e-5e6b-4c2b-99ee-0c7f3cce0018,Lesley Griffiths,Cabinet Secretary for Environment and Rural Affairs,2016-05-19,2017-11-03,cabinet
3396369e-5e6b-4c2b-99ee-0c7f3cce0018,Lesley Griffiths,"Cabinet Secretary for Energy, Planning and Rural Affairs",2017-11-03,"",cabinet
3396369e-5e6b-4c2b-99ee-0c7f3cce0018,Lesley Griffiths,Minister for Health and Social Services,2011-05-13,2013-05-14,cabinet
7c8ff158-c8b9-4d53-8b7b-0b368a709949,Mark Drakeford,Cabinet Secretary for Finance and Local Government,2016-05-19,2017-11-03,cabinet
7c8ff158-c8b9-4d53-8b7b-0b368a709949,Mark Drakeford,Cabinet Secretary for Finance,2017-11-03,"",cabinet
7c8ff158-c8b9-4d53-8b7b-0b368a709949,Mark Drakeford,Minister for Health and Social Services,2013-03-14,2016-05-19,cabinet
41f3ccfe-4a3c-4dc2-b431-1d57525a011e,Peter Law,Secretary for Local Government and Regeneration,1999-05-12,2000-02-09,cabinet
9420a457-ab04-4761-937d-94fbd4db07ad,Rhodri Glyn Thomas,Minister for Heritage,2007-07-11,2008-07-18,cabinet
be9c1984-6f08-4a97-8ea6-e82af4daf909,Rosemary Butler,Secretary for Education,1999-05-12,2000-02-09,cabinet
b06091db-f667-41a7-900f-b182a75b378e,Sue Essex,"Minister for Environment, Transport and Planning",2000-02-09,2003-05-01,cabinet
b06091db-f667-41a7-900f-b182a75b378e,Sue Essex,Minister for Finance and Local Government,2003-05-01,2007-05-03,cabinet
f323b07e-4ec0-4b25-8eaa-10995b0633a6,Tom Middlehurst,Secretary for Education and Training (Post-16),1999-05-12,2000-02-09,cabinet
371d720b-33dc-4efe-ba22-6cb4999f1ffc,Vaughan Gething,"Cabinet Secretary for Health, Well-being & Sport",2016-05-19,2017-11-03,cabinet
371d720b-33dc-4efe-ba22-6cb4999f1ffc,Vaughan Gething,Cabinet Secretary for Health and Social Services,2017-11-03,"",cabinet
