name,constituency,party,term,source,id
Bill Vakaafi Motufoou,Mutalau,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,bill_vakaafi_motufoou
Billy Graham Talagi,Avatele,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,billy_graham_talagi
Crossley Tatui,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,crossley_tatui
Dalton Tagelagi,Alofi South,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,dalton_tagelagi
Dion Paki Taufitu,Toi,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,dion_paki_taufitu
Fisa Igilisi Pihigia,Tuapa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,fisa_igilisi_pihigia
"Jack Willie Lipitoa, QSM",Namukulu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,"jack_willie_lipitoa,_qsm"
Joan Sisiata Tahafa Viliamu,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,joan_sisiata_tahafa_viliamu
Kupa Magatogia,Lakepa,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,kupa_magatogia
Mititaiagimene Young Vivian,Hakupu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,mititaiagimene_young_vivian
Opili Talafasi,Hikutavake,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,opili_talafasi
Peter Andrew Funaki,Tamakautoga,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,peter_andrew_funaki
Pokotoa Sipeli,Liku,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,pokotoa_sipeli
Stanley Atuvaha Kalauni,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,stanley_atuvaha_kalauni
Talaititama Talaiti,Vaiea,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,talaititama_talaiti
Terry Donald Coe,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,terry_donald_coe
Tofua Puletama,Makefu,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,tofua_puletama
Togia Likalika Sioneholo,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,togia_likalika_sioneholo
Toke Tufukia Talagi,Common Roll,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,toke_tufukia_talagi
Va’aiga Tukuitoga,Alofi North,Independent,15,http://www.gov.nu/wb/pages/parliament/assembly.php,va’aiga_tukuitoga
