id,wikidata
adilabad_(st),Q3630014
agra_(sc),Q4693670
ahmedabad_east,Q4696121
ahmedabad_west_(sc),Q3764468
ahmednagar,Q2738103
ajmer,Q4699904
akbarpur,Q3633316
akola,Q3764391
alappuzha,Q3595510
alathur_(sc),Q4708818
aligarh,Q371869
alipurduars_(st),Q4726846
allahabad,Q4730342
almora_(sc),Q3632592
alwar,Q4738368
amalapuram_(sc),Q3630204
ambala_(sc),Q4740955
ambedkar_nagar,Q4741186
amethi,Q4745924
amravati_(sc),Q3764491
amreli,Q3765227
amritsar,Q4748702
amroha,Q3633418
anakapalli,Q3630236
anand,Q4751232
anandpur_sahib,Q4751375
anantapur,Q3630239
anantnag,Q4751497
andaman_and_nicobar_islands,Q3530684
aonla,Q4778703
arakkonam,Q3534088
araku_(st),Q3633068
arambagh_(sc),Q4783993
arani,Q3533589
araria,Q3632717
arrah,Q3632604
arunachal_east,Q1659329
arunachal_west,Q1659305
asansol,Q4803541
aska,Q4807113
attingal,Q12413298
aurangabad,Q3763786
autonomous_district_(st),Q1606679
azamgarh,Q16193457
badaun,Q4840644
bagalkot,Q4841427
baghpat,Q3633352
baharampur,Q4842446
bahraich_(sc),Q4842725
balaghat,Q3633465
balasore,Q4850118
ballia,Q4851665
balurghat,Q4853085
banaskantha,Q3764387
banda,Q1780136
bangalore_central,Q4855038
bangalore_north,Q4855069
bangalore_rural,Q4855074
bangalore_south,Q6509948
bangaon_(sc),Q4855093
banka,Q4856235
bankura,Q4856799
bansgaon_(sc),Q4857123
banswara_(st),Q4857164
bapatla_(sc),Q3630032
barabanki_(sc),Q3633461
baramati,Q3764398
baramulla,Q4858316
barasat,Q4858448
bardhaman_purba_(sc),Q4860138
bardhaman-durgapur,Q4860137
bardoli_(st),Q4860193
bareilly,Q4860392
bargarh,Q4860546
barmer,Q4861268
barpeta,Q1606606
barrackpur,Q4863171
basirhat,Q4867561
bastar_(st),Q4868222
basti,Q4868265
bathinda,Q4869032
beed,Q4879723
begusarai,Q4880639
belgaum,Q3995921
bellary_(st),Q3521014
berhampur,Q7255284
betul_(st),Q4899044
bhadohi,Q4900529
bhadrak_(sc),Q4900550
bhagalpur,Q3633257
bhandara-gondiya,Q3764433
bharatpur_(sc),Q4901252
bharuch,Q4901329
bhavnagar,Q4901564
bhilwara,Q4901736
bhind_(sc),Q3634246
bhiwandi,Q4901857
bhiwani-mahendragarh,Q4901856
bhopal,Q4901994
bhubaneswar,Q4902092
bidar,Q3883318
bijapur_(sc),Q4907176
bijnor,Q3633391
bikaner_(sc),Q4907311
bilaspur,Q4907564
birbhum,Q4915625
bishnupur_(sc),Q4917381
bolangir,Q4938935
bolpur_(sc),Q4940018
bulandshahr_(sc),Q3634190
buldhana,Q4996106
buxar,Q5003234
chalakudy,Q3595248
chamrajanagar_(sc),Q5069470
chandauli,Q5070983
chandigarh,Q5071061
chandni_chowk,Q5071226
chandrapur,Q2912408
chatra,Q5087772
chennai_central,Q3532474
chennai_north,Q3532545
chennai_south,Q3532431
chevella,Q5094314
chhindwara,Q5094902
chhota_udaipur_(st),Q5094957
chidambaram_(sc),Q3533974
chikkballapur,Q5097405
chikkodi,Q3939251
chitradurga_(sc),Q5102316
chittoor_(sc),Q3763885
chittorgarh,Q5102518
churu,Q5118333
coimbatore,Q3534118
coochbehar_(sc),Q3351420
cuddalore,Q3534221
cuttack,Q5196922
dadra_and_nagar_haveli_(st),Q5208111
dahod_(st),Q5208930
dakshina_kannada,Q5121423
daman_and_diu,Q5211945
damoh,Q12433303
darbhanga,Q5222212
darjeeling,Q5223069
dausa_(st),Q5228102
davanagere,Q4877000
deoria,Q3634176
dewas_(sc),Q15649259
dhanbad,Q5268930
dhar_(st),Q3634185
dharmapuri,Q3532436
dharwad,Q5269410
dhaurahra,Q12434696
dhenkanal,Q5269512
dhubri,Q1606616
dhule,Q5269854
diamond_harbour,Q5270807
dibrugarh,Q1606690
dindigul,Q3532565
dindori_(st),Q5278011
domariyaganj,Q5289934
dum_dum,Q5313570
dumka_(st),Q5313895
durg,Q3632662
east_delhi,Q5328213
eluru,Q3764062
ernakulam,Q3595497
erode,Q5395251
etah,Q3634262
etawah_(sc),Q5402455
faizabad,Q5431351
faridabad,Q5435282
faridkot_(sc),Q5435297
farrukhabad,Q5436365
fatehgarh_sahib_(sc),Q5437417
fatehpur,Q5437428
fatehpur_sikri,Q5437430
ferozpur,Q5452175
firozabad,Q5452174
gadchiroli-chimur_(st),Q12423118
gandhinagar,Q5520735
ganganagar_(sc),Q5521052
garhwal,Q3632618
gauhati,Q1606633
gautam_buddha_nagar,Q5527870
gaya_(sc),Q3633170
ghatal,Q5555886
ghaziabad,Q5556091
ghazipur,Q5556103
ghosi,Q5557002
giridih,Q5564263
godda,Q5576233
gonda,Q12424329
gopalganj_(sc),Q3633217
gorakhpur,Q5584396
gulbarga_(sc),Q4172532
guna,Q3634168
guntur,Q3764410
gurdaspur,Q5619909
gurgaon,Q5620004
gwalior,Q3634165
hajipur_(sc),Q3633148
hamirpur,Q5645332
hardoi_(sc),Q5656282
hardwar,Q5657364
hassan,Q5679532
hathras_(sc),Q5681557
hatkanangle,Q12460207
haveri,Q4628043
hazaribagh,Q3632585
hindupur,Q3764429
hingoli,Q2912894
hisar,Q12460611
hooghly,Q12460669
