area,name,party
Bulawayo Central,Dorcas Sibanda,MDC-T
Bulawayo East,Thabitha Khumalo,MDC-T
Bulawayo South,Edward G. Cross,MDC-T
EmaKhandeni-Entubane,Dingilizwe Tshuma,MDC-T
Lobengula,Samuel Sipepa,MDC-T
Luveve,Reggie Moyo,MDC-T
Magwegwe,Anele Ndebele,MDC-T
Makokoba,Gorden Moyo,MDC-T
Nketa,Phelele Masuku,MDC-T
Nkulumane,Tamsanqa Mahlangu,MDC-T
Pelandaba-Mpompoma,Bekithemba Nyathi,MDC-T
Pumula,Albert Mhlanga,MDC-T
Budiriro,Costa Machingauta,MDC-T
Chitungwiza North,Godfrey Sithole,MDC-T
Chutungwiza South,Christopher Chigumba,ZANU PF
Dzivarasekwa,Solomon Madzore,MDC-T
Epworth,Amos Midzi,ZANU PF
Glen Norah,Webster Maondera,MDC-T
Glen View North,Fani Munengani,MDC-T
Glen View South,Paul Madzore,MDC-T
Harare Cental,Murisi Zwizwai,MDC-T
Harare East,Tendai Biti,MDC-T
Harare North,Tongesai Mudambo,ZANU PF
Harare South,Shadreck Mashayamombe,ZANU PF
Harare West,Fungai J Majome,MDC-T
Hatfield,Tapiwa Mashakada,MDC-T
Highfield East,Erick Murai,MDC-T
Highfield West,Moses Manyengawana,MDC-T
Kambuzuma,Willias Madzimure,MDC-T
Kuwadzana,Lucia Matibenga,MDC-T
Kuwadzna East,Nelson Chamisa,MDC-T
Mabvuku-Tafara,James Maridadi,MDC-T
Mbare,Tendai Savanhu,ZANU PF
Mt Pleasant,Jaison Passade,ZANU PF
Mufakose,Paurina Mpariwa,MDC-T
Southerton,Gift Chimanikire,MDC-T
St Mary's,Unganai Tarusenga,MDC-T
Sunningdale,Margaret Matienga,MDC-T
Warren Park,Elias Mudzuri,MDC-T
Zengeza East,Alexio Musundire,MDC-T
Zengeza West,Simon Chidhakwa,MDC-T
Buhera Central,Ronald Muderedzwa,ZANU PF
Buhera North,William Mutomba,ZANU PF
Buhera South,Joseph Chinotimba,ZANU PF
Buhera West,Oliver Mandipaka,ZANU PF
Chimanimani East,Samuel Undenge,ZANU PF
Chimanimani West,Munacho Mutezo,ZANU PF
Chipinge Central,Raymore Machingura,ZANU PF
Chipinge East,Win Busayi Mlambo,ZANU PF
Chipinge South,Enock Porusingazi,ZANU PF
Chipinge West,Adam Chimwamurombe,ZANU PF
Dangamvura-Chikanga,Arnold Tsunga,MDC-T
Headlands,Didymua Mutasa,ZANU PF
Makoni Central,Patrick Chinamasa,ZANU PF
Makoni North,Francis Muchenje,ZANU PF
Makoni South,Mandi M. Chimene,ZANU PF
Makoni West,Kudzanayi Chipanga,ZANU PF
Musikavanhu,Prosper Mutseyami,MDC-T
Mutare Central,Innocent Gonese,MDC-T
Mutare North,Batsirayi Pemhenayi,ZANU PF
Mutare South,Nyasha Chikwinya,ZANU PF
Mutare West,Christoper Mushohwe,ZANU PF
Mutasa Central,Trevor Saruwaka,MDC-T
Mutasa North,Luke Musamvu,ZANU PF
Mutasa South,Irene Zindi,ZANU PF
Nyanga North,Hubert Nyanhongo,ZANU PF
Nyanga South,Supa C. Mandiwanzira,ZANU PF
Bindura North,Kenneth S. Musanhi,ZANU PF
Bindura South,Toendepi Matangira,ZANU PF
Guruve North,Epmarcus Kanhanga,ZANU PF
Guruve South,Chriswell Mutematsaka,ZANU PF
Mazowe Central,Tabetha Kanengoni,ZANU PF
Mazowe North,Edgar Chidavaenzi,ZANU PF
Mazowe South,Fortune Chasi,ZANU PF
Mazowe West,Kazembe Kazembe,ZANU PF
Mbire,David Butau,ZANU PF
Mt Darwin East,Christopher Kuruneri,ZANU PF
Mt Darwin North,Noveti Muponora,ZANU PF
Mt Darwin South,Saviour Kasukuwere,ZANU PF
Mt Darwin West,Joice Mujuru,ZANU PF
Muzarabani North,Alfred Mufunga,ZANU PF
Muzarabani south,Christopher Chitindi,ZANU PF
Rushinga,Wonder Mashange,ZANU PF
Shamva North,Nicholas Goche,ZANU PF
Shamva South,Joseph Mapiki,ZANU PF
Chikomba Central,Felix Mhona,ZANU PF
Chikomba East,Edgar Mbwembwe,ZANU PF
Chikomba West,Michael Bimha,ZANU PF
Goromonzi North,Tendayi P. Zhanda,ZANU PF
Goromonzi South,Petronella Kadonye,ZANU PF
Goromonzi West,Biata B. Nyamupinga,ZANU PF
Maramba Pfungwe,Washington Masvaire,ZANU PF
Marondera Central,Ray Kaukonde,ZANU PF
Marondera West,Ambrose Mutinhiri,ZANU PF
Mudzi North,Newten Kachepa,ZANU PF
Mudzi South,Jonathan Samukange,INDEPENDENT
Mudzi West,Aqualina Katsande,ZANU PF
Murehwa North,Tendayi Makunde,ZANU PF
Murehwa South,Biggie J. Matiza,ZANU PF
Murehwa West,Ladislus Ndoro,ZANU PF
Mutoko East,Mubvumbi Mawere,ZANU PF
Mutoko North,Mable M. Chinomona,ZANU PF
Mutoko South,David Chapfika,ZANU PF
Seke,Phineas Chiota,ZANU PF
Uzumba,Simbaneuta Mudarikwa,ZANU PF
Wedza North,Simon Musanhu,ZANU PF
Weda South,Micheal Madanha,ZANU PF
Chakari,Aldrin Musiiwa,ZANU PF
Chegutu East,Webster Shamu,ZANU PF
Chegutu West,Dextor T. Nduna,ZANU PF
Chinhoyi,Peter Mataruse,ZANU PF
Hurungwe Central,Godfrey Beremauro,ZANU PF
Hurungwe East,Sarah Mahoka,ZANU PF
Hurungwe North,Reuben Marumahoko,ZANU PF
Hurungwe West,Temba Mliswa,ZANU PF
Kadoma Central,Fani Phanuel Phiri,ZANU PF
Kariba,Isaac Mackenzie,ZANU PF
Magunje,Godfrey Gandawa,ZANU PF
Makonde,Kindness Paradza,ZANU PF
Mhangura,Thomas Maseko,ZANU PF
Mhondoro-Mubaira,Sylvester Nguni,ZANU PF
Mhondoro-Ngezi,Mike Gava,ZANU PF
Muzvezve,Pater Haritotos,ZANU PF
Norton,Christopher Mutsvangwa,ZANU PF
Sanyati,Blessed Runesu,ZANU PF
Zvimba East,Francis Mukwangwariwa,ZANU PF
Zvimba North,Ignatius Chombo,ZANU PF
Zvimba South,Walter Chidhakwa,ZANU PF
Zvimba West,Ziyambi Ziyambi,ZANU PF
Bikita East,Kennedy Matimba,ZANU PF
Bikita South,Jeppy Jaboon,ZANU PF
Bikita West,Munyaradzi Kereke,ZANU PF
Chiredzi East,Denford Masiya,ZANU PF
Chiredzi North,Robert Mukwena,ZANU PF
Chiredzi South,Kalitso Gwanetsa,ZANU PF
Chivi Central,Ephraim Gwanonodza,ZANU PF
Chivi North,Mathias Tongofa,ZANU PF
Chivi South,Mafios Vutete,ZANU PF
Gutu Central,Lovemore Matuke,ZANU PF
Gutu East,Berta Chikwama,ZANU PF
Gutu South,Paul Chimedza,ZANU PF
Gutu West,Tongai Muzenda,ZANU PF
Masvingo Central,Edmond Mhere,ZANU PF
Masvingo North,Davis Murapira,ZANU PF
Masvingo South,Walter Mzembi,ZANU PF
Masvingo Urban,Daniel Shumba,ZANU PF
Masvingo West,Ezira Ruvai,ZANU PF
Mwenezi East,Chuma K. Bhasikiti,ZANU PF
Mwenezi West,Lamson Moyo,ZANU PF
Zaka Central,Paradzai Chakona,ZANU PF
Zaka East,Samson T. Mukanduri,ZANU PF
Zaka North,Robson Mavenyengwa,ZANU PF
Zaka West,Mapetere D. V. Mawere,ZANU PF
Chirumanzu-Zibagwe,Emmerson Mnangagwa,ZANU PF
Chirumanzu,Innocent Pedzisai,ZANU PF
Chiwundura,Kizito Chivambe,ZANU PF
Gokwe-Chireya,Cephas Sindi,ZANU PF
Gokwe-Nembudziya,Justice Mayor Wdyajena,ZANU PF
Gokwe-Sengwe,Paul Mavima,ZANU PF
Gokwe-Sesame,Jeffrey Runzirwai,ZANU PF
Gokwe,Dorothy Mangami,ZANU PF
Gokwe-Gumunyu,Melenia Mahiya,ZANU PF
Gokwe-Kabuyuni,Leonard Chikomba,ZANU PF
Gokwe-Kana,Owen Ncube,ZANU PF
Gokwe-Mapfungautsi,Miriam Makweya,ZANU PF
Gweru Urban,Sesel Zvidzai,ZANU PF
Kwekwe Central,Masango Matambanadzo,ZANU PF
Mberengwa East,Makhosini Hlongwane,ZANU PF
Mberengwa South,Chiratidzo Mabuwa,ZANU PF
Mberengwa West,Joram Gumbo,ZANU PF
Mbizo,Settlement Chikwinya,MDC-T
Mkoba,Amos Chibaya,MDC-T
Redcliff,Harris Ncube,ZANU PF
Shurugwi North,Chenayimoyo D. F. Nhema,ZANU PF
Shurugwi South,Tapiwanashe Matangaidze,ZANU PF
Silobela,Mtokozisi M. Mpofu,ZANU PF
Vungu,Josephat Madubeko,ZANU PF
Zhombe,Daniel M. Ncube,ZANU PF
Zvishavane-Ngezi,John Holder,ZANU PF
Zvishavane-Runde,Fred Moyo,ZANU PF
Binga North,Dubeko Sibanda,MDC-T
Binga South,Joel G. Gabbuza,ZANU PF
Bubi,Clifford Sibanda,ZANU PF
Hwange Central,Brian Tshuma,MDC-T
Hwange East,Tose Wesley Sansole,MDC-T
Hwange West,Bekithemba Mpofu,ZANU PF
Lupane East,Sithemba Gumbo,ZANU PF
Lupane West,Martin Khumalo,ZANU PF
Nkayi North,Sithembiso Nyoni,ZANU PF
Nkayi South,Abednico Bhebhe,MDC-T
Tsholotsho North,Roselene Nkomo,MDC-T
Tsholotsho South,Zenzo Sibanda,ZANU PF
Umguza,Obert Mpofu,ZANU PF
Beitbridge East,Kembo Mohadi,ZANU PF
Beitbridge West,Metrine Mdau,ZANU PF
Bulilima East,Mathias S. Ndlovu,ZANU PF
Bulilima West,Lungisati Nleya,ZANU PF
Gwanda Central,Edson Gumbo,ZANU PF
Gwanda North,Madodana Sibanda,ZANU PF
Gwanda South,Abednico Ncube,ZANU PF
Insizo North,Andrew Langa,ZANU PF
Insiza South,Malach Nkomo,ZANU PF
Mangwe,Obedingwa Mguni,ZANU PF
Matobo North,Never Khanye,ZANU PF
Matobo South,Soul Ncube,ZANU PF
Umzingwane,Wiiliam M. Dhewa,ZANU PF
