id,name,start_date,end_date
50,50. Legislatur,2015-11-30,2019-11-29
49,49. Legislatur,2011-12-05,2015-11-29
48,48. Legislatur,2007-12-03,2011-12-02
47,47. Legislatur,2003-12-01,2007-11-30
46,46. Legislatur,1999-12-06,2003-11-30
45,45. Legislatur,1995-12-04,1999-11-30
44,44. Legislatur,1991-11-25,1995-12-03
43,43. Legislatur,1987-11-30,1991-11-24
42,42. Legislatur,1983-11-28,1987-11-29
41,41. Legislatur,1979-11-26,1983-11-27
40,40. Legislatur,1975-12-01,1979-11-25
39,39. Legislatur,1971-11-29,1975-11-30
38,38. Legislatur,1967-12-04,1971-11-28
37,37. Legislatur,1963-12-02,1967-12-03
