id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q11005183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11045555,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibakwe,2015 Tanzanian general election,,,
Q11052170,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,,,,
Q11056716,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11153384,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigoma Urban,2015 Tanzanian general election,,,
Q11978376,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q11978376,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Peramiho,2015 Tanzanian general election,,,
Q1293072,Q16147875,Prime Minister of Tanzania,"",1977-02-13,,,,1980-11-07,Rashid Kawawa,Cleopa Msuya
Q1293072,Q16147875,Prime Minister of Tanzania,"",1983-02-24,,,,1984-04-12,Cleopa Msuya,Salim Ahmed Salim
Q1293072,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122536,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122550,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122554,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Gairo,2015 Tanzanian general election,,,
Q13122556,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Solwa,2015 Tanzanian general election,,,
Q13122607,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122744,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122792,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122896,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Msalala,2015 Tanzanian general election,,,
Q13122905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122923,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122942,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpwapwa,2015 Tanzanian general election,,,
Q13122953,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13122980,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Dimani,2015 Tanzanian general election,2016-11-09,,
Q13122985,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123005,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123155,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123156,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123172,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q13123174,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
