id,photo,name,party,term,source
1049,http://www.parliament.go.tz/polis/images/Pictures/oll/1049.jpg,Abdallah Rished Mohamed,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1028,http://www.parliament.go.tz/polis/images/Pictures/oll/1028.jpg,Abdallah Margareth Anna,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1050,http://www.parliament.go.tz/polis/images/Pictures/oll/1050.jpg,Abdallah Shamis Zuhura,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1051,http://www.parliament.go.tz/polis/images/Pictures/oll/1051.jpg,Abdallah Shaweji Alhaj,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1052,http://www.parliament.go.tz/polis/images/Pictures/oll/1052.jpg,Abdulaziz Abdi Mohammed,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1053,http://www.parliament.go.tz/polis/images/Pictures/oll/1053.jpg,Abeid Ali Bahati,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1054,http://www.parliament.go.tz/polis/images/Pictures/oll/1054.jpg,Aboud Awesu Khamis,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1056,http://www.parliament.go.tz/polis/images/Pictures/oll/1056.jpg,Ali Mjaka Omary,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1058,http://www.parliament.go.tz/polis/images/Pictures/oll/1058.jpg,Ali Salum Khamis,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1055,http://www.parliament.go.tz/polis/images/Pictures/oll/1055.jpg,Ali Khamis Kijakazi,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2
1057,http://www.parliament.go.tz/polis/images/Pictures/oll/1057.jpg,Ali Said Fatma,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1283,http://www.parliament.go.tz/polis/images/Pictures/oll/1283.jpg,Ali Omar Salim,Civil United Front,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1059,http://www.parliament.go.tz/polis/images/Pictures/oll/1059.jpg,Ally Sleyum Aziza,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1060,http://www.parliament.go.tz/polis/images/Pictures/oll/1060.jpg,Ally Abdully Mohamed,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1061,http://www.parliament.go.tz/polis/images/Pictures/oll/1061.jpg,Ameir Ahmada Shaibu,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1062,http://www.parliament.go.tz/polis/images/Pictures/oll/1062.jpg,Ameir Khatib Kheri,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1064,http://www.parliament.go.tz/polis/images/Pictures/oll/1064.jpg,Bakar Mohamed Faida,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
1065,http://www.parliament.go.tz/polis/images/Pictures/oll/1065.jpg,Batenga Nkunda Elizabeth,Chama Cha Mapinduzi,2,http://www.parliament.go.tz/index.php/members/memberslist/all/all/2/10
