id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
S001150,Adam B. Schiff,,RepAdamSchiff,RepAdamSchiff,Democrat,democrat,ocd-division/country:us/state:ca/cd:28,California's 28th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001150.jpg,male
K000378,Adam Kinzinger,,RepKinzinger,RepKinzinger,Republican,republican,ocd-division/country:us/state:il/cd:16,Illinois's 16th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000378.jpg,male
S000510,Adam Smith,,RepAdamSmith,RepAdamSmith,Democrat,democrat,ocd-division/country:us/state:wa/cd:9,Washington's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S000510.jpg,male
S001172,Adrian Smith,,RepAdrianSmith,,Republican,republican,ocd-division/country:us/state:ne/cd:3,Nebraska's 3rd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001172.jpg,male
G000553,Al Green,,RepAlGreen,repalgreen,Democrat,democrat,ocd-division/country:us/state:tx/cd:9,Texas's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/G000553.jpg,male
G000556,Alan Grayson,,,,Democrat,democrat,ocd-division/country:us/state:fl/cd:9,Florida's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/G000556.jpg,male
L000579,Alan S. Lowenthal,,RepLowenthal,RepLowenthal,Democrat,democrat,ocd-division/country:us/state:ca/cd:47,California's 47th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000579.jpg,male
S001165,Albio Sires,,Rep_Albio_Sires,81058818750,Democrat,democrat,ocd-division/country:us/state:nj/cd:8,New Jersey's 8th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001165.jpg,male
H000324,Alcee L. Hastings,,RepHastingsFL,95696782238,Democrat,democrat,ocd-division/country:us/state:fl/cd:20,Florida's 20th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/H000324.jpg,male
M001195,Alexander X. Mooney,,RepAlexMooney,CongressmanAlexMooney,Republican,republican,ocd-division/country:us/state:wv/cd:2,West Virginia's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/M001195.jpg,male
A000370,Alma S. Adams,,RepAdams,CongresswomanAdams,Democrat,democrat,ocd-division/country:us/state:nc/cd:12,North Carolina's 12th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/A000370.jpg,female
B001287,Ami Bera,,RepBera,RepAmiBera,Democrat,democrat,ocd-division/country:us/state:ca/cd:7,California's 7th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/B001287.jpg,male
C001045,Ander Crenshaw,,AnderCrenshaw,200388204657,Republican,republican,ocd-division/country:us/state:fl/cd:4,Florida's 4th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001045.jpg,male
C001072,André Carson,,RepAndreCarson,CongressmanAndreCarson,Democrat,democrat,ocd-division/country:us/state:in/cd:7,Indiana's 7th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001072.jpg,male
B001282,Andy Barr,,RepAndyBarr,RepAndyBarr,Republican,republican,ocd-division/country:us/state:ky/cd:6,Kentucky's 6th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/B001282.jpg,male
H001052,Andy Harris,,RepAndyHarrisMD,AndyHarrisMD,Republican,republican,ocd-division/country:us/state:md/cd:1,Maryland's 1st congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/H001052.jpg,male
K000368,Ann Kirkpatrick,,RepKirkpatrick,RepKirkpatrick,Democrat,democrat,ocd-division/country:us/state:az/cd:1,Arizona's 1st congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000368.jpg,female
K000382,Ann M. Kuster,,RepAnnieKuster,CongresswomanAnnieKuster,Democrat,democrat,ocd-division/country:us/state:nh/cd:2,New Hampshire's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/K000382.jpg,female
W000812,Ann Wagner,,RepAnnWagner,RepAnnWagner,Republican,republican,ocd-division/country:us/state:mo/cd:2,Missouri's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/W000812.jpg,female
E000215,Anna G. Eshoo,,RepAnnaEshoo,RepAnnaEshoo,Democrat,democrat,ocd-division/country:us/state:ca/cd:18,California's 18th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/E000215.jpg,female
R000600,Aumua Amata Coleman Radewagen,,RepAmata,congresswomanaumuaamata,Republican,republican,ocd-division/country:us/state:as,American Samoa,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/R000600.jpg,female
S001189,Austin Scott,,AustinScottGA08,RepAustinScott,Republican,republican,ocd-division/country:us/state:ga/cd:8,Georgia's 8th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001189.jpg,male
C001105,Barbara Comstock,,RepComstock,RepBarbaraComstock,Republican,republican,ocd-division/country:us/state:va/cd:10,Virginia's 10th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/C001105.jpg,female
L000551,Barbara Lee,,RepBarbaraLee,RepBarbaraLee,Democrat,democrat,ocd-division/country:us/state:ca/cd:13,California's 13th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000551.jpg,female
L000583,Barry Loudermilk,,RepLoudermilk,reploudermilk,Republican,republican,ocd-division/country:us/state:ga/cd:11,Georgia's 11th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000583.jpg,male
L000570,Ben Ray Luján,,RepBenRayLujan,RepBenRayLujan,Democrat,democrat,ocd-division/country:us/state:nm/cd:3,New Mexico's 3rd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000570.jpg,male
T000193,Bennie G. Thompson,,BennieGThompson,7259193379,Democrat,democrat,ocd-division/country:us/state:ms/cd:2,Mississippi's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/T000193.jpg,male
O000170,Beto O'Rourke,,RepBetoORourke,betoorourketx16,Democrat,democrat,ocd-division/country:us/state:tx/cd:16,Texas's 16th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/O000170.jpg,male
M001143,Betty McCollum,,BettyMcCollum04,repbettymccollum,Democrat,democrat,ocd-division/country:us/state:mn/cd:4,Minnesota's 4th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/M001143.jpg,female
F000461,Bill Flores,,RepBillFlores,RepBillFlores,Republican,republican,ocd-division/country:us/state:tx/cd:17,Texas's 17th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/F000461.jpg,male
F000454,Bill Foster,,RepBillFoster,CongressmanBillFoster,Democrat,democrat,ocd-division/country:us/state:il/cd:11,Illinois's 11th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/F000454.jpg,male
H001058,Bill Huizenga,,RepHuizenga,RepHuizenga,Republican,republican,ocd-division/country:us/state:mi/cd:2,Michigan's 2nd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/H001058.jpg,male
J000292,Bill Johnson,,RepBillJohnson,RepBillJohnson,Republican,republican,ocd-division/country:us/state:oh/cd:6,Ohio's 6th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/J000292.jpg,male
P000096,Bill Pascrell Jr.,,BillPascrell,pascrell,Democrat,democrat,ocd-division/country:us/state:nj/cd:9,New Jersey's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/P000096.jpg,male
P000599,Bill Posey,,CongBillPosey,bill.posey15,Republican,republican,ocd-division/country:us/state:fl/cd:8,Florida's 8th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/P000599.jpg,male
S001154,Bill Shuster,,RepBillShuster,Rep.Shuster,Republican,republican,ocd-division/country:us/state:pa/cd:9,Pennsylvania's 9th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/S001154.jpg,male
L000576,Billy Long,,USRepLong,Rep.Billy.Long,Republican,republican,ocd-division/country:us/state:mo/cd:7,Missouri's 7th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000576.jpg,male
L000569,Blaine Luetkemeyer,,RepBlainePress,BlaineLuetkemeyer,Republican,republican,ocd-division/country:us/state:mo/cd:3,Missouri's 3rd congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/L000569.jpg,male
F000460,Blake Farenthold,,Farenthold,BlakeFarenthold,Republican,republican,ocd-division/country:us/state:tx/cd:27,Texas's 27th congressional district,House of Representatives,114,,,https://theunitedstates.io/images/congress/original/F000460.jpg,male
