id,label,type
Q20058795,Minister of the Interior of the Czech Republic,cabinet
Q2207925,Finance Minister of the Czech Republic,cabinet
Q2501396,Minister of Foreign Affairs,cabinet
Q25507811,Minister of Industry and Trade,cabinet
Q25515749,Minister for Regional Development,cabinet
Q26197353,Minister of Justice of the Czech Republic,cabinet
Q27479703,Minister of Labour and Social Affairs,cabinet
Q28808262,Minister of Agriculture,cabinet
Q30312984,"Minister of Education, Youth and Sports",cabinet
Q33702144,Minister of the Environment,cabinet
Q3409229,Prime Minister of the Czech Republic,cabinet
Q45406265,Minister of Defence of the Czech Republic,cabinet
Q45750372,Minister of Health of the Czech Republic,cabinet
Q45754140,Minister of Transport of the Czech Republic,cabinet
Q45843918,Minister of Culture of the Czech Republic,cabinet
Q47519610,Minister of the Czech Republic for Human Rights,cabinet
Q59773497,Minister without portfolio of the Czech Republic,cabinet
