id,name,start_date,end_date
1945-49,1945-49,1945-12-04,1950-01-10
1950-53,1950-53,1950-01-11,1954-01-10
1954-57,1954-57,1954-01-11,1958-01-10
1958-61,1958-61,1958-01-11,1961-09-30
1961-65,1961-65,1961-10-01,1965-09-30
1965-69,1965-69,1965-10-01,1969-09-30
1969-73,1969-73,1969-10-01,1973-09-30
1973-77,1973-77,1973-10-01,1977-09-30
1977-81,1977-81,1977-10-01,1981-09-30
1981-85,1981-85,1981-10-01,1985-09-30
1985-89,1985-89,1985-10-01,1989-09-30
1989-93,1989-93,1989-10-01,1993-09-30
1993-97,1993-97,1993-10-01,1997-09-30
1997-2001,1997-2001,1997-10-01,2001-09-30
2001-2005,2001-2005,2001-10-01,2005-09-30
2005-2009,2005-2009,2005-10-01,2009-09-30
2009-2013,2009-2013,2009-10-01,2013-09-30
2013-2017,2013-2017,2013-10-01,2017-09-30
2017-2021,2017-2021,2017-10-01,2021-09-30
