id,name,area,image,term,source,last_seen
antyufeeva-galina-mihaylovna,АНТЮФЕЕВА Галина Михайловна,32,http://vspmr.org/im.xp/049049057052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/antyufeeva-galina-mihaylovna/,
antyufeeva-galina-mihaylovna,АНТЮФЕЕВА Галина Михайловна,32,http://vspmr.org/im.xp/050053057057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/antyufeeva-galina-mihaylovna/,
babchinetskiy-valeriy-grigorjevich,БАБЧИНЕЦКИЙ Валерий Григорьевич,15,http://vspmr.org/im.xp/049050048048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/babchinetskiy-valeriy-grigorjevich/,
babchinetskiy-valeriy-grigorjevich,БАБЧИНЕЦКИЙ Валерий Григорьевич,15,http://vspmr.org/im.xp/049054056053051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/babchinetskiy-valeriy-grigorjevich/,
baev-oleg-markovich,БАЕВ Олег Маркович,12,http://vspmr.org/im.xp/049050048050124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/baev-oleg-markovich/,
baev-oleg-markovich,БАЕВ Олег Маркович,12,http://vspmr.org/im.xp/049050048050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/baev-oleg-markovich/,
belitchenko-anatoliy-konstantinovich,БЕЛИТЧЕНКО Анатолий Константинович,17,http://vspmr.org/im.xp/049050048052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/belitchenko-anatoliy-konstantinovich/,
belyakov-oleg-leonidovich,БЕЛЯКОВ Олег Леонидович,5,http://vspmr.org/im.xp/049054052048053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/belyakov-oleg-leonidovich/,
bichkov-vladimir-vladimirovich,БЫЧКОВ Владимир Владимирович,16,http://vspmr.org/im.xp/049050048056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/bichkov-vladimir-vladimirovich/,
bodnar-vladimir-lukich,БОДНАР Владимир Лукич,37,http://vspmr.org/im.xp/054057048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/bodnar-vladimir-lukich/,
buga-igorj-semenovich,БУГА Игорь Семенович,37,http://vspmr.org/im.xp/049054048057057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/buga-igorj-semenovich/,
burla-mihail-porfirovich,БУРЛА Михаил Порфирович,34,http://vspmr.org/im.xp/054057049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/burla-mihail-porfirovich/,
burla-mihail-porfirovich,БУРЛА Михаил Порфирович,34,http://vspmr.org/im.xp/054057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/burla-mihail-porfirovich/,
cheban-sergey-fedorovich,ЧЕБАН Сергей Федорович,26,http://vspmr.org/im.xp/054057053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/cheban-sergey-fedorovich/,
cheban-sergey-fedorovich,ЧЕБАН Сергей Федорович,26,http://vspmr.org/im.xp/054057053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/cheban-sergey-fedorovich/,
chervonookiy-valeriy-vladimirovich,ЧЕРВОНООКИЙ Валерий Владимирович,7,http://vspmr.org/im.xp/049051055053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/chervonookiy-valeriy-vladimirovich/,
dirun-anatoliy-viktorovich,ДИРУН Анатолий Викторович,35,http://vspmr.org/im.xp/049050049052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/dirun-anatoliy-viktorovich/,
djyachenko-grigoriy-ivanovich,ДЬЯЧЕНКО Григорий Иванович,39,http://vspmr.org/im.xp/049050049055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/djyachenko-grigoriy-ivanovich/,
djyachenko-grigoriy-ivanovich,ДЬЯЧЕНКО Григорий Иванович,39,http://vspmr.org/im.xp/049054051055048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/djyachenko-grigoriy-ivanovich/,
doni-vadim-mihaylovich,ДОНИ Вадим Михайлович,25,http://vspmr.org/im.xp/049054051056053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/doni-vadim-mihaylovich/,
galak-yakov-efimovich,ГАЛАК Яков Ефимович,21,http://vspmr.org/im.xp/049054052052057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/galak-yakov-efimovich/,
guljchak-evgeniy-grigorjevich,ГУЛЬЧАК Евгений Григорьевич,5,http://vspmr.org/im.xp/049050049049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/guljchak-evgeniy-grigorjevich/,
gushan-evgeniy-viktorovich,ГУШАН Евгений Викторович,35,http://vspmr.org/im.xp/049054052055052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/gushan-evgeniy-viktorovich/,
guzun-viktor-mihaylovich,ГУЗУН Виктор Михайлович,43,http://vspmr.org/im.xp/054057051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/guzun-viktor-mihaylovich/,
guzun-viktor-mihaylovich,ГУЗУН Виктор Михайлович,43,http://vspmr.org/im.xp/054057051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/guzun-viktor-mihaylovich/,
hankevich-sergey-pavlovich,ХАНКЕВИЧ Сергей Павлович,4,http://vspmr.org/im.xp/049054056053057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/hankevich-sergey-pavlovich/,
horin-yuriy-pavlovich,ХОРИН Юрий Павлович,29,http://vspmr.org/im.xp/049051054057124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/horin-yuriy-pavlovich/,
horjan-oleg-olegovich,ХОРЖАН Олег Олегович,40,http://vspmr.org/im.xp/049051048048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/horjan-oleg-olegovich/,
horjan-oleg-olegovich,ХОРЖАН Олег Олегович,40,http://vspmr.org/im.xp/049051048048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/horjan-oleg-olegovich/,
kalin-vitaliy-ivanovich,КАЛИН Виталий Иванович,,http://vspmr.org/im.xp/049054051057057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kalin-vitaliy-ivanovich/,
kaminskiy-anatoliy-vladimirovich,КАМИНСКИЙ Анатолий Владимирович,,http://vspmr.org/im.xp/049050050051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kaminskiy-anatoliy-vladimirovich/,
korshunov-aleksandr-viktorovich,КОРШУНОВ Александр Викторович,1,http://vspmr.org/im.xp/049050050056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/korshunov-aleksandr-viktorovich/,
korshunov-aleksandr-viktorovich,КОРШУНОВ Александр Викторович,1,http://vspmr.org/im.xp/049050050056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/korshunov-aleksandr-viktorovich/,
kotsyubenko-andrey-borisovich,КОЦЮБЕНКО Андрей Борисович,25,http://vspmr.org/im.xp/049050051049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kotsyubenko-andrey-borisovich/,
kovalj-efimiy-mihaylovich,КОВАЛЬ Ефимий Михайлович,31,http://vspmr.org/im.xp/054057052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kovalj-efimiy-mihaylovich/,
kovalj-efimiy-mihaylovich,КОВАЛЬ Ефимий Михайлович,31,http://vspmr.org/im.xp/054057052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kovalj-efimiy-mihaylovich/,
krasnoseljskiy-vadim-nikolaevich,КРАСНОСЕЛЬСКИЙ Вадим Николаевич,7,http://vspmr.org/im.xp/050057052054052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/krasnoseljskiy-vadim-nikolaevich/,2016-12-14
kravchuk-vadim-viktorovich,КРАВЧУК Вадим Викторович,18,http://vspmr.org/im.xp/049054052050050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kravchuk-vadim-viktorovich/,
