id,position,label,description,start_date,replaces
Q17305060,Q19853383,Member of the House of the People,"","",
Q18637795,Q19853383,Member of the House of the People,"","",
Q203903,Q19853383,Member of the House of the People,"","",
Q25938142,Q19853383,Member of the House of the People,"","",
Q30224398,Q19853383,Member of the House of the People,"","",
Q30224399,Q19853383,Member of the House of the People,"","",
Q3065252,Q19853383,Member of the House of the People,"","",
Q31069219,Q19853383,Member of the House of the People,"","",
Q31069385,Q19853383,Member of the House of the People,"","",
Q31069408,Q19853383,Member of the House of the People,"","",
Q31069416,Q19853383,Member of the House of the People,"","",
Q4665606,Q19853383,Member of the House of the People,"","",
Q4778042,Q19853383,Member of the House of the People,"","",
Q5435214,Q19853383,Member of the House of the People,"","",
Q545955,Q19853383,Member of the House of the People,"","",
Q5688389,Q19853383,Member of the House of the People,"","",
Q5917451,Q19853383,Member of the House of the People,"",2005,
Q5917451,Q61715214,Speaker of the House of the People (Afghanistan),"",2011-02-27,Yunus Qanuni
Q6399558,Q19853383,Member of the House of the People,"","",
Q6874777,Q19853383,Member of the House of the People,"","",
Q7074585,Q19853383,Member of the House of the People,"","",
Q7399652,Q19853383,Member of the House of the People,"","",
Q7461271,Q19853383,Member of the House of the People,"","",
Q7462361,Q19853383,Member of the House of the People,"","",
Q7462914,Q19853383,Member of the House of the People,"","",
Q7504854,Q19853383,Member of the House of the People,"","",
