id,name,image,term,source
1926,Sahib Khan - Logar,http://www.wolesi.website/Media/Images/mine/sahebkhan.jpg,2010,http://wolesi.website/pve/document.aspx?Page=16&Cat=37
1928,Amir Jan Dauwlatzai,http://www.wolesi.website/Media/Images/mine/amirjan-dolatzay.jpg,2010,http://wolesi.website/pve/document.aspx?Page=15&Cat=37
1929,Amir Khan Yaar-Nangarhar,http://www.wolesi.website/Media/Images/mine/m-amirkhan-yar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=15&Cat=37
1930,Arian Yoon-Nangarhar,http://www.wolesi.website/Media/Images/mine/aryan-uon.JPG,2010,http://wolesi.website/pve/document.aspx?Page=15&Cat=37
1932,Mirwais Yasini-Nangarhar,http://www.wolesi.website/Media/Images/mine/mirvays-yasini.JPG,2010,http://wolesi.website/pve/document.aspx?Page=15&Cat=37
1934,Peerbakhsh ghardewal,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,2010,http://wolesi.website/pve/document.aspx?Page=15&Cat=37
1936,Alhaj Shakila Hashimi-Logar,http://www.wolesi.website/Media/Images/mine/shakila-hashmi.jpg,2010,http://wolesi.website/pve/document.aspx?Page=14&Cat=37
1937,Haji Hazrat Ali-Nangarhar,http://www.wolesi.website/Media/Images/mine/hazrat-ali.jpg,2010,http://wolesi.website/pve/document.aspx?Page=14&Cat=37
1938,Dr. Asamatullah Shenwari-Nangarhar,http://www.wolesi.website/Media/Images/mine/esmatollah-shenvary.jpg,2010,http://wolesi.website/pve/document.aspx?Page=14&Cat=37
1939,Saima Khogyani-Nangarhar,http://www.wolesi.website/Media/Images/mine/same-khokyani.JPG,2010,http://wolesi.website/pve/document.aspx?Page=14&Cat=37
1941,Haji Abdul Zahair Qadeer,http://www.wolesi.website/Media/Images/mine/Copy%20of%20abdozaher-qadiri.jpg,2010,http://wolesi.website/pve/document.aspx?Page=14&Cat=37
1942,ABDUL Ghafar,http://www.wolesi.website/Media/Images/mine/abdul%20ghafar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=13&Cat=37
1943,Farydoon Momand-Nangarhar,http://www.wolesi.website/Media/Images/mine/freydon-momand.jpg,2010,http://wolesi.website/pve/document.aspx?Page=13&Cat=37
1947,Lailoma Hakimi-Nangarhar,http://www.wolesi.website/Media/Images/mine/m-layloma-vali-hakimi.JPG,2010,http://wolesi.website/pve/document.aspx?Page=13&Cat=37
1948,Frishta Anwari-Nangarhar,http://www.wolesi.website/Media/Images/mine/freshte-anvari.jpg,2010,http://wolesi.website/pve/document.aspx?Page=13&Cat=37
1949,Maulawi Ahmadullah Muhaed-Nooristan,http://www.wolesi.website/Media/Images/mine/Ahmadullah-mohaed-Nooristan.jpg,2010,http://wolesi.website/pve/document.aspx?Page=13&Cat=37
1950,Parvine Noorstani,http://www.wolesi.website/Media/Images/mine/parveen%20noristani.jpg,2010,http://wolesi.website/pve/document.aspx?Page=12&Cat=37
1951,Frishta Amini-Nemroz,http://www.wolesi.website/Media/Images/mine/freshte-amini.JPG,2010,http://wolesi.website/pve/document.aspx?Page=12&Cat=37
1952,Farida Hamedi-Nemroz,http://www.wolesi.website/Media/Images/mine/Farida-Hamidi-Nemroz.jpg,2010,http://wolesi.website/pve/document.aspx?Page=12&Cat=37
1953,Ahmad Bihzad-Herat,http://www.wolesi.website/Media/Images/mine/ahmad-behzad.JPG,2010,http://wolesi.website/pve/document.aspx?Page=12&Cat=37
1954,Ahmad Farhad Majedi-Herat,http://www.wolesi.website/Media/Images/mine/farhad-majidi-m.JPG,2010,http://wolesi.website/pve/document.aspx?Page=12&Cat=37
1955,Haji Khalil Ahmad Shahed Zada-Nemroz,http://www.wolesi.website/Media/Images/mine/Khalil%20Ahmad%20Shahed%20Zada-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=11&Cat=37
1956,Alhaj Rahima Jami-Herat,http://www.wolesi.website/Media/Images/mine/Rahima-Jami-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=11&Cat=37
1957,Shahnaz Hemati,http://www.wolesi.website/Media/Images/mine/m-shnaz-hekmati.JPG,2010,http://wolesi.website/pve/document.aspx?Page=11&Cat=37
1959,Abdul Hadi Jamshedi-Herat,http://www.wolesi.website/Media/Images/mine/Abdul-Hadi-Jamshidi-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=11&Cat=37
1961,Gholam Faroqe Majroh,http://www.wolesi.website/Media/Images/mine/gholamfarogh-majroh.JPG,2010,http://wolesi.website/pve/document.aspx?Page=11&Cat=37
1963,Haji Ghulam Farooq Nazari-Herat,http://www.wolesi.website/Media/Images/mine/gholam-rarogh-nazari.jpg,2010,http://wolesi.website/pve/document.aspx?Page=10&Cat=37
1964,Dr. Mohammad Saleh Saljoqai-Herat,http://www.wolesi.website/Media/Images/mine/m-mohammad-saleh-saljoghi.jpg,2010,http://wolesi.website/pve/document.aspx?Page=10&Cat=37
1965,Haji Muhammad Arif Tayeb-Herat,http://www.wolesi.website/Media/Images/mine/mohammad-aref-tayeb.JPG,2010,http://wolesi.website/pve/document.aspx?Page=10&Cat=37
1967,Muhammad Raza Khushak Watan Dost-Herat,http://www.wolesi.website/Media/Images/mine/mohammadriza-khoshak-watandost.ss.JPG,2010,http://wolesi.website/pve/document.aspx?Page=10&Cat=37
1968,Masuda Karkhi-Herat,http://www.wolesi.website/Media/Images/mine/masooda.karokhi.ss.jpg,2010,http://wolesi.website/pve/document.aspx?Page=10&Cat=37
1969,Alhaj Eng. Munawar Shah Bahdari-Herat,http://www.wolesi.website/Media/Images/mine/monavarshah-bahadori.JPG,2010,http://wolesi.website/pve/document.aspx?Page=9&Cat=37
1970,Haji Nisar Ahmad Faizi Ghoryani-Herat,http://www.wolesi.website/Media/Images/mine/Nisar%20Ahmad%20Faizi%20Ghoryani-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=9&Cat=37
1971,Najla Yousufai Dehqan neZhad,http://www.wolesi.website/Media/Images/mine/najla-dehqannejat.ss.jpg,2010,http://wolesi.website/pve/document.aspx?Page=9&Cat=37
1972,Qazi Nazir Ahmad Hanafi-Herat,http://www.wolesi.website/Media/Images/mine/Qazi-Nazer-Ahmad-Hanafi-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=9&Cat=37
1973,Naheed Ahmadi Farid,http://www.wolesi.website/Media/Images/mine/naheed.farid.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=9&Cat=37
1974,Habiba Sadat-Helmand,http://www.wolesi.website/Media/Images/mine/m-habibeh-sadat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=8&Cat=37
1976,Abdul Jabar Qarahman-Helmand,http://www.wolesi.website/Media/Images/mine/abdoljabbar-ghahreman.jpg,2010,http://wolesi.website/pve/document.aspx?Page=8&Cat=37
1977,Haji Abdul Hay Akhundzada-Helmand,http://www.wolesi.website/Media/Images/mine/abdolhay-akhondzadeh.JPG,2010,http://wolesi.website/pve/document.aspx?Page=8&Cat=37
1984,Abdul wadood popal-Helmand,http://www.wolesi.website/Media/Images/mine/m-abdolvodod-popal.jpg,2010,http://wolesi.website/pve/document.aspx?Page=8&Cat=37
1985,Haji Mohammed Wali Alizai-Helmand,http://www.wolesi.website/Media/Images/mine/m-mohammad-vali-alizai.JPG,2010,http://wolesi.website/pve/document.aspx?Page=8&Cat=37
1986,Haji Mualim Mirwali-Helmand,http://www.wolesi.website/Media/Images/mine/mirvali-barkzai.jpg,2010,http://wolesi.website/pve/document.aspx?Page=7&Cat=37
2000,Nasima Niazai-Helmand,http://www.wolesi.website/Media/Images/mine/nasimeh-nyazi.jpg,2010,http://wolesi.website/pve/document.aspx?Page=7&Cat=37
2001,Neamatullah GHafari,http://www.wolesi.website/Media/Images/mine/neamatullah-ghafari.ss.jpg,2010,http://wolesi.website/pve/document.aspx?Page=7&Cat=37
2007,Eng. Hameda Akbary-Wardak,http://www.wolesi.website/Media/Images/mine/hamida.akbari.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=7&Cat=37
2008,Sediqa Mubariz-Wardak,http://www.wolesi.website/Media/Images/mine/sidiqa-mobariz.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=7&Cat=37
2009,Abdul Ahmad Durani,http://www.wolesi.website/Media/Images/mine/abdol-ahmad-dorani.jpg,2010,http://wolesi.website/pve/document.aspx?Page=6&Cat=37
2010,Haji Abdul Majed Wardak-Wardak,http://www.wolesi.website/Media/Images/mine/abdulmajidwardak.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=6&Cat=37
2011,Ghulam Husain Naseri-Wardak,http://www.wolesi.website/Media/Images/mine/GHolamhosain-nasiri-s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=6&Cat=37
2511,Engineer Sayed Ikram-Nangarhar,http://www.wolesi.website/Media/Images/mine/syed-akram.jpg,2010,http://wolesi.website/pve/document.aspx?Page=6&Cat=37
3955,Haji Sayed Mohammad Daud Nasiri - Daikundi,http://www.wolesi.website/Media/Images/mine/Hon'ble%20Haji%20Sayed%20Mohammad%20Daud%20Nasiri.jpg,2010,http://wolesi.website/pve/document.aspx?Page=6&Cat=37
4183,Najia Aimaq - Baghlan,http://www.wolesi.website/Media/Images/mine/Najia%20Aimaq-Baghlan.jpg,2010,http://wolesi.website/pve/document.aspx?Page=5&Cat=37
4185,"Shukria Isakhil, Baghlan",http://www.wolesi.website/Media/Images/mine/Shukria-Isakhail-Baghlan.jpg,2010,http://wolesi.website/pve/document.aspx?Page=5&Cat=37
4186,"Ahmad Shah Ramazan, Balkh",http://www.wolesi.website/Media/Images/mine/Ahmad-Shah-Ramazan-Balkh.jpg,2010,http://wolesi.website/pve/document.aspx?Page=5&Cat=37
4187,"Aziza Jalis, Sarepul",http://www.wolesi.website/Media/Images/mine/Aziza-Jalis-Sarepul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=5&Cat=37
4188,"Mohammad Haref Rahmani, Ghazni",http://www.wolesi.website/Media/Images/mine/Mohammad-Arif-Rahmani-Ghazni.jpg,2010,http://wolesi.website/pve/document.aspx?Page=5&Cat=37
4204,Razia Sadat Mangal-Paktia,http://www.wolesi.website/Media/Images/mine/Razia%20Sadat%20Mangal-Paktia.jpg,2010,http://wolesi.website/pve/document.aspx?Page=4&Cat=37
4205,Ruqia Naiel-Ghor,http://www.wolesi.website/Media/Images/mine/Roqia%20Nayel-Ghor.jpg,2010,http://wolesi.website/pve/document.aspx?Page=4&Cat=37
4206,Qurban Kohistani-Ghor,http://www.wolesi.website/Media/Images/mine/Qurban%20Kohistani-Ghor.jpg,2010,http://wolesi.website/pve/document.aspx?Page=4&Cat=37
4207,Qazi Abdul Rahim-Badghis,http://www.wolesi.website/Media/Images/mine/Qazi%20Abdul%20Rahim-Badghis.jpg,2010,http://wolesi.website/pve/document.aspx?Page=4&Cat=37
4208,Shir Wali Wardak-Kabul,http://www.wolesi.website/Media/Images/mine/Sher%20Wali%20Wardak-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=4&Cat=37
4209,General Nazifa Zaki-Kabul,http://www.wolesi.website/Media/Images/mine/Nazefa%20Zaki-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=3&Cat=37
4210,Fatima Aziz-Kunduz,http://www.wolesi.website/Media/Images/mine/Fatima%20Aziz-Kunduz.jpg,2010,http://wolesi.website/pve/document.aspx?Page=3&Cat=37
4211,Shaista Baz Nasiri-Kunduz,http://www.wolesi.website/Media/Images/mine/Shaista%20Baz%20Nasiri-Kunduz.jpg,2010,http://wolesi.website/pve/document.aspx?Page=3&Cat=37
4212,Fariba Ahmadi Kakar-Kandahar,http://www.wolesi.website/Media/Images/mine/Fariba%20Ahmadi%20Kakar-Kandahar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=3&Cat=37
4213,Shazada Shahid-Kunar,http://www.wolesi.website/Media/Images/mine/Shazada%20Shahid-Kunar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=3&Cat=37
4214,Sher Ali Ahmadzai-Kochi,http://www.wolesi.website/Media/Images/mine/Sher%20Ali%20Ahmadzai-Kochi.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
4215,Hassan Sahraye-Kochi,http://www.wolesi.website/Media/Images/mine/Hassan%20Sahraye-Kochi.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
4216,Zefnoon Safi-Laghman,http://www.wolesi.website/Media/Images/mine/Zefnon%20Safi-Laghman.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
4217,Pir Bakhsh Gardiwal-Nangarhar,http://www.wolesi.website/Media/Images/mine/Pir%20Bakhsh%20Gardiwal-Nangarhar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
4220,Qazi Muhammad Kabeer Marzban-Takhar,http://www.wolesi.website/Media/Images/mine/Mohammad-Kabir-Mirzban-Takhar.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
4221,Abdul Sabor Khidmat-Farah,http://www.wolesi.website/Media/Images/mine/Abdul%20Sabor%20Khedmat-Farah.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
4222,Fawzia Nasiryar Guldaraye-Kabul,http://www.wolesi.website/Media/Images/mine/Fawzia%20Nasiryar%20Guldaraye-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
4227,Zemarak Padkhabi-Kabul,http://www.wolesi.website/Media/Images/mine/Izmarak-Padkhowabi-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
4228,Haji Hashim Mehdawi-Kabul,http://www.wolesi.website/Media/Images/mine/Hashim%20Mehdawi-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
4229,Semin Barakzai-Herat,http://www.wolesi.website/Media/Images/mine/Semin%20Barakzai-Herat.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
4230,Abdul Sabor Khidmat-Farah,http://www.wolesi.website/Media/Images/mine/Abdul%20Sabor%20Khedmat-Farah.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
4234,Haji Qudratullah Sahak-Kabul,http://www.wolesi.website/Media/Images/mine/Qudratullah%20Sahak-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
4235,Abdul Qader zazai Watandost,http://www.wolesi.website/Media/Images/mine/Abdul%20Qader%20zazai%20Watandost-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
4236,Engineer Zakaria Khan Zakria-Kabul,http://www.wolesi.website/Media/Images/mine/Engineer%20Zakaria%20Khan%20Zakria-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
4237,Haji Ehsan Sahebzada,http://www.wolesi.website/Media/Images/mine/Haji%20Ehsan%20Sahebzada-Kabul.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
