name,wikiname,party,area,term,source
Abbas Sınay,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ahmet Gülle,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ahmet Kaşif,Ahmet Kaşif,Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ali Pilli,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Arif Albayrak,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Armağan Candan,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Asım Akansoy,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Biray Hamzaoğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Birikim Özgür,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Doğuş Derya,Doğuş Derya,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Dursun Oğuz,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Erdal Özcenk,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ergün Serdaroğlu,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Erkut Şahali,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ersan Saner,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ersin Tatar,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Faiz Sucuoğlu,"",National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Fazilet Özdenefe,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ferdi Sabit Soyer,Ferdi Sabit Soyer,Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Fikri Ataoğlu,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hakan Dinçyürek,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hamit Bakırcı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hasan Taçoy,Hasan Taçoy,Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hüseyin Alanlı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hüseyin Angolemli,"",Communal Democracy Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hüseyin Erçal,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Hüseyin Özgürgün,Hüseyin Özgürgün,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Kemal Dürüst,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Kutlu Evren,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Mehmet Çakıcı,Mehmet Çakıcı,Communal Democracy Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Mehmet Çağlar,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Menteş Gündüz,"",Democratic Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Mustafa Arabacıoğlu,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Nazım Çavuşoğlu,"",National Unity Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Salih İzbul,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Serdar Denktaş,Serdar Denktaş,Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Sibel Siber,Sibel Siber,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Sunat Atun,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Tahsin Ertuğruloğlu,Tahsin Ertuğruloğlu,National Unity Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Teberrüken Uluçay,"",Republican Turkish Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Tufan Erhürman,"",Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Zeki Çeler,Zeki Çeler,Communal Democracy Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Zorlu Töre,"",Democratic Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ömer Kalyoncu,Ömer Kalyoncu,Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Önder Sennaroğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Özdemir Berova,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Özdil Nami,Özdil Nami,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Özkan Yorgancıoğlu,Özkan Yorgancıoğlu,Republican Turkish Party,Lefkoşa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
Ünal Üstel,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
İzlem Gürçağ,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus
