id,name,faction,area,image,term,source
10,"Hj. DEWI CORYATI, M.Si.",National Mandate Party Faction,BENGKULU,http://dpr.go.id/doksigota/photo/10.jpg,18,http://dpr.go.id/en/anggota
100,Dra. POPONG OTJE DJUNDJUNAN,Golkar Party Faction,JAWA BARAT I,http://dpr.go.id/doksigota/photo/100.jpg,18,http://dpr.go.id/en/anggota
1005,"Dra. ELVA HARTATI, SIP. MM",Indonesian Democratic Party of Struggle Faction,BENGKULU,"http://dpr.go.id/doksigota/photo/1005_DRA._Elva_Hartati,_SIP._MM.jpg",18,http://dpr.go.id/en/anggota
1014,"H. RAMBE KAMARUL ZAMAN, MSc. MM",Golkar Party Faction,SUMATERA UTARA II,http://dpr.go.id/doksigota/photo/1014_Rambe_kamarul_Zaman_.jpg,18,http://dpr.go.id/en/anggota
102,Drs. AGUS GUMIWANG KARTASASMITA,Golkar Party Faction,JAWA BARAT II,http://dpr.go.id/doksigota/photo/102.jpg,18,http://dpr.go.id/en/anggota
103,"Dr. Ir. H. LILI ASDJUDIREDJA, S.E., Ph.D.",Golkar Party Faction,JAWA BARAT II,"http://dpr.go.id/doksigota/photo/103_Dr._Ir._H._LILI_ASDJUDIREDJA,_S.E.,_Ph.D..jpg",18,http://dpr.go.id/en/anggota
1035,Andreas Hugo Pareira ,Indonesian Democratic Party of Struggle Faction,NUSA TENGGARA TIMUR I,http://dpr.go.id/doksigota/photo/1035_Andreas_Hugo_Pareira_.jpg,18,http://dpr.go.id/en/anggota
104,"Dr. H. DEDING ISHAK, S.H., M.M.",Golkar Party Faction,JAWA BARAT III,http://dpr.go.id/doksigota/photo/104.jpg,18,http://dpr.go.id/en/anggota
1047,"DR. HM. AZIS SYAMSUDDIN, SH.",Golkar Party Faction,LAMPUNG II,http://dpr.go.id/doksigota/photo/1047.jpg,18,http://dpr.go.id/en/anggota
105,"Hj. DEWI ASMARA, S.H.",Golkar Party Faction,JAWA BARAT IV,http://dpr.go.id/doksigota/photo/105.jpg,18,http://dpr.go.id/en/anggota
106,"Venny Devianti, S.Sos",Golkar Party Faction,JAWA BARAT IX,http://dpr.go.id/doksigota/photo/106.jpg,18,http://dpr.go.id/en/anggota
108,"Ir. H. AIRLANGGA HARTARTO, M.M.T., M.B.A.",Golkar Party Faction,JAWA BARAT V,"http://dpr.go.id/doksigota/photo/108_Ir._H._AIRLANGGA_HARTARTO,_M.M.T.,_M.B.A..jpg",18,http://dpr.go.id/en/anggota
1091,MOHAMMAD HATTA,National Mandate Party Faction,JAWA TENGAH V,http://dpr.go.id/doksigota/photo/1091.jpg,18,http://dpr.go.id/en/anggota
