id,name,position_id,position,label,start_date,end_date,ordinal
Q103529,Cornelia Schmalz-Jacobsen,Q103529-d0b01b25-4c10-734c-5766-b3710c2c2d97,Q28978682,Senator of Berlin,1985-01-01,1989-01-01,0
Q106235,Hans-Dietrich Genscher,Q106235-b484bd6d-40c9-60cf-cc35-a3b5960aac63,Q22575628,Federal Minister of the Interior,1969-10-22,1974-05-07,0
Q106235,Hans-Dietrich Genscher,Q106235-35E95E48-E2B0-4938-A15C-B407DAD324C6,Q504272,Vice-Chancellor of Germany,1974-05-16,1982-09-17,0
Q106235,Hans-Dietrich Genscher,Q106235-1d03238c-4c46-888e-145b-8b0701f4cc3f,Q504272,Vice-Chancellor of Germany,1982-10-04,1992-05-18,0
Q106235,Hans-Dietrich Genscher,Q106235-283C3DCB-49D7-420B-9888-C254A7E49959,Q568605,Federal Minister for Foreign Affairs,1974-05-17,1982-09-17,0
Q106235,Hans-Dietrich Genscher,Q106235-5782292d-4f7a-2706-b965-475d87096864,Q568605,Federal Minister for Foreign Affairs,1982-10-04,1992-05-17,0
Q107018,Christian Schmidt,Q107018-c661dffe-4fe9-1cf0-64e8-0f9742b5f026,Q30543319,Federal Minister of Food and Agriculture,2014-02-17,"",0
Q108447,Heiko Maas,Q108447-fe20611e-4b93-829e-44d4-ef0ba70786bb,Q15966511,State Minister,2012-05-09,2013-12-17,0
Q108447,Heiko Maas,Q108447-58673a05-44a4-fafb-1753-944c9e65c817,Q30542236,Federal Minister of Justice and Consumer Protection,2013-12-17,"",0
Q109375,Oliver Wittke,Q109375-2c516de9-4c38-1958-a5f7-d96fc8513e4a,Q12339722,transport minister,"","",0
Q110719,Oskar Lafontaine,Q110719-D4B95C16-CD2A-4C61-AF56-8B0E136C8C01,Q22575092,Federal Minister of Finance,1998-10-27,1999-03-18,15
Q1133465,Cornelia Yzer,Q1133465-12d7469c-402d-3dff-91d5-4ffeb021e26d,Q28978682,Senator of Berlin,2012-01-01,2016-01-01,0
Q121730,Konrad Porzner,Q121730-02550fd7-44d6-1c1d-e78b-03ffd65a9112,Q22662439,Senator of Finance of Berlin,1981-05-10,1981-01-01,0
Q123872,Peter Friedrich,Q123872-69d3567a-4812-0061-87e8-0e7a33b79445,Q15966511,State Minister,2011-05-12,"",0
Q1262878,Olaf Sund,Q1262878-e05d887f-4751-20ee-f933-e4b02d2470f5,Q28978682,Senator of Berlin,1977-01-01,1981-01-01,0
Q1332813,Elmar Pieroth,Q1332813-662b2f94-4d66-426a-ca52-89448747a941,Q22662439,Senator of Finance of Berlin,1991-01-01,1996-01-01,0
Q1332813,Elmar Pieroth,Q1332813-a051b894-4086-bdde-50d7-c5688c993461,Q28978682,Senator of Berlin,1981-01-01,1989-01-01,0
Q1332813,Elmar Pieroth,Q1332813-ee8956ac-45e6-80dc-25e0-ab624f489e98,Q28978682,Senator of Berlin,1996-01-01,1998-01-01,0
Q1417620,Wolfgang Wieland,Q1417620-44411fb6-44ae-7755-87fe-afff2a75562f,Q28978682,Senator of Berlin,2001-01-01,2002-01-01,0
Q1417746,Harry Liehr,Q1417746-4b89a1f8-4c44-27bd-6ad4-7e54e3582d8f,Q28978682,Senator of Berlin,1971-01-01,1976-01-01,0
Q15117357,Katarina Barley,Q15117357-e43736fd-40f2-c106-4ee9-963919b098fb,Q30543531,"Federal Minister of Family Affairs, Senior Citizens, Women and Youth",2017-06-02,"",0
Q1511739,Gerhard Heimann,Q1511739-db0dd4d5-42dc-dba0-a81b-6eab38f3571b,Q28978682,Senator of Berlin,1979-01-01,1981-01-01,0
Q1512001,Gerhard Kunz,Q1512001-22eb3370-46df-f8aa-ad05-45a639ba43ba,Q22662439,Senator of Finance of Berlin,1981-06-11,1985-01-01,0
Q153460,Ilse Aigner,q153460-6f1686fa-4094-de7d-dd42-348d4ba7cd60,Q30543319,Federal Minister of Food and Agriculture,2008-10-31,2009-10-28,0
Q153460,Ilse Aigner,q153460-d933df05-4d43-ff87-3e46-1fa2a28cb5d4,Q30543319,Federal Minister of Food and Agriculture,2009-10-28,"",0
Q1535024,Rolf Schwedler,Q1535024-91e5560a-4c17-fb81-670d-f97ef017c101,Q28978682,Senator of Berlin,1955-01-01,1972-01-01,0
Q15434563,Christina Kampmann,Q15434563-e33e18e2-40c3-42f9-6931-8a94a23c336f,Q83307,minister,2015-10-01,"",0
Q1560675,Günter Klein,Q1560675-b0619e96-4355-d3c4-2b0f-e257f3f647be,Q28978682,Senator of Berlin,"",1953-01-01,0
Q1560675,Günter Klein,Q1560675-7650568b-45a9-7837-0bc0-93ffdb50240d,Q28978682,Senator of Berlin,1955-01-01,1961-01-01,0
Q1566827,Thomas Krüger,Q1566827-09675ec9-4961-b0a4-cfcd-6e210aee8619,Q28978682,Senator of Berlin,1991-01-01,1994-01-01,0
Q1569739,Hajo Hoffmann,Q1569739-7ddc8578-4b41-68ae-d45f-fbb7c0ad13b9,Q17618153,economy minister,1985-04-01,"",0
Q1577086,Hans-Günter Hoppe,Q1577086-e0a566ef-4feb-66eb-337f-c4b96a481a80,Q22662439,Senator of Finance of Berlin,1963-04-16,1967-01-01,0
Q1577086,Hans-Günter Hoppe,Q1577086-b7910421-4b3a-b283-1ec7-138e9fb3e707,Q28978682,Senator of Berlin,1967-01-01,1971-01-01,0
Q1598230,Heinrich Lummer,Q1598230-2bd900b8-4d96-11f6-e685-a0186d5d973b,Q28978879,Senator of the Interior of Berlin,1981-01-01,1986-01-01,0
Q159913,Klaus Kinkel,Q159913-2bc1dd84-40fe-64bf-a5d4-df40df042734,Q30533247,Federal Minister of Justice,1991-01-18,1992-05-18,0
Q159913,Klaus Kinkel,Q159913-2D59FF97-73A8-480B-B0A3-0A0B093D8A94,Q504272,Vice-Chancellor of Germany,1993-01-21,1998-10-26,0
Q159913,Klaus Kinkel,Q159913-09103813-CDB8-473B-B81E-238FBED866E0,Q568605,Federal Minister for Foreign Affairs,1992-05-18,1998-10-26,0
Q16019,Wolfgang Schäuble,q16019-3bb5ca5e-4515-9f43-c4da-28637eef0bfd,Q22575092,Federal Minister of Finance,2009-10-28,"",0
Q16019,Wolfgang Schäuble,q16019-92318fe4-4ff1-9ab3-9ee4-0fdc9210cf91,Q22575628,Federal Minister of the Interior,1989-04-21,1991-11-26,0
