id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q100797,Florian Pronold,2017-09-24,"",Rottal-Inn,Q30535506,Social Democratic Party of Germany,Q49768,19
Q101504,Klaus-Peter Willsch,2017-09-24,"",Rheingau-Taunus – Limburg,Q30535343,Christian Democratic Union,Q49762,19
Q101617,Heidrun Bluhm,2017-09-24,"",Mecklenburgische Seenplatte II – Landkreis Rostock III,Q30534830,Die Linke,Q49764,19
Q1016467,Burkhard Lischka,2017-09-24,"",Magdeburg,Q30534979,Social Democratic Party of Germany,Q49768,19
Q101703,Astrid Grotelüschen,2017-09-24,"",Delmenhorst – Wesermarsch – Oldenburg-Land,Q30534858,Christian Democratic Union,Q49762,19
Q1019016,Bärbel Bas,2017-09-24,"",Duisburg I,Q30535123,Social Democratic Party of Germany,Q49768,19
Q1019029,Bärbel Kofler,2017-09-24,"",Traunstein,Q30535490,Social Democratic Party of Germany,Q49768,19
Q102641,Christian Dürr,2017-09-24,"",Delmenhorst – Wesermarsch – Oldenburg-Land,Q30534858,Free Democratic Party,Q13124,19
Q103160,Wilhelm von Gottberg,2017-09-24,"",,,Alternative for Germany,Q6721203,19
Q103165,Gitta Connemann,2017-09-24,"",Unterems,Q30534848,Christian Democratic Union,Q49762,19
Q1032742,Canan Bayram,2017-09-24,"",Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Q30535037,Alliance '90/The Greens,Q49766,19
Q103519,Anton Hofreiter,2017-09-24,"",München-Land,Q30535483,Alliance '90/The Greens,Q49766,19
Q103523,Michael Meister,2017-09-24,"",Bergstraße,Q30535377,Christian Democratic Union,Q49762,19
Q1035894,Caren Lay,2017-09-24,"",Bautzen I,Q30535277,Die Linke,Q49764,19
Q1035897,Caren Marks,2017-09-24,"",Hannover-Land I,Q30534920,Social Democratic Party of Germany,Q49768,19
Q103666,Joachim Pfeiffer,2017-09-24,"",Waiblingen,Q30535591,Christian Democratic Union,Q49762,19
Q103710,Oliver Krischer,2017-09-24,"",Düren,Q30535056,Alliance '90/The Greens,Q49766,19
Q103740,Ulla Jelpke,2017-09-24,"",Dortmund I,Q30535200,Die Linke,Q49764,19
Q103972,Filiz Polat,2017-09-24,"",Osnabrück-Land,Q30534902,Alliance '90/The Greens,Q49766,19
Q1044255,Carola Reimann,2017-09-24,"",Braunschweig,Q30534937,Social Democratic Party of Germany,Q49768,19
Q1045606,Carsten Linnemann,2017-09-24,"",Paderborn – Gütersloh III,Q30535174,Christian Democratic Union,Q49762,19
Q1045665,Carsten Schneider,2017-09-24,"",Erfurt – Weimar – Weimarer Land II,Q30535395,Social Democratic Party of Germany,Q49768,19
Q104706,Gerhard Schick,2017-09-24,"",Mannheim,Q30535622,Alliance '90/The Greens,Q49766,19
Q105331,Nadine Schön,2017-09-24,"",St. Wendel,Q30535673,Christian Democratic Union,Q49762,19
Q105426,Johannes Vogel,2017-09-24,"",Olpe – Märkischer Kreis I,Q30535237,Free Democratic Party,Q13124,19
Q105676,Karl Lauterbach,2017-09-24,"",Leverkusen – Köln IV,Q30535079,Social Democratic Party of Germany,Q49768,19
Q106033,Bijan Djir-Sarai,2017-09-24,"",Neuss I,Q30535106,Free Democratic Party,Q13124,19
Q106938,Christian Kühn,2017-09-24,"",Tübingen,Q30535658,Alliance '90/The Greens,Q49766,19
Q107018,Christian Schmidt,2017-09-24,"",Fürth,Q30535541,Christian Social Union of Bavaria,Q49763,19
Q107021,Marco Wanderwitz,2017-09-24,"",Chemnitzer Umland – Erzgebirgskreis II,Q30535304,Christian Democratic Union,Q49762,19
Q107793,Stefan Kaufmann,2017-09-24,"",Stuttgart I,Q30535576,Christian Democratic Union,Q49762,19
Q107989,Roderich Kiesewetter,2017-09-24,"",Aalen – Heidenheim,Q30535605,Christian Democratic Union,Q49762,19
Q1080321,Christian Hirte,2017-09-24,"",Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Q30535381,Christian Democratic Union,Q49762,19
Q1080751,Christian Lange,2017-09-24,"",Backnang – Schwäbisch Gmünd,Q30535602,Social Democratic Party of Germany,Q49768,19
Q108173,Kirsten Lühmann,2017-09-24,"",Celle – Uelzen,Q30534923,Social Democratic Party of Germany,Q49768,19
Q1083405,Christine Aschenberg-Dugnus,2017-09-24,"",Rendsburg-Eckernförde,Q30534801,Free Democratic Party,Q13124,19
Q1083648,Christine Lambrecht,2017-09-24,"",Bergstraße,Q30535377,Social Democratic Party of Germany,Q49768,19
Q108447,Heiko Maas,2017-09-24,"",Saarlouis,Q30535672,Social Democratic Party of Germany,Q49768,19
Q1086155,Christoph de Vries,2017-09-24,"",Hamburg-Mitte,Q30534832,Christian Democratic Union,Q49762,19
Q108771,Marco Bülow,2017-09-24,"",Dortmund I,Q30535200,Social Democratic Party of Germany,Q49768,19
Q109309,Agnieszka Brugger,2017-09-24,"",Ravensburg,Q30535665,Alliance '90/The Greens,Q49766,19
Q109362,Niels Annen,2017-09-24,"",Hamburg-Eimsbüttel,Q30534839,Social Democratic Party of Germany,Q49768,19
Q109375,Oliver Wittke,2017-09-24,"",Gelsenkirchen,Q30535141,Christian Democratic Union,Q49762,19
Q109521,Ingrid Arndt-Brauer,2017-09-24,"",Steinfurt I – Borken I,Q30535142,Social Democratic Party of Germany,Q49768,19
Q109560,Kai Gehring,2017-09-24,"",Essen III,Q30535138,Alliance '90/The Greens,Q49766,19
Q109811,Norbert Barthle,2017-09-24,"",Backnang – Schwäbisch Gmünd,Q30535602,Christian Democratic Union,Q49762,19
Q109925,Michael Theurer,2017-09-24,"",Karlsruhe-Stadt,Q30535610,Free Democratic Party,Q13124,19
Q110576,Veronika Bellmann,2017-09-24,"",Mittelsachsen,Q30535302,Christian Democratic Union,Q49762,19
Q111160,Reinhard Brandl,2017-09-24,"",Ingolstadt,Q30535472,Christian Social Union of Bavaria,Q49763,19
Q111187,Thomas Nord,2017-09-24,"",Frankfurt (Oder) – Oder-Spree,Q30534963,Die Linke,Q49764,19
Q111489,Jürgen Hardt,2017-09-24,"",Solingen – Remscheid – Wuppertal II,Q30535091,Christian Democratic Union,Q49762,19
Q111620,Carsten Müller,2017-09-24,"",Braunschweig,Q30534937,Christian Democratic Union,Q49762,19
Q1133381,Cornelia Möhring,2017-09-24,"",Pinneberg,Q30534806,Die Linke,Q49764,19
Q113994,Doris Barnett,2017-09-24,"",Ludwigshafen/Frankenthal,Q30535451,Social Democratic Party of Germany,Q49768,19
Q114033,Marlene Mortler,2017-09-24,"",Roth,Q30535549,Christian Social Union of Bavaria,Q49763,19
Q1157275,Dagmar Freitag,2017-09-24,"",Märkischer Kreis II,Q30535245,Social Democratic Party of Germany,Q49768,19
Q1157334,Dagmar Ziegler,2017-09-24,"",Prignitz – Ostprignitz-Ruppin – Havelland I,Q30534947,Social Democratic Party of Germany,Q49768,19
Q1163453,Daniela Kolbe,2017-09-24,"",Leipzig I,Q30535258,Social Democratic Party of Germany,Q49768,19
Q1163474,Daniela Ludwig,2017-09-24,"",Rosenheim,Q30535484,Christian Social Union of Bavaria,Q49763,19
Q1163596,Daniela Wagner,2017-09-24,"",Darmstadt,Q30535371,Alliance '90/The Greens,Q49766,19
