id,name,sort_name,party,constituency,area,term,wikiname,source,notes,end_date,start_date,death_date
ludwig_fellermaier,Ludwig Fellermaier,Fellermaier!,SPD,"",Bayern,5,Ludwig Fellermaier,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
adolf_feuring,Adolf Feuring,Feuring!,SPD,"",Nordrhein-Westfalen,5,Adolf Feuring,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 2. Januar 1967 für Udo Hein,,1967-01-02,
werner_figgen,Werner Figgen,Figgen!,SPD,"",Nordrhein-Westfalen,5,Werner Figgen,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 6. Dezember 1966,1966-12-06,,
gerhard_flämig,Gerhard Flämig,Flamig!,SPD,Hanau,Hessen,5,Gerhard Flämig,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
erwin_folger,Erwin Folger,Folger!,SPD,München-West,Bayern,5,Erwin Folger,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
egon_franke,Egon Franke,"Franke, Egon!",SPD,Hannover I,Niedersachsen,5,Egon Franke,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
heinrich_franke_(politiker),Heinrich Franke,"Franke, Heinrich!",CDU,"",Niedersachsen,5,Heinrich Franke (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
ludwig_franz,Ludwig Franz,Franz!,CSU,Rosenheim,Bayern,5,Ludwig Franz,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
jakob_franzen,Jakob Franzen,Franzen!,CDU,"",Rheinland-Pfalz,5,Jakob Franzen,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
günter_frede,Günter Frede,Frede!,SPD,"",Niedersachsen,5,Günter Frede,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),verstorben am 23. November 1967,1967-11-23,,1967-11-23
heinz_frehsee,Heinz Frehsee,Frehsee!,SPD,Hameln – Springe,Niedersachsen,5,Heinz Frehsee,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
friedrich_freiwald,Friedrich Freiwald,Freiwald!,CDU,"",Hessen,5,Friedrich Freiwald,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
