name,area,party
Ibrahim DIDI,FEYDHOO,Progressive Party of Maldives
Ali NIZAR,HITHADHOO DHEKUNU,Maldives Democratic Party
Ibrahim Mohamed DIDI,HITHADHOO MEDHU,Maldives Democratic Party
Mohamed ASLAM,HITHADHOO UTHURU,Maldives Democratic Party
Mohamed SHAHIDH,HULHUDHOO,Progressive Party of Maldives
Ibrahim SHAREEF,MARADHOO,Maldives Democratic Party
Rozaina ADAM,MEEDHOO,Maldives Democratic Party
Hussain MOHAMED,MATHIVERI,Republican Party
Ibrahim HASSAN,THOHDOO,Republican Party
Ilham AHMED,DHANGETHI,Republican Party
Qasim IBRAHIM,MAAMIGILI,Republican Party
Ahmed THORIQ,MAHIBADHOO,""
Ahmed SALEEM,EYDHAFUSHI,Progressive Party of Maldives
Ali HUSSAIN,KENDHOO,Republican Party
Nazim RASHAAD,THULHAADHOO,Maldives Democratic Party
Ahmed AMIR,KUDAHUVADHOO,Maldives Development Alliance
Ahmed Siyam MOHAMED,MEEDHOO,Maldives Development Alliance
Ahmed MUBEEN,BILEHDHOO,Republican Party
Abdullah KHALEEL,NILANDHOO,""
Abdullah Maseeh MOHAMED,FUVAHMULAH DHEKUNU,Progressive Party of Maldives
Ali FAZAD,FUVAHMULAH MEDHU,Progressive Party of Maldives
Ali SHAH,FUVAHMULAH UTHURU,Progressive Party of Maldives
Ahmed Assad,DHAANDHOO,Progressive Party of Maldives
Jameel Usman,GEMANAFUSHI,Progressive Party of Maldives
Saud Hussain,VILLINGILI,Progressive Party of Maldives
Hussain Mohamed LATHEEF,FARESMAATHODA,Progressive Party of Maldives
Ahmed RASHEEDH,GADHOO,Progressive Party of Maldives
Muaz Mohamed RASHEED,MADAVELI,""
Abdullah AHMED,THINADHOO DHEKUNU,Republican Party
Saudhullah HILMY,THINADHOO UTHURU,Progressive Party of Maldives
Ibrahim SHUJAU,BAARASHU,Progressive Party of Maldives
Abdul Latheef MOHAMED,DHIHDHOO,""
Mohamed ISMAIL,HOARAFUSHI,Maldives Development Alliance
Mohamed ABDULLAH,IHAVANDHOO,Republican Party
Ali ARIF,KELAA,Progressive Party of Maldives
Hussain SHAHUDHEE,HANIMADHOO,Republican Party
Mohamed NASHEED,KULHUDHUHFUSHI DHEKUNU,Progressive Party of Maldives
Abdul Ghafoor MOOSA,KULHUDHUHFUSHI UTHURU,Maldives Democratic Party
Anaara NAEEM,MAKUNUDHOO,Justice Party
Hussain AREEF,NOLHIVARAM,Republican Party
Mohamed NAZIM,VAIKARADHOO,Maldives Democratic Party
Ibrahim RIZA,GURAIDHOO,Progressive Party of Maldives
Faisal NASEEM,KAASHIDHOO,Republican Party
Mohamed Waheed IBRAHIM,THULUSDHOO,Progressive Party of Maldives
Abdu Raheem ABDULLAH,FONADHOO,Progressive Party of Maldives
Fayyaz ISMAIL,GAN,Maldives Democratic Party
Ahmed Rasheed IBRAHIM,ISDHOO,Progressive Party of Maldives
Ahmed Azhan FAHMY,MAAVASHU,Progressive Party of Maldives
Ibrahim Mohamed SALIH,HINNAVARU,Maldives Democratic Party
Abdul Baaree ABDULLAH,KURENDHOO,Maldives Democratic Party
Ahmed SHIYAM,NAIFARU,""
Ahmed MAHLOOF,GALOLHU DHEKUNU,Progressive Party of Maldives
Eva ABDULLAH,GALOLHU UTHURU,Maldives Democratic Party
Mohamed Abdul KAREEM,HENVEIRU DHEKUNU,Maldives Democratic Party
Abdullah SHAHID,HENVEIRU UTHURU,Maldives Democratic Party
Moosa MANIK,HULHU HENVEIRU,Maldives Democratic Party
Abdullah RIFAU,MAAFANNU DHEKUNU,Progressive Party of Maldives
Mohamed FALAH,MAAFANNU HULHANGU,Maldives Democratic Party
Asma RASHEEDH,MAAFANNU MEDHU,Progressive Party of Maldives
Imthiyaz FAHMY,MAAFANNU UTHURU,Maldives Democratic Party
Abdullah SINAN,MACHANGOLHI DHEKUNU,Progressive Party of Maldives
Mariya Ahmed DIDI,MACHANGOLHI UTHURU,Maldives Democratic Party
Ali AZIM,MEDHU HENVERIU,Maldives Democratic Party
Ahmed Nihan H MANIK,VILIMALE,Progressive Party of Maldives
Ahmed NAZIM,DHIHGARU,Progressive Party of Maldives
Ibrahim NASEER,MULAKU,Maldives Democratic Party
Ali MOHAMED,HOLHUDHOO,Maldives Democratic Party
Ali MAUROOF,KENDHIKULHUDHOO,Maldives Development Alliance
Umar HUSSAIN,MANADHOO,Maldives Development Alliance
Abdullah YAMEEN,VELIDHOO,Maldives Democratic Party
Mohamed Rasheed HUSSAIN,ALIFUSHI,Maldives Democratic Party
Mohamed ALI,DHUVAAFARU,Progressive Party of Maldives
Ibrahim FALAAH,INGURAIDHOO,Progressive Party of Maldives
Mohamed AMEETH,MADUVVARI,Progressive Party of Maldives
Jaufar DAAOOD,UNGOOFAARU,Progressive Party of Maldives
Ali SALEEM,FUNADHOO,Progressive Party of Maldives
Mohamed HUSSAIN,KANDITHEEMU,Republican Party
Ahmed NASHID,KOMMANDOO,Maldives Democratic Party
Hassan Mufeed A QADHIR,MILANDHOO,Republican Party
Hussain Manik DHONMANIK,GURAIDHOO,Progressive Party of Maldives
Abdullah RIYAZ,KINBIDHOO,Republican Party
Mohamed MUSTHAFA,THIMARAFUSHI,Maldives Democratic Party
Riyaz RASHEED,VILUFUSHI,Progressive Party of Maldives
Ahmed MARZOOQ,FELIDHOO,Maldives Democratic Party
Moosa Nizar IBRAHIM,KEYODHOO,Republican Party
