name,identifier__wikidata,party,party_id,constituency,constituency_id,term
Alex Allinson,,Independent,Q327591,Ramsey,Q150106,2016
Alfred Cannan,Q25752002,Independent,Q327591,Ayre & Michael,Q28129776,2016
Ann Corlett,,Independent,Q327591,Douglas Central,Q28129777,2016
Bill Malarkey,Q4910015,Independent,Q327591,Douglas South,Q5301985,2016
Bill Shimmins,,Independent,Q327591,Middle,Q1145116,2016
Chris Robertshaw,Q5107888,Independent,Q327591,Douglas East,Q5301433,2016
Christopher Thomas,,Independent,Q327591,Douglas Central,Q28129777,2016
Clare Bettison,,Independent,Q327591,Douglas East,Q5301433,2016
Daphne Caine,Q43400712,Independent,Q327591,Garff,Q2759593,2016
David Ashford,Q54935545,Independent,Q327591,Douglas North,Q5301849,2016
Geoffrey Boot,,Independent,Q327591,Glenfaba & Peel,Q28129778,2016
Graham Cregeen,Q25751961,Independent,Q327591,"Arbory, Castletown & Malew",Q28129775,2016
Howard Quayle,Q25752048,Independent,Q327591,Middle,Q1145116,2016
Jason Moorhouse,,Independent,Q327591,"Arbory, Castletown & Malew",Q28129775,2016
Juan Watterson,Q6301157,Independent,Q327591,Rushen,Q3453374,2016
Julie Edge,,Independent,Q327591,Onchan,Q7091958,2016
Kate Beecroft,Q19956065,Liberal Vannin,Q6540820,Douglas South,Q5301985,2016
Laurence Skelly,Q24852556,Independent,Q327591,Rushen,Q3453374,2016
Lawrie Hooper,,Liberal Vannin,Q6540820,Ramsey,Q150106,2016
Martyn Perkins,,Independent,Q327591,Garff,Q2759593,2016
Ralph Peake,Q25350178,Independent,Q327591,Douglas North,Q5301849,2016
Ray Harmer,Q25752130,Independent,Q327591,Glenfaba & Peel,Q28129778,2016
Rob Callister,,Independent,Q327591,Onchan,Q7091958,2016
Tim Baker,,Independent,Q327591,Ayre & Michael,Q28129776,2016
