id,name,wikipedia__en,area,party,term,source
alfred-cannan,Alfred Cannan,Alfred Cannan,Michael,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
allan-bell,Allan Bell,Allan Bell,Ramsey,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
bill-malarky,Bill Malarkey,Bill Malarky,Douglas South,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
chris-robertshaw,Chris Robertshaw,Chris Robertshaw,Douglas East,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
christopher-thomas,Christopher Thomas,Christopher Thomas,Douglas West,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
david-quirk,David Quirk,David Quirk,Onchan,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
eddie-teare,Eddie Teare,Eddie Teare,Ayre,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
geoffrey-boot,Geoffrey Boot,"",Glenfaba,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
graham-cregeen,Graham Cregeen,Graham Cregeen,Malew and Santon,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
howard-quayle,Howard Quayle,Howard Quayle,Middle,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
john-houghton-(isle-of-man),John Houghton,John Houghton (Isle of Man),Douglas North,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
john-shimmin,John Shimmin,John Shimmin,Douglas West,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
jonathan-joughin,Jonathan Joughin,Jonathan Joughin,Douglas East,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
juan-watterson,Juan Watterson,Juan Watterson,Rushen,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
kate-beecroft,Kate Beecroft,Kate Beecroft,Douglas South,Liberal Vannin,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
laurence-skelly,Laurence Skelly,Laurence Skelly,Rushen,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
leonard-singer,Leonard Singer,Leonard Singer,Ramsey,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
peter-karran,Peter Karran,Peter Karran,Onchan,Liberal Vannin,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
phil-gawne,Phil Gawne,Phil Gawne,Rushen,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
ralph-peake,Ralph Peake,Ralph Peake,Douglas North,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
ray-harmer,Ray Harmer,Ray Harmer,Peel,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
richard-ronan,Richard Ronan,Richard Ronan,Castletown,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
zac-hall,Zac Hall,Zac Hall,Onchan,Independent,2011,https://en.wikipedia.org/w/index.php?title=House_of_Keys&oldid=743685692
