id,name,wikipedia__en,area,party,term,source
brenda-cannell,Brenda Cannell,Brenda Cannell,Douglas East,Independent,2011,
geoff-corkish,Geoff Corkish,Geoff Corkish,Douglas West,Independent,2011,
david-anderson-(isle-of-man),David Anderson,David Anderson (Isle of Man),Glenfaba,Independent,2011,
tim-crookall,Tim Crookall,Tim Crookall,Peel,Independent,2011,
eddie-teare,Eddie Teare,Eddie Teare,Ayre,Independent,2011,
richard-ronan,Richard Ronan,Richard Ronan,Castletown,Independent,2011,
chris-robertshaw,Chris Robertshaw,Chris Robertshaw,Douglas East,Independent,2011,
jonathan-joughin,Jonathan Joughin,"",Douglas East,Independent,2011,
ralph-peake,Ralph Peake,"",Douglas North,Independent,2011,
john-houghton-(isle-of-man),John Houghton,John Houghton (Isle of Man),Douglas North,Independent,2011,
bill-malarky,Bill Malarkey,Bill Malarky,Douglas South,Independent,2011,
kate-beecroft,Kate Beecroft,Kate Beecroft,Douglas South,Liberal Vannin,2011,
christopher-thomas,Christopher Thomas,Christopher Thomas,Douglas West,Independent,2011,
john-shimmin,John Shimmin,John Shimmin,Douglas West,Independent,2011,
steve-rodan,Stephen Rodan SHK,Steve Rodan,Garff,Independent,2011,
david-anderson,David Anderson,"",Glenfaba,Independent,2011,
graham-cregeen,Graham Cregeen,"",Malew and Santon,Independent,2011,
alfred-cannan,Alfred Cannan,"",Michael,Independent,2011,
howard-quayle,Howard Quayle,"",Middle,Independent,2011,
zac-hall,Zac Hall,"",Onchan,Independent,2011,
peter-karran,Peter Karran,Peter Karran,Onchan,Liberal Vannin,2011,
david-quirk,David Quirk,David Quirk,Onchan,Independent,2011,
ray-harmer,Ray Harmer,"",Peel,Independent,2011,
leonard-singer,Leonard Singer,Leonard Singer,Ramsey,Independent,2011,
allan-bell,Allan Bell,Allan Bell,Ramsey,Independent,2011,
phil-gawne,Phil Gawne,Phil Gawne,Rushen,Independent,2011,
laurence-skelly,Laurence Skelly,Laurence Skelly,Rushen,Independent,2011,
juan-watterson,Juan Watterson,Juan Watterson,Rushen,Independent,2011,
