id,name,faction,area,area_id,term,source,sort_name,image,birth_date,email,start_date,end_date
1,Adam Ioan,PSD,BRAŞOV,8,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=1&cam=2&leg=2012&idl=2,Ioan ADAM,http://www.cdep.ro/parlamentari/l2012/Adam_Ioan.jpg,1952-12-01,"",,2015-01-19
10,Andronache Gabriel,PNL,BRAŞOV,8,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=10&cam=2&leg=2012&idl=2,Gabriel ANDRONACHE,http://www.cdep.ro/parlamentari/l2012/Andronache_Gabriel.jpg,1974-09-22,"",,
100,Dima Toader,PSD,VASLUI,39,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=100&cam=2&leg=2012&idl=2,Toader DIMA,http://www.cdep.ro/parlamentari/l2012/Dima_Toader.jpg,1951-02-25,"",,2016-07-07
101,Diniţă Ion,ALDE,BRAŞOV,8,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=101&cam=2&leg=2012&idl=2,Ion DINIŢĂ,http://www.cdep.ro/parlamentari/l2012/Dinita_Ion.jpg,1962-03-16,"",,2015-04-01
102,Dîrzu Ioan,PSD,ALBA,1,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=102&cam=2&leg=2012&idl=2,Ioan DÎRZU,http://www.cdep.ro/parlamentari/l2012/Dirzu_Ioan.jpg,1967-02-01,"",,
103,Doboş Anton,PNL,IAŞI,24,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=103&cam=2&leg=2012&idl=2,Anton DOBOŞ,http://www.cdep.ro/parlamentari/l2012/Dobos_Anton.jpg,1961-05-19,"",,
104,Dobre Mircea-Titus,PSD,CONSTANŢA,14,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=104&cam=2&leg=2012&idl=2,Mircea-Titus DOBRE,http://www.cdep.ro/parlamentari/l2012/Dobre_Mircea_Titus.jpg,1978-12-20,"",,
105,Dobre Victor Paul,PNL,GALAŢI,18,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=105&cam=2&leg=2012&idl=2,Victor Paul DOBRE,http://www.cdep.ro/parlamentari/l2012/Dobre_Victor.jpg,1952-02-11,"",,
106,Dobrinescu Traian,PNL,VÂLCEA,40,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=106&cam=2&leg=2012&idl=2,Traian DOBRINESCU,http://www.cdep.ro/parlamentari/l2012/Dobrinescu_Traian.jpg,1949-05-23,"",,
107,Dolha Mircea,PNL,MARAMUREŞ,26,2012,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=107&cam=2&leg=2012&idl=2,Mircea DOLHA,http://www.cdep.ro/parlamentari/l2012/Dolha_Mircea.jpg,1969-05-24,"",,
