id,name,position_id,position,label,start_date,end_date,ordinal
Q443095,Rovana Plumb,Q443095-e0d116b0-4f16-602a-bd0f-80cb5eec35d6,Q21504218,Minister of European Funds,2017-02-23,2017-10-12,0
Q443095,Rovana Plumb,Q443095-c91e0a67-4900-ab69-ccb0-ca9c5c70b3ff,Q21504218,Minister of European Funds,2018-01-28,"",0
Q462175,Ion I. C. Brătianu,Q462175-49A327E8-5270-4545-9FE3-F8B57F849B7B,Q15304810,Prime Minister of Romania,"","",0
Q463774,Elena Udrea,Q463774-4facd5d0-481a-1b80-2bd0-46e0722b9dd1,Q29053673,Minister of Tourism and Regional Development of Romania,2008-12-22,2012-02-09,0
Q4680718,Decebal Traian Remeș,Q4680718-cfa62d18-44f0-7d05-1d7f-a8f7750dcda8,Q21503604,Minister of Agriculture of Romania,2007-04-05,2007-10-11,0
Q4680718,Decebal Traian Remeș,Q4680718-bd934859-4320-3f23-3267-4c6e938b93f3,Q21504216,Minister of Public Finance,1998-09-23,2000-12-28,0
Q4685060,Cristian Adomniței,Q4685060-452d7bc9-4c8c-0f1b-cc55-d93f0dca3b05,Q21389881,Minister of Education,2007-04-05,2008-10-07,0
Q4687823,Constantin Niță,Q4687823-332ed67d-4bcb-c602-2b45-4cc871bcff4e,Q21504183,Minister of the Economy,2008-12-22,2009-12-23,0
Q4775647,Anton Anton,Q4775647-ee2f473f-42c1-6fbf-e060-298b39f1cc10,Q21389881,Minister of Education,2008-10-07,2008-12-22,0
Q4775647,Anton Anton,Q4775647-d2dc62f1-450a-3e5d-8b75-d4306d73256e,Q21513151,Minister of Energy,2018-01-29,"",0
Q520490,Iuliu Winkler,Q520490-01e321e6-4755-cb91-3e96-2075017e2112,Q20884417,Minister of Communications and Information Society,2007-07-30,2007-12-01,0
Q5214099,Dan Nica,Q5214099-315a0435-45a5-6fd4-1df3-6f2e62018104,Q20884417,Minister of Communications and Information Society,2012-05-07,2014-02-25,0
Q532674,Varujan Vosganian,Q532674-ca504e80-47cd-586c-9b5d-8eb47564838a,Q21504183,Minister of the Economy,2007-04-05,2008-12-22,0
Q532674,Varujan Vosganian,Q532674-37e537aa-4fee-31a6-3ce6-e383d3fde2d8,Q21504183,Minister of the Economy,2012-12-21,2013-10-07,0
Q538455,Gheorghe Manu,Q538455-309C11D5-8C18-4790-B32E-72935B26B1DD,Q15304810,Prime Minister of Romania,"","",0
Q539251,Lascăr Catargiu,Q539251-59E84E4D-6753-4E4B-BBF7-1AB7A9BA47EA,Q15304810,Prime Minister of Romania,"","",0
Q5406958,Eugen Nicolăescu,Q5406958-df3ad30c-4349-765e-9eda-fe3cd17beacb,Q20885066,Minister of Health of Romania,2007-04-05,2008-12-22,0
Q5406958,Eugen Nicolăescu,Q5406958-b5c516b1-4581-3d1e-8f1e-c3b476b74279,Q20885066,Minister of Health of Romania,2012-12-21,2014-03-05,0
Q5471132,Nicolae Filipescu,Q5471132-a68f6fb2-4ea6-9fb2-266f-0ef71c615097,Q10540834,agriculture minister,1900-01-01,"",0
Q5471132,Nicolae Filipescu,Q5471132-df590bb4-443f-84cd-337a-bdf484aff353,Q3315113,minister of war,1910-01-01,"",0
Q5515847,Gabriel Sandu,Q5515847-30209018-4878-f43a-f236-1a64f19b39dc,Q20884417,Minister of Communications and Information Society,2008-12-22,2010-09-03,0
Q554730,Dimitrie Sturdza,Q554730-1353803E-F26B-4CCC-AD6B-2883943E8094,Q15304810,Prime Minister of Romania,1895-01-01,1896-01-01,0
Q554730,Dimitrie Sturdza,Q554730-94e04225-4b2d-ce4c-9ddc-354906ccc251,Q15304810,Prime Minister of Romania,1897-01-01,1899-01-01,0
Q554730,Dimitrie Sturdza,Q554730-f884e490-4da3-f985-d130-4745b733bd85,Q15304810,Prime Minister of Romania,1901-01-01,1906-01-01,0
Q554730,Dimitrie Sturdza,Q554730-ab762bda-4a2d-14e0-650d-ff54c9e45e36,Q15304810,Prime Minister of Romania,1907-01-01,1909-01-01,0
Q57279,Traian Băsescu,Q57279-06c45794-49b6-978a-877d-d6ef0fb586d9,Q21513080,Minister of Transport and Infrastructure,1991-04-30,1992-11-19,0
Q57279,Traian Băsescu,Q57279-3b1b1dab-4dac-592a-8b75-b439a1d30d4a,Q21513080,Minister of Transport and Infrastructure,1996-12-12,1998-02-11,0
Q57279,Traian Băsescu,Q57279-4a7c1cc7-4efd-f1a0-68e7-413add3f17e9,Q21513080,Minister of Transport and Infrastructure,1998-04-17,2000-06-26,0
Q57692,Victor Ponta,Q57692-2202a6f1-4489-2167-17bd-c07e2e8a6b85,Q15304810,Prime Minister of Romania,2012-05-07,2015-11-04,0
Q57692,Victor Ponta,Q57692-7f86b4d8-4916-9412-415c-7125343e1d0a,Q17278764,Minister of Relations with the Parliament,2008-12-22,2009-10-01,0
Q58167,Titus Corlățean,Q58167-57c7ef0e-4a3d-490e-705e-2336d22d96e0,Q21159939,Minister of Justice of Romania,2012-05-07,2012-08-05,0
Q58167,Titus Corlățean,Q58167-ebfd60bd-48c5-67f2-aa7d-6d97726cdfef,Q21503673,Minister of Foreign Affairs of Romania,2012-08-06,2014-11-10,0
