statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term,identifier__wikidata
Q11163124-ba41acff-4b4d-dbcb-a3ee-5c4a524ca1bc,Q11163124,Nicușor Dan,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q11163124
Q1151156-a77d2d6e-4629-78f7-8a7f-1c204d3bbe6a,Q1151156,Cătălin Predoiu,Q188948,Călărași County,Q686228,National Liberal Party,2016-12-20,"",8,Q1151156
Q12720056-f59db563-4996-e2d9-7d04-16ee028fc3db,Q12720056,Adriana Săftoiu,Q19660,Bucharest,Q686228,National Liberal Party,2016-12-20,"",8,Q12720056
Q12723341-09802ef6-46f5-5b0b-92b0-11ef8e526f35,Q12723341,Camelia Gavrilă,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q12723341
Q12723891-0e87c264-4ace-809c-3c22-df8bc498d1e9,Q12723891,Cezar Preda,Q188797,Dâmbovița County,Q686228,National Liberal Party,2016-12-20,"",8,Q12723891
Q12725739-25bfea32-49c1-f10a-fe2d-4c89e4ef1547,Q12725739,Corneliu Bichineț,Q167199,Vaslui County,Q15732550,People's Movement Party,2016-12-21,"",8,Q12725739
Q12725938-c9d6a0a3-49b9-78f6-e07f-844ff52cf33e,Q12725938,Cristian Ghinea,Q19660,Bucharest,Q27108508,Save Romania Union,2016-12-20,"",8,Q12725938
Q12727818-19c7ce6e-400a-3401-b8d6-8991b0de420b,Q12727818,Eugen Nicolicea,Q188948,Călărași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q12727818
Q12730290-9e2dc59a-418d-2743-3f45-c3fd95341983,Q12730290,Ileana Carmen Moldovan,Q19660,Bucharest,Q752435,Social Democratic Party,2016-12-20,"",8,Q12730290
Q12731184-d4addb6c-4063-1213-07ab-48a455e4c5f1,Q12731184,Iulian Iancu,Q188505,Constanța County,Q752435,Social Democratic Party,2016-12-20,"",8,Q12731184
Q12732138-5978e2aa-458a-7d3a-acf7-19c8aa50ae31,Q12732138,Lia Olguța Vasilescu,Q191065,Dolj County,Q752435,Social Democratic Party,2016-12-20,"",8,Q12732138
Q12735436-db7e08db-4ade-56cb-444c-b79fb1ffe441,Q12735436,Mihai Voicu,Q2091237,Romanian diaspora,Q686228,National Liberal Party,2016-12-21,"",8,Q12735436
Q12735661-1b53f1bc-4519-f988-c696-1bbafb707131,Q12735661,Mircea Banias,Q188505,Constanța County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q12735661
Q12735994-55c53591-4e60-16f8-a06b-f96c7eb07786,Q12735994,Corneliu-Mugurel Cozmanciuc,Q188661,Neamț County,Q686228,National Liberal Party,2016-12-21,"",8,Q12735994
Q12736409-a6de4ab1-48ab-a261-4b2f-f8073d1d91bf,Q12736409,Natalia-Elena Intotero,Q191071,Hunedoara County,Q752435,Social Democratic Party,2016-12-19,"",8,Q12736409
Q12742616-f81a0300-453b-f3d5-4a62-e761f5e5af69,Q12742616,Tudor Ciuhodaru,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q12742616
Q15967888-64c34213-40d7-286d-9f85-87ac22467990,Q15967888,Eugen Tomac,Q19660,Bucharest,Q15732550,People's Movement Party,2016-12-20,"",8,Q15967888
Q16217237-78b0a0e9-497b-54d6-1d90-994fd40cec91,Q16217237,Daniel Constantin,Q19660,Bucharest,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q16217237
Q18325107-eb6d4e50-4d41-2ae1-e9a3-e0e216e79832,Q18325107,Nicolae Bănicioiu,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q18325107
Q18537634-73787625-4586-159b-58e9-84aa6210454f,Q18537634,Nicolae Bacalbașa,Q188796,Galați County,Q686228,National Liberal Party,2016-12-20,"",8,Q18537634
Q18539917-5d272223-4e3e-a210-9933-919d9492a4eb,Q18539917,Eugen Durbacă,Q188796,Galați County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q18539917
Q18541274-a277202b-4eae-1d5b-8083-b4852829ae72,Q18541274,Laurențiu Leoreanu,Q188661,Neamț County,Q686228,National Liberal Party,2016-12-21,"",8,Q18541274
Q18541985-b6935690-4d22-c237-d558-78aa5d041ac1,Q18541985,Mihai Mohaci,Q182614,Brașov County,Q752435,Social Democratic Party,2016-12-20,"",8,Q18541985
Q18544044-cd1a35dc-4876-c4f1-0616-6c857e55b228,Q18544044,Găvrilă Ghilea,Q179588,Bihor County,Q686228,National Liberal Party,2016-12-20,"",8,Q18544044
Q18544352-a977be3b-4387-56e4-c409-da8cb72aecd2,Q18544352,Nicolae Neagu,Q184797,Sibiu County,Q686228,National Liberal Party,2016-12-21,"",8,Q18544352
Q18548175-399dca0a-4cde-9a60-71e4-d843db51ebd8,Q18548175,Valeriu Andrei Steriu,Q19660,Bucharest,Q15732550,People's Movement Party,2016-12-20,"",8,Q18548175
Q19703432-0acd9d58-46b0-2f35-f60b-fe8bfdaa9708,Q19703432,Marius-Sorin-Ovidiu Bota,Q188813,Maramureș County,Q752435,Social Democratic Party,2016-12-21,"",8,Q19703432
Q21095867-db5b3c12-45a7-7a5a-c8c4-febd2ec7759c,Q21095867,Sorin Cîmpeanu,Q19660,Bucharest,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q21095867
Q21179190-e36702d3-43c6-257f-5d91-d2ec6c1a60ce,Q21179190,Ion Cupă,Q191065,Dolj County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q21179190
Q21179372-123652ff-48c1-7b4b-c87d-51022eae7b30,Q21179372,Cristian-George Sefer,Q188948,Călărași County,Q15732550,People's Movement Party,2016-12-20,"",8,Q21179372
Q21746951-869852fd-48ac-c74d-f9e0-22c4650138fe,Q21746951,Ben-Oni Ardelean,Q185586,Timiș County,Q686228,National Liberal Party,2016-12-21,"",8,Q21746951
Q21746956-542c7739-4295-4a27-e25b-956bf04f2c83,Q21746956,Leonardo Badea,Q188797,Dâmbovița County,Q752435,Social Democratic Party,2016-12-20,2017-07-17,8,Q21746956
Q21746973-cebcfedd-4309-56fd-0442-53c455c7e039,Q21746973,Viorel Chiriac,Q182614,Brașov County,Q752435,Social Democratic Party,2016-12-20,"",8,Q21746973
Q21747032-866a50b1-4709-1b5c-1224-60f03ef20aaa,Q21747032,Romeo Florin Nicoară,Q165459,Satu Mare County,Q686228,National Liberal Party,2016-12-21,"",8,Q21747032
Q21747033-0ee2ca08-40e3-2a6d-fa8a-ee1efa44e54b,Q21747033,Laurențiu Nistor,Q191071,Hunedoara County,Q752435,Social Democratic Party,2016-12-20,"",8,Q21747033
