id,name,province_en,province,area,party,website,source,blog,facebook,role,other-role
MAZ-003, محمد دامادی,Mazandaran,مازندران,ساری,جبهه متحد,http://mohammaddamadi.ir,,,,عضو کمیسیون عمران,
MAZ-004,سید رمضان شجاعی کیاسری,Mazandaran,مازندران,ساری,جبهه ایستادگی,,,,,عضو کمیسیون شوراها و امور داخلی کشور,
MAZ-005,کمال علیپور خنکداری,Mazandaran,مازندران,جویبار / سوادکوه / قائمشهر,مستقل,http://www.kamalalipour.ir/,,,,عضو کمیسیون عمران,
MAZ-006, عبدالوحید فیاضی,Mazandaran,مازندران,نور / محمود آباد,جبهه متحد,http://fayyazi.vamardom.com/,,,,سخنگو کمیسیون آموزش و تحقیقات,
MAZ-007, احمد علی مقیمی,Mazandaran,مازندران,بهشهر / نکا / گلوگاه,جبهه متحد – جبهه ایستادگی,,,,,عضو کمیسیون عمران,عضو کمیسیون تحقیق
MAZ-008,علی اکبر ناصری,Mazandaran,مازندران,بابل,جبهه متحد – جبهه پایداری – جبهه ایستادگی,http://www.aliakbarnaseri.ir/,,,,عضو کمیسیون صنایع و معادن,
MAZ-009,مقداد نجف نژاد,Mazandaran,مازندران,بابلسر / فریدون کنار,جبهه متحد,http://www.najafnejad.com/,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
MAZ-010,حسین نیاز آذری,Mazandaran,مازندران,بابل,جبهه ایستادگی,http://www.niazazari.com/,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,
MAZ-011,عزت الله یوسفیان ملا,Mazandaran,مازندران,آمل,اصلاح طلب,http://yousefian.ir/,,,,رئیس کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون برنامه و بودجه و محاسبات
MAZ-012,شمس اله شریعت نژاد,,مازندران,تنکابن / رامسر / عباس آباد,N/A,http://moghimy.com/,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,
MRK-001,محمد حسن آصفری,Markazi,مرکزی, اراک / خنداب / کمیجان,جبهه ایستادگی,http://www.asafari.ir/,,,,دبیر اول کمیسیون امنیت ملی و سیاست خارجی,
MRK-002,عباس رجایی,Markazi,مرکزی, اراک / خنداب / کمیجان,جبهه متحد – جبهه ایستادگی ,http://www.abbas-rajaei.ir,,,,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,رئیس کمیسیون کشاورزی، آب و منابع طبیعی
MRK-003,محمد ابراهیم رضایی,Markazi,مرکزی,خمین، محلات,جبهه متحد – جبهه پایداری – جبهه ایستادگی,http://www.me-rezaee.ir,,,,نایب رئیس دوم کمیسیون شوراها و امور داخلی کشور,
MRK-004,علیرضا سلیمی,Markazi,مرکزی,دلیجان، محلات,جبهه متحد – جبهه پایداری – جبهه ایستادگی,,,,,دبیر اول کمیسیون آموزش و تحقیقات,
MRK-005,عباس صلاحی,Markazi,مرکزی, آشتیان / تفرش / فراهان,مستقل,http://www.drsalahi.ir,,,,عضو کمیسیون اجتماعی,
MRK-006,قاسم عزیزی,Markazi,مرکزی,شازند,جبهه متحد – جبهه ایستادگی,http://www.ghasemazizi.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,نایب رئیس اول کمیسیون تحقیق
MRK-007,شهلا میرگلوی بیات,Markazi,مرکزی,زرندیه، ساوه,جبهه ایستادگی – اصلاح طلب,http://mirgaloobayat.com,,,,عضو کمیسیون بهداشت و درمان,
N-KH-001,موسی الرضا ثروتی,North Khorasan,خراسان شمالی,بجنورد، جاجرم، مانه،سملفان وگرمه,جبهه متحد – جبهه ایستادگی,http://www.mr-servati.parliran.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
N-KH-002,قاسم جعفری,North Khorasan,خراسان شمالی,بجنورد، جاجرم، مانه،سملفان وگرمه,جبهه متحد - جبهه پایداری,http://ghasemjafari.ir,,,,عضو کمیسیون آموزش و تحقیقات,
N-KH-003,عبدالرضا عزیزی,North Khorasan,خراسان شمالی,شیروان,جبهه ایستادگی – اصلاح طلب,http://dr-azizi.ir,,,,رئیس کمیسیون اجتماعی,سخنگو کمیسیون تحقیق
N-KH-004,هادی قوامی,North Khorasan,خراسان شمالی,اسفراین,,http://www.drqavami.com,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
QAZ-001,سید مرتضی حسینی,Qazvin,قزوین,آبیک / البرز / قزوین,جبهه متحد – جبهه پایداری,http://www.hoseinyar.ir,,,,دبیر اول کمیسیون فرهنگی,
QAZ-002,رجب رحمنی,Qazvin,قزوین,تاکستان,مستقل,,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
QAZ-003,روح اله جانی عباسپور,Qazvin,قزوین,بوئین زهرا,جبهه متحد – جبهه ایستادگی,http://abaspor.ir,,,,سخنگو کمیسیون صنایع و معادن,
QAZ-004,داوود محمدی,Qazvin,قزوین, آبیک / البرز / قزوین,مستقل,http://www.davoodmohammadi.net,,,,نایب رئیس اول کمیسیون اصل نودم قانون اساسی مجلس,عضو کمیسیون تحقیق
QOM-001,رضا آشتیانی عراقی,Qom,قم,قم,جبهه متحد - جبهه پایداری- جبهه ایستادگی,,http://rc.majlis.ir/fa/parliament_member/show/701744,,,عضو کمیسیون فرهنگی,
QOM-002,علی اردشیر لاریجانی ,Qom,قم,قم,جبهه متحد- جبهه ایستادگی - صدای ملت,http://www.larijani.ir/Home.aspx,,,,عضو کمیسیون شوراها و امور داخلی کشور,
QOM-003,احمد امیرآبادی فراهانی,Qom,قم,قم,جبهه پایداری ,,http://rc.majlis.ir/fa/parliament_member/show/813577,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,
R-KH-001,غلامرضا اسداللهی,Razavi Khorasan,خراسان رضوی,تایباد و تربت جام و باخرز,جبهه متحد – جبهه ایستادگی,http://asadollahi.ir,,,,عضو کمیسیون برنامه و بودجه و محاسبات,
R-KH-002,محمد اسماعیل نیا,Razavi Khorasan,خراسان رضوی,کاشمرو بردسکن وخلیل آباد,جبهه متحد  ,http://www.esmaeelnia.com/fa,,,,عضو کمیسیون کشاورزی، آب و منابع طبیعی,
R-KH-003,سیدهاشم بنی هاشمی چهارم,Razavi Khorasan,خراسان رضوی,مشهد و کلات,جبهه متحد - جبهه پایداری,http://www.banihashemi4.com,,,,عضو کمیسیون انرژی,
R-KH-004,نصرالله پژمان فر,Razavi Khorasan,خراسان رضوی,مشهد و کلات,جبهه پایداری,http://pejmanfar.ir/site/index.php,,,,عضو کمیسیون فرهنگی,
R-KH-005,محمدحسين حسين‌زاده بحريني,Razavi Khorasan,خراسان رضوی,مشهد و کلات,جبهه متحد – جبهه پایداری,,http://rc.majlis.ir/fa/parliament_member/show/813331,,,عضو کمیسیون اقتصادی,
R-KH-006,ابوالقاسم خسروی سهل آبادی,Razavi Khorasan,خراسان رضوی, تربت ‌حيدريه، مه و لات، زاوه ,جبهه پایداری ,http://www.khosravisahlabadi.ir,http://khosravi.parliran.ir/index.aspx?siteid=263&pageid=3835,,,عضو کمیسیون آموزش و تحقیقات,
R-KH-007,محمد دهقانی نقندر,Razavi Khorasan,خراسان رضوی,چناران وطرقبه,جبهه متحد – جبهه پایداری,http://dehghan.parliran.ir,,,,عضو کمیسیون قضایی و حقوقی,
R-KH-008,محمد رجایی باغ سیایی,Razavi Khorasan,خراسان رضوی,گناباد,جبهه متحد – جبهه پایداری ,,http://rc.majlis.ir/fa/parliament_member/show/813329,,,عضو کمیسیون اقتصادی,
R-KH-009,رمضانعلی سبحانی فر,Razavi Khorasan,خراسان رضوی,سبزوارو جغتای و جوین,جبهه ایستادگی – اصلاح طلب,http://sobhanifar.parliran.ir/index.aspx?siteid=272,,,,عضو کمیسیون صنایع و معادن,
R-KH-010,حسین سبحانی نیا,Razavi Khorasan,خراسان رضوی,نیشابور وتخت جلگه,جبهه متحد – جبهه ایستادگی,http://www.sobhaninia.com,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
R-KH-011, احمد سجادی,Razavi Khorasan,خراسان رضوی,احمد آباد ، رضویه ، سرخس ، فریمان,مستقل ,http://www.ahmadsajadi.ir/,,,,عضو کمیسیون انرژی,
R-KH-012,هادی شوشتری,Razavi Khorasan,خراسان رضوی,قوچان و فاروج ,مستقل  ,http://www.hadishooshtari.com,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
R-KH-013, سید امیرحسین قاضی زاده هاشمی,Razavi Khorasan,خراسان رضوی,مشهد و کلات,جبهه متحد - جبهه پایداری,http://www.ghazizadehhashemi.ir,,,,عضو کمیسیون اجتماعی,عضو کمیسیون تحقیق
R-KH-014,محمد رضا محسنی ثانی,Razavi Khorasan,خراسان رضوی,سبزوارو جغتای و جوین,جبهه متحد – جبهه ایستادگی ,http://www.mohseni-mr.ir/home,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,
R-KH-015,حسین محمدزاده,Razavi Khorasan,خراسان رضوی,درگز,جبهه متحد - جبهه ایستادگی,http://www.hm-dargaz.ir,,,,عضو کمیسیون عمران,
R-KH-016,علی مروی,Razavi Khorasan,خراسان رضوی,نيشابورو تخت‌جلگه ,مستقل,http://www.alimarvi.ir,,,,نایب رئیس اول کمیسیون انرژی,
R-KH-017,محمود نگهبان سلامی,Razavi Khorasan,خراسان رضوی,خواف و رشتخوار,مستقل,http://m-negahban.ir,,,,عضو کمیسیون آموزش و تحقیقات,
R-KH-018,جواد کریمی قدوسی,Razavi Khorasan,خراسان رضوی,مشهد و کلات,جبهه متحد – جبهه پایداری ,http://www.j-karimi.ir,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون تحقیق
S-KH-001,سید محمد باقر عبادی,South Khorasan,خراسان جنوبی,بیرجند، درمیان,جبهه متحد – جبهه پایداری – جبهه ایستادگی ,http://mb-ebadi.ir,,,,عضو کمیسیون آموزش و تحقیقات,
