statement,id,name,start_date,end_date,wikidata
Q31013903-8a35f75b-45e5-35f6-16fa-6980feaa8e0b,5,5th Convocation,2012-05-31,2017-03-02,Q31013903
Q31013959-03227d73-4963-e3a8-0c6b-e4da5931d209,6,6th Convocation,2017-05-18,"",Q31013959
