id,type,start_date,name__fr,name__en,name__zh,name__zh_hant,name__ja,name__pl,identifier__freebase,replaces,name__ru,name__bn,name__ms,name__vi,end_date,replaced_by,name__zh_cn,name__ar,name__de,name__it,name__nl,name__sc,name__ca,name__zh_hans,name__en_ca,name__en_gb,website,name__zh_hk,name__zh_sg,name__sv,name__zh_tw,name__id,name__gd,identifier__geonames
Q1026265,division of the Australian House of Representatives,1906,circonscription de Calare,Calare,卡萊 (澳大利亞國會選區),,,Okręg wyborczy Calare,/m/0440c7,Canobolas,,,,,,,,,Calare (Wahlkreis),divisione di Calare,Calare,divisione de Calare,,,,,,,,,,,,
Q1073683,division of the Australian House of Representatives,1949,circonscription de Farrer,Farrer,法勒,法勒,,Okręg wyborczy Farrer,/m/0441ds,,,,,,,,,,,divisione di Farrer,Farrer,divisione de Farrer,,法勒,,,,法勒,法勒,,,,,
Q1073690,division of the Australian House of Representatives,1969,circonscription de Chifley,Chifley,奇夫利,奇夫利,,Okręg wyborczy Chifley,/m/0440cy,,,,,,,,,,,divisione di Chifley,Chifley,divisione de Chifley,,奇夫利,,,,奇夫利,奇夫利,,,,,
Q1073695,division of the Australian House of Representatives,1901,circonscription d'Eden-Monaro,Eden-Monaro,伊登-蒙埃羅,伊登-蒙埃羅,,Okręg wyborczy Eden-Monaro,/m/0441cr,,,,,,,,,,,divisione di Eden-Monaro,Eden-Monaro,divisione de Eden-Monaro,,伊登-蒙埃罗,,,,伊登-蒙埃羅,伊登-蒙埃罗,,,,,
Q1073721,division of the Australian House of Representatives,1949,circonscription de Lalor,Lalor,羅勒,羅勒,レーラー,Okręg wyborczy Lalor,/m/06qzf1,,,,,,,,,,,divisione di Lalor,Lalor,divisione de Lalor,,拉洛,,,,拉洛,拉洛,,,,,
Q1073946,division of the Australian House of Representatives,2009,circonscription de McMahon,McMahon,麥克馬洪,麥克馬洪,,Okręg wyborczy McMahon,/m/0b6mrr5,Prospect,,,,,,,,,McMahon,,,,,麦克马洪,,,,麥克馬洪,麦克马洪,,,,,
Q1073964,division of the Australian House of Representatives,1903,circonscription de Wakefield,Wakefield,韋克菲爾德,韋克菲爾德,,,/m/06s6rz,South Australia,,,,,2019-05-17,Spence,,,Wakefield,,,,,韦克菲尔德,,,,韋克菲爾德,韦克菲尔德,,,,,
Q1073994,division of the Australian House of Representatives,1901,circonscription de Richmond,Richmond,里奇蒙,里奇蒙,,Okręg wyborczy Richmond,/m/06n8kj,,,,,,,,,,Richmond,,,,,里奇蒙,,,,里奇蒙,里奇蒙,,,,,
Q1074005,division of the Australian House of Representatives,1901,circonscription de Macquarie,Macquarie,麥覺里,麥覺里,,Okręg wyborczy Macquarie,/m/05rhfj,,,,,,,,,,Macquarie,,,,,麦觉里,,,,麥覺里,麦觉里,,,,,
Q1074025,division of the Australian House of Representatives,1922,circonscription de Warringah,Warringah,華令加,華令加,,Okręg wyborczy Warringah,/m/06s4_6,,,,,,,,,,Warringah,divisione di Warringah,Warringah,divisione de Warringah,Warringah,华令加,,,,華令加,华令加,,,,,
Q1074030,division of the Australian House of Representatives,1949,circonscription de McPherson,McPherson,麥克弗森,麥克弗森,,Okręg wyborczy McPherson,/m/05t32p,,,,,,,,,,McPherson,,,,,麦克弗森,,,,麥克弗森,麦克弗森,,,,,
