id,name,wikipedia__pl,term,party,source,area,area_id,start_date,end_date,replaced
adam-abramowicz-(polityk),Adam Abramowicz,Adam Abramowicz (polityk),8,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo lubelskie 7,7-8,,,
adam-abramowicz-(polityk),Adam Abramowicz,Adam Abramowicz (polityk),7,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo lubelskie 7,7-7,,,
adam-abramowicz-(polityk),Adam Abramowicz,Adam Abramowicz (polityk),6,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo lubelskie 7,7-6,,,
adam-andruszkiewicz,Adam Andruszkiewicz,Adam Andruszkiewicz,8,Koło Poselskie Wolni i Solidarni,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo podlaskie 24,24-8,,,
adam-cyrański,Adam Cyrański,Adam Cyrański,8,Posłowie niezrzeszeni,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo świętokrzyskie 33,33-8,,,
adam-gawęda,Adam Gawęda,Adam Gawęda,6,Klub Parlamentarny Polska Jest Najważniejsza,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo śląskie 30,30-6,,,
adam-hofman,Adam Hofman,Adam Hofman,7,Posłowie niezrzeszeni,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 37,37-7,,,
adam-hofman,Adam Hofman,Adam Hofman,6,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo wielkopolskie 37,37-6,,,
adam-jarubas,Adam Jarubas,Adam Jarubas,7,Klub Parlamentarny Polskiego Stronnictwa Ludowego,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo świętokrzyskie 33,33-7,,2011-10-25,Marek Gos
adam-korol,Adam Korol,Adam Korol,8,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo pomorskie 25,25-8,,,
adam-krupa-(polityk),Adam Krupa,Adam Krupa (polityk),6,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo opolskie 21,21-6,,,
adam-krzyśków,Adam Krzyśków,Adam Krzyśków,6,Klub Poselski Polskiego Stronnictwa Ludowego,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo warmińsko-mazurskie 35,35-6,,,
adam-kwiatkowski-(polityk),Adam Kwiatkowski,Adam Kwiatkowski (polityk),7,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo mazowieckie 19,19-7,,2015-08-07,Michał Dworczyk
adam-kępiński,Adam Kępiński,Adam Kępiński,7,Klub Poselski Sojusz Lewicy Demokratycznej,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo opolskie 21,21-7,,,
adam-lipiński,Adam Lipiński,Adam Lipiński,8,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo dolnośląskie 1,1-8,,,
adam-lipiński,Adam Lipiński,Adam Lipiński,7,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo dolnośląskie 1,1-7,,,
adam-lipiński,Adam Lipiński,Adam Lipiński,6,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VI_kadencji,Województwo dolnośląskie 1,1-6,,,
adam-ołdakowski,Adam Ołdakowski,Adam Ołdakowski,8,Klub Parlamentarny Prawo i Sprawiedliwość,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VIII_kadencji,Województwo warmińsko-mazurskie 34,34-8,,,
adam-rogacki,Adam Rogacki,Adam Rogacki,7,Posłowie niezrzeszeni,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 36,36-7,,,
