id,name,position_id,position,label,start_date,end_date,ordinal
Q1058052,Cezary Grabarczyk,Q1058052-ec1c0708-4982-6e0e-2cf8-b7eb7eb0503a,Q28048774,Minister of Justice,2014-09-22,2015-04-30,0
Q11359751,Jerzy Osiatyński,Q11359751-D4D66415-E04F-45DD-B0BE-796EB558B245,Q11781525,Minister of Finance of Poland,1992-07-11,1993-10-26,0
Q1166062,Dariusz Rosati,Q1166062-4ad4892a-4aa1-5883-3012-9824fc80d91e,Q25598671,Minister of Foreign Affairs,1995-12-29,1997-10-31,0
Q11688652,Borys Budka,Q11688652-a6f2902c-410b-7e12-c32d-638943b17821,Q28048774,Minister of Justice,2015-05-04,2015-11-15,0
Q11718713,Jan Piątkowski,Q11718713-85644464-EC99-4D65-9859-8DD5739246BB,Q28048774,Minister of Justice,1993-03-17,1993-10-26,0
Q11724754,Jerzy Jaskiernia,Q11724754-C034C00D-68EA-49B8-A404-9F810D5EAB20,Q28048774,Minister of Justice,1995-03-07,1996-02-07,0
Q11762539,Longin Komołowski,Q11762539-736D7F8C-BFA6-4CCE-B2BC-F19792C9E38F,Q25919989,Minister of Labour and Social Policy,1999-10-19,2001-10-19,0
Q11814444,Paweł Szałamacha,Q11814444-7DA84268-974E-4095-95AC-0AE194236D66,Q11781525,Minister of Finance of Poland,2015-11-16,,0
Q1374797,Władysław Kosiniak-Kamysz,Q1374797-FBFFD6F8-5509-493B-977A-B8BC1C21E654,Q25919989,Minister of Labour and Social Policy,2011-11-18,2015-11-16,0
Q144734,Katarzyna Hall,Q144734-15b040ea-447a-b4f9-3a5c-7dc3e5c9b71d,Q25711733,Minister of National Education,2007-11-16,2011-11-18,0
Q157282,Bronisław Geremek,Q157282-079b3be4-4d34-6624-7f1a-906196f1aa2c,Q25598671,Minister of Foreign Affairs,1997-10-31,2000-06-30,0
Q159472,Zbigniew Ziobro,Q159472-6473ecf5-46e5-7453-758a-2f556b7f4431,Q28048774,Minister of Justice,2005-10-31,2007-11-16,0
Q159472,Zbigniew Ziobro,Q159472-1ed2b27d-4ffc-92d5-33c3-f1118ce9db14,Q28048774,Minister of Justice,2015-11-16,,0
Q168161,Zbigniew Religa,Q168161-6fb8f71e-44bb-af04-5116-88e422f5209a,Q57775575,Minister of Health,2005-10-31,2007-11-16,0
Q1748055,Mariusz Błaszczak,Q1748055-1ADA108E-AC3A-47C1-A805-B01124E0C761,Q25598713,Minister of the Interior and Administration,2015-11-16,2018-01-09,0
Q1790439,Krzysztof Janik,Q1790439-E48A82BB-62F5-4B7A-B938-14FBB05894AC,Q25598713,Minister of the Interior and Administration,2001-10-19,2004-01-21,0
Q222905,Jarosław Gowin,Q222905-486b59eb-444d-9830-6399-eb2ebaa22f76,Q15051532,Deputy Prime Minister of the Republic of Poland,2015-11-16,,0
Q222905,Jarosław Gowin,Q222905-9d852bb3-46d2-9095-f057-f2d74c2f8cb4,Q28048774,Minister of Justice,2011-11-18,2013-05-06,0
Q245762,Wiesław Chrzanowski,Q245762-DD2F6C13-21B4-467C-97AC-26208919287D,Q28048774,Minister of Justice,1991-01-12,1991-11-01,0
Q245792,Marek Borowski,Q245792-6B245490-FC5B-4525-A228-050103C64545,Q11781525,Minister of Finance of Poland,1993-10-26,1994-02-08,0
Q246216,Ewa Kopacz,Q246216-86282218-8D35-47E6-92B6-7C5E2451EDF1,Q28048774,Minister of Justice,2015-04-30,2015-05-04,0
