name,sort_name,given_name,party,area_id,area,term,source
Patrice Kursley Armance,"Armance, Patrice Kursley",Patrice Kursley,Alliance LEPEP,1,GRNO/Port-Louis ouest,2014,http://www.lexpress.mu/resultats
Marie Danielle Selvon,"Selvon, Marie Danielle",Marie Danielle,Alliance LEPEP,1,GRNO/Port-Louis ouest,2014,http://www.lexpress.mu/resultats
Vedasingam Vasudevachariar (Veda) Baloomoody,"Baloomoody, Vedasingam Vasudevachariar (Veda)",Vedasingam Vasudevachariar (Veda),PTr-MMM,1,GRNO/Port-Louis ouest,2014,http://www.lexpress.mu/resultats
Muhammad Reza Cassam Uteem,"Uteem, Muhammad Reza Cassam",Muhammad Reza Cassam,PTr-MMM,2,Port-Louis sud et centre,2014,http://www.lexpress.mu/resultats
Roubina Jadoo-Jaunbocus,"Jadoo-Jaunbocus, Roubina",Roubina,Alliance LEPEP,2,Port-Louis sud et centre,2014,http://www.lexpress.mu/resultats
Osman Cassam Mahomed,"Mahomed, Osman Cassam",Osman Cassam,PTr-MMM,2,Port-Louis sud et centre,2014,http://www.lexpress.mu/resultats
Ahmed Yousuf Abdul Razack Shakeel Mohamed,"Mohamed, Ahmed Yousuf Abdul Razack Shakeel",Ahmed Yousuf Abdul Razack Shakeel,PTr-MMM,3,Port-Louis maritime et est,2014,http://www.lexpress.mu/resultats
Sayed Muhammad Aadil Ameer Meea,"Ameer Meea, Sayed Muhammad Aadil",Sayed Muhammad Aadil,PTr-MMM,3,Port-Louis maritime et est,2014,http://www.lexpress.mu/resultats
Mohammad Anwar Husnoo,"Husnoo, Mohammad Anwar",Mohammad Anwar,Alliance LEPEP,3,Port-Louis maritime et est,2014,http://www.lexpress.mu/resultats
Marie-Aurore Marie-Joyce Perraud,"Perraud, Marie-Aurore Marie-Joyce",Marie-Aurore Marie-Joyce,Alliance LEPEP,4,Port-Louis nord-Montagne-Longue,2014,http://www.lexpress.mu/resultats
Gowkaran (Vikash) Oree,"Oree, Gowkaran (Vikash)",Gowkaran (Vikash),Alliance LEPEP,4,Port-Louis nord-Montagne-Longue,2014,http://www.lexpress.mu/resultats
Marie Claire Jeanne Monty,"Monty, Marie Claire Jeanne",Marie Claire Jeanne,Alliance LEPEP,4,Port-Louis nord-Montagne-Longue,2014,http://www.lexpress.mu/resultats
Soodesh Satkam Callichurn,"Callichurn, Soodesh Satkam",Soodesh Satkam,Alliance LEPEP,5,Pamplemousses/Triolet,2014,http://www.lexpress.mu/resultats
Kalidass (Sanjeev) Teeluckdharry,"Teeluckdharry, Kalidass (Sanjeev)",Kalidass (Sanjeev),Alliance LEPEP,5,Pamplemousses/Triolet,2014,http://www.lexpress.mu/resultats
Sharvanand Ramkaun,"Ramkaun, Sharvanand",Sharvanand,Alliance LEPEP,5,Pamplemousses/Triolet,2014,http://www.lexpress.mu/resultats
Ashit Kumar Gungah,"Gungah, Ashit Kumar",Ashit Kumar,Alliance LEPEP,6,Grand-Baie/Poudre d’Or,2014,http://www.lexpress.mu/resultats
Sudesh Rughoobur,"Rughoobur, Sudesh",Sudesh,Alliance LEPEP,6,Grand-Baie/Poudre d’Or,2014,http://www.lexpress.mu/resultats
Sangeet Fowdar,"Fowdar, Sangeet",Sangeet,Alliance LEPEP,6,Grand-Baie/Poudre d’Or,2014,http://www.lexpress.mu/resultats
