wikipedia_name,term,wikipedia,name,group,family_name,given_name,sort_name,death_date
Joshua Hassan,5,https://en.wikipedia.org/wiki/Joshua_Hassan,J Hassan,Association for the Advancement of Civil Rights,,,,
Adolfo Canepa,5,https://en.wikipedia.org/wiki/Adolfo_Canepa,A J Canepa,Association for the Advancement of Civil Rights,,,,
Joe Bossano,5,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,,,,
Reggie Valarino,5,https://en.wikipedia.org/wiki/Reggie_Valarino,R G Valarino,Association for the Advancement of Civil Rights,,,,
,5,,B Perez,Association for the Advancement of Civil Rights,,,,
,5,,M K Featherstone,Association for the Advancement of Civil Rights,,,,
,5,,F J Dellipiani,Association for the Advancement of Civil Rights,,,,
,5,,G Mascarenhas,Association for the Advancement of Civil Rights,,,,
,5,,H J Zammitt,Association for the Advancement of Civil Rights,,,,
,5,,J E Pilcher,Gibraltar Socialist Labour Party,,,,
,5,,M A Feetham,Gibraltar Socialist Labour Party,,,,
,5,,M I Montegriffo,Gibraltar Socialist Labour Party,,,,
,5,,J C Perez,Gibraltar Socialist Labour Party,,,,
,5,,J L Baldachino,Gibraltar Socialist Labour Party,,,,
,5,,R Mor,Gibraltar Socialist Labour Party,,,,
Joe Bossano,6,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,,,,
,6,,J E Pilcher,Gibraltar Socialist Labour Party,,,,
,6,,J L Baldachino,Gibraltar Socialist Labour Party,,,,
,6,,J L Moss,Gibraltar Socialist Labour Party,,,,
,6,,M I Montegriffo,Gibraltar Socialist Labour Party,,,,
,6,,M A Feetham,Gibraltar Socialist Labour Party,,,,
,6,,R Mor,Gibraltar Socialist Labour Party,,,,
,6,,J C Perez,Gibraltar Socialist Labour Party,,,,
Adolfo Canepa,6,https://en.wikipedia.org/wiki/Adolfo_Canepa,A J Canepa,Association for the Advancement of Civil Rights,,,,
,6,,P C Montegriffo,Association for the Advancement of Civil Rights,,,,
,6,,M K Featherstone,Association for the Advancement of Civil Rights,,,,
,6,,G Mascarenhas,Association for the Advancement of Civil Rights,,,,
,6,,E M Britto,Association for the Advancement of Civil Rights,,,,
Reggie Valarino,6,https://en.wikipedia.org/wiki/Reggie_Valarino,R G Valarino,Association for the Advancement of Civil Rights,,,,
,6,,K B Anthony,Association for the Advancement of Civil Rights,,,,
Joe Bossano,7,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",
